NTD ID,Legacy NTD ID,Agency Name,Reporter Acronym,Doing Business As,Reporter Status,Reporter Type,Reporting Module,Organization Type,Reported By NTD ID,Reported by Name,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,P.O. Box,City,State,Zip Code,Zip Code Ext,Region,URL,FTA Recipient ID,Duns Number,Service Area Sq Miles,Service Area Pop,Primary UZA,UZA Name,Tribal Area Name,Population,Density,Sq Miles,VOMS DO,VOMS PT,Total VOMS,Volunteer Drivers,Personal Vehicles
10045,1045,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,CDOT CTTransit DATTCO,,Active,Full Reporter,Urban,Private Provider Reporting on Behalf of a Public Entity,,,,6/30/2017,10/31/2017,583 South Street,,,New Britain,CT,6051,,1,http://www.dattco.com/,1334,18727560,13,"73,941",47,"Hartford, CT",,"924,859","1,792",516,,23,23,,
10048,1048,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,CTTransit,,Active,Full Reporter,Urban,State Government Unit or Department of Transportation,,,,6/30/2017,10/31/2017,100 Leibert Road,,66,Hartford,CT,6141,66,1,http://www.cttransit.com/,5152,98106495,664,"851,535",47,"Hartford, CT",,"924,859","1,792",516,233,,233,,
10049,1049,The Greater New Haven Transit District,GNHTD,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2017,10/31/2017,840 Sherman Avenue,,,Hamden,CT,6514,,1,http://www.gnhtd.org/,1337,23313091,197,"451,486",72,"New Haven, CT",,"562,839","1,839",306,80,,80,,
10050,1050,Greater Bridgeport Transit Authority,GBT,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2017,10/31/2017,One Cross Street,,,Bridgeport,CT,6610,,1,http://www.gogbt.com/,1752,23036544,104,"349,751",48,"Bridgeport-Stamford, CT-NY",,"923,311","1,981",466,43,21,64,,
10051,1051,Housatonic Area Regional Transit ,HARTransit,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2017,10/31/2017,62 Federal Road,,,Danbury,CT,6810,,1,http://www.hartransit.com/,1754,29864048,124,"154,855",201,"Danbury, CT-NY",,"168,136","1,277",132,42,,42,,
10053,1053,Cape Ann Transportation Authority,CATA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2017,10/31/2017,3 Pond Road,,780,Gloucester,MA,1931,780,1,www.canntran.com,1372,867699811,80,"54,099",10,"Boston, MA-NH-RI",,"4,181,019","2,232","1,873",,19,19,,
10055,1055,Connecticut Department of Transportation - CTTRANSIT New Haven Division,CTTRANSIT,,Active,Full Reporter,Urban,State Government Unit or Department of Transportation,,,,6/30/2017,10/31/2017,100 Leibert Road,,66,Hartford,CT,6141,66,1,http://www.cttransit.com/,5152,826992554,456,"531,314",72,"New Haven, CT",,"562,839","1,839",306,98,,98,,
10056,1056,Connecticut Department of Transportation - CTTRANSIT Stamford Division,CTTransit,,Active,Full Reporter,Urban,State Government Unit or Department of Transportation,,,,6/30/2017,10/31/2017,100 Leibert Road,,66,Hartford,CT,6141,66,1,http://www.cttransit.com/,5152,107254492,133,"281,327",48,"Bridgeport-Stamford, CT-NY",,"923,311","1,981",466,42,,42,,
10057,1057,Norwalk Transit District,,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2017,10/31/2017,275 Wilson Avenue,,,Norwalk,CT,6854,4615,1,http://www.norwalktransit.com/,1339,89623433,45,"108,700",48,"Bridgeport-Stamford, CT-NY",,"923,311","1,981",466,64,18,82,,
10061,1061,Montachusett Regional Transit Authority,MART,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2017,10/31/2017,1427R Water Street,,,Fitchburg,MA,1420,7266,1,http://www.mrta.us/,1371,879328094,624,"228,778",269,"Leominster-Fitchburg, MA",,"116,960","1,798",65,,176,176,,
10063,1063,Middletown Transit District,MTD,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2017,10/31/2017,340 Main Street,,,Middletown,CT,6457,,1,http://www.middletownareatransit.org/,1336,21811799,193,"90,320",47,"Hartford, CT",,"924,859","1,792",516,16,,16,,
10064,1064,Greater Attleboro-Taunton Regional Transit Authority,GATRA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2017,10/31/2017,10 Oak Street,Second Floor,,Taunton,MA,2780,,1,http://www.gatra.org/,1365,168712131,835,"572,140",39,"Providence, RI-MA",,"1,190,956","2,185",545,,115,115,,
10066,1066,Chittenden County Transportation Authority,CCTA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2017,10/31/2017,15 Industrial Parkway,,,Burlington,VT,5401,,1,http://www.ridegmt.com,1394,60542982,61,"93,656",285,"Burlington, VT",,"108,740","1,761",62,54,21,75,,
10069,1069,"Regional Transportation Program, Inc.",RTP,,Active,Reduced Reporter,Urban,Private-Non-Profit Corporation,,,,9/30/2017,1/31/2018,127 St. John Street,,,Portland,ME,4102,3072,1,http://www.rtprides.org/,1338,60994266,53,"265,612",177,"Portland, ME",,"203,914","1,500",136,27,,27,,
10086,1086,Cooperative Alliance for Seacoast Transportation,COAST,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,9/30/2017,1/31/2018,42 Sumner Drive,,,Dover,NH,3820,5451,1,http://www.coastbus.org/,5156,5905067,368,"166,975",331,"Dover-Rochester, NH-ME",,"88,087","1,326",66,21,,21,,
10087,1087,Nashua Transit System,NTS,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,11 Riverside St.,,,Nashua,NH,3062,,1,http://WWW.GONASHUA.COM/,2413,830711656,32,"86,933",160,"Nashua, NH-MA",,"226,400","1,242",182,,15,15,,
10088,1088,Casco Bay Island Transit District,CBITD,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,3/31/2017,10/31/2017,P. O. Box 4656,,4656,Portland,ME,4112,4656,1,http://www.cascobaylines.com/,1883,2576254,111,"66,765",177,"Portland, ME",,"203,914","1,500",136,4,,4,,
10096,1096,City of Bangor - BAT Community Connector,BAT,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,73 Harlow Street,,,Bangor,ME,4401,,1,http://www.bangormaine.gov/,7140,71739692,29,"55,500",441,"Bangor, ME",,"61,210","1,440",43,14,,14,,
10098,1098,"Western Maine Transportation Services, Inc.",WMTS,,Active,Full Reporter,Urban,Private-Non-Profit Corporation,,,,9/30/2017,1/31/2018,76 Merrow Road,,,Auburn,ME,4210,1714,1,http://www.wmtsbus.org/,1346,8406014,"4,247","188,015",446,"Lewiston, ME",,"59,397","1,678",35,39,,39,,
10099,1099,York County Community Action Corporation,YCCAC,,Active,Reduced Reporter,Urban,Private-Non-Profit Corporation,,,,10/31/2017,4/30/2018,6 Spruce Street,,72,Sanford,ME,4073,72,1,http://www.yccac.org/,1099,99366536,651,"180,216",329,"Portsmouth, NH-ME",,"88,200",952,93,19,,19,,
10102,1102,Connecticut Department of Transportation,CDOT,,Active,Full Reporter,Urban,State Government Unit or Department of Transportation,,,,6/30/2017,10/31/2017,2800 Berlin Turnpike,,,Newington,CT,6131,7546,1,http://www.ct.gov/dot/,1334,807854583,171,"448,608",47,"Hartford, CT",,"924,859","1,792",516,,46,46,,
10105,1105,Cape Cod Regional Transit Authority,CCRTA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2017,10/31/2017,"215 Iyannough Road, Route 28",,1988,Hyannis,MA,2601,,1,http://www.capecodrta.org/,1368,97442461,394,"221,049",152,"Barnstable Town, MA",,"246,695",890,277,,323,323,,
10107,1107,Milford Transit District,MTD,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2017,10/31/2017,259 Research Drive,,,Milford,CT,6460,,1,http://www.milfordtransit.com/,1755,175745686,24,"52,759",48,"Bridgeport-Stamford, CT-NY",,"923,311","1,981",466,13,,13,,
10112,1112,South Portland Bus Service,SPBS,South Portland Bus Service,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,25 Cottage Road,,9422,South Portland,ME,4116,9422,1,http://www.southportland.org/,7141,37710373,14,"25,200",177,"Portland, ME",,"203,914","1,500",136,7,,7,,
10114,1114,Biddeford-Saco-Old Orchard Beach Transit Committee Shuttle Bus,ShuttleBus,,Active,Reduced Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,9/30/2017,1/31/2018,13 Pomerleau Street,,,Biddeford,ME,4005,,1,http://www.shuttlebus-zoom.com/,7126,166438317,90,"67,302",177,"Portland, ME",,"203,914","1,500",136,20,,20,,
10115,1115,Northern New England Passenger Rail Authority,NNEPRA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2017,10/31/2017,75 West Commercial Street,Suite 104,,Portland,ME,4101,,1,http://www.amtrakdowneaster.com/,5691,876964227,"3,706","1,431,087",177,"Portland, ME",,"203,914","1,500",136,,21,21,,
10118,1118,MetroWest Regional Transit Authority,MWRTA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2017,10/31/2017,37 Waverley Street,,,Framingham,MA,1702,,1,http://www.mwrta.com/,6781,808401306,267,"322,241",10,"Boston, MA-NH-RI",,"4,181,019","2,232","1,873",,95,95,,
10119,1119,University Of New Hampshire - University Transportation Services,UNH UTS,,Active,Reduced Reporter,Urban,University,,,,6/30/2017,10/31/2017,295 Mast Road,Visitor Information Center,,Durham,NH,3824,4728,1,http://www.unh.edu/transportation/,6168,111089470,68,"111,590",331,"Dover-Rochester, NH-ME",,"88,087","1,326",66,25,,25,,
10121,1121,Androscoggin Valley Council of Governments,AVCOG,,Active,Planning Reporter,Urban,"MPO, COG or Other Planning Agency",,,,9/30/2017,1/31/2018,125 Manley Road,,,Auburn,ME,4210,,1,http://www.AVCOG.org/,1344,86876661,,,446,"Lewiston, ME",,"59,397","1,678",35,,,,,
10122,1122,"Jalbert Leasing, Inc. ",,C&J Bus Lines,Active,Reduced Reporter,Urban,Private-For-Profit Corporation,,,,12/31/2017,4/30/2018,185 Grafton Drive,,,Portsmouth,NH,3801,,1,http://www.ridecj.com/,1122,782488548,"2,449","536,001",329,"Portsmouth, NH-ME",,"88,200",952,93,30,,30,,
10123,1123,Greater Derry Salem Cooperative Alliance for Regional Transportation,CART,,Active,Reduced Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,9/30/2017,1/31/2018,33 Geremonty Drive,,,Salem,NH,3079,,1,http://www.cart-rides.org/,6799,809736197,172,"112,897",10,"Boston, MA-NH-RI",,"4,181,019","2,232","1,873",,8,8,,
10127,1127,City of Stamford,,,Active,Building Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,888 Washington Boulevard,,10152,Stamford,CT,6904,2152,1,http://stamfordct.gov/,1751,72121601,,,48,"Bridgeport-Stamford, CT-NY",,"923,311","1,981",466,,,,,
10128,1128,Connecticut Department of Transportation- CTTransit Waterbury- NET,,,Active,Full Reporter,Urban,"Subsidiary Unit of a Transit Agency, Reporting Separately",,,,6/30/2017,10/31/2017,1717 Thomaston Avenue,,4670,Waterbury,CT,6704,,1,http://www.northeastbus.com/,1334,18857680,116,"238,853",185,"Waterbury, CT",,"194,535","2,155",90,,70,70,,
10130,1130,Connecticut Department of Transportation -CTTRANSIT New Britain ,,,Active,Full Reporter,Urban,Private Provider Reporting on Behalf of a Public Entity,,,,6/30/2017,10/31/2017,257 Woodlawn Road,,,Berlin,CT,6037,,1,http://www.nbtrans.com/,1334,18730705,81,"203,562",47,"Hartford, CT",,"924,859","1,792",516,,13,13,,
10132,1132,State of Connecticut - CTTransit - Nason - Torrington-Winsted,Nason Partners,,Active,Reduced Reporter,Urban,Private-For-Profit Corporation,,,,6/30/2017,10/31/2017,"Nason Partners, LLC, dba Kelley Transit Company",,237,Torrington,CT,6790,,1,http://www.kelleytransit.com/,1334,602749108,74,"47,692",47,"Hartford, CT",,"924,859","1,792",516,,4,4,,
10133,1133,"Boston Express Bus, Inc.",BX,,Active,Reduced Reporter,Urban,Private-For-Profit Corporation,,,,12/31/2017,4/30/2018,7 Langdon St.,,,Concord,NH,3301,,1,http://www.bostonexpressbus.com/,1385,12410029,502,"460,516",10,"Boston, MA-NH-RI",,"4,181,019","2,232","1,873",25,,25,,
10178,1156,Town of Bedford,,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,12 Mudge Way,,,Bedford,MA,1730,,1,http://www.bedfordma.gov/,1369,97451355,14,"14,329",10,"Boston, MA-NH-RI",,"4,181,019","2,232","1,873",1,,1,,
10179,1157,City of Beverly,,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,191 Cabot Street,,,Beverly,MA,1915,,1,http://www.beverlyma.gov/,1369,79515219,25,"39,502",10,"Boston, MA-NH-RI",,"4,181,019","2,232","1,873",,2,2,,
10180,1158,City of Burlington,,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,25 Center Street,,,Burlington,MA,1803,,1,http://www.burlington.org/residents/burlington_public_transit.php,1369,0,25,"24,498",10,"Boston, MA-NH-RI",,"4,181,019","2,232","1,873",,3,3,,
10181,1159,Town of Lexington,Lexpess,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,Lexpress,39 Marrett Road,,Lexington,MA,2421,,1,http://www.lexpress.us/,0,76592716,25,"51,875",10,"Boston, MA-NH-RI",,"4,181,019","2,232","1,873",,3,3,,
10182,1160,"Mission Hill Link, Inc.",,,Active,Reduced Reporter,Urban,Private-Non-Profit Corporation,,,,6/30/2017,10/31/2017,,,200868,Boston,MA,2122,,1,,1369,964867977,10,"24,237",10,"Boston, MA-NH-RI",,"4,181,019","2,232","1,873",,1,1,,
10183,,"Woods Hole, Martha's Vineyard and Nantucket Steamship Authority",WHMVNSSA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2017,4/30/2018,P.O. Box 284,,,Woods Hole,MA,2543,,1,www.steamshipauthority.com,1368,41030552,"2,100","242,595",152,"Barnstable Town, MA",,"246,695",890,277,35,,35,,
10184,,The Mashpee Wampanoag Tribe,,,Active,Reduced Reporter,Tribe,Tribe,,,,12/31/2017,4/30/2018,483 Great Neck Road South,,,Mashpee,MA,2649,,1,www.mashpeewampanoagtribe.com,7333,800431913,98,"445,980",152,"Barnstable Town, MA",,"246,695",890,277,3,,3,,
10185,,Adams Council on Aging,,,Active,Reduced Reporter,Urban,Area Agency on Aging,,,,6/30/2017,10/31/2017,3 Hoosac Street,,,Adams,MA,1220,,1,http://adamsma.virtualtownhall.net/Public_Documents/AdamsMA_Aging/index,1378,49033236,384,"127,500",448,"Pittsfield, MA",,"59,124","1,765",34,2,,2,,
10186,,"Adlib, Inc.",,,Active,Reduced Reporter,Urban,Private-Non-Profit Corporation,,,,6/30/2017,10/31/2017,215 North Street,,,Pittsfield,MA,1201,,1,http://www.adlibcil.org/,1378,171662265,384,"127,500",448,"Pittsfield, MA",,"59,124","1,765",34,1,,1,,
10187,,Dalton Council on Aging,,,Active,Reduced Reporter,Urban,Area Agency on Aging,,,,6/30/2017,10/31/2017,40 Field Street Extension,,,Dalton,MA,1226,,1,http://www.dalton-ma.gov/index.asp?SEC=E1EDD3E4-D60E-458A-A9E5-15CC65FB5749&Type=B_BASIC,1378,0,384,"127,500",448,"Pittsfield, MA",,"59,124","1,765",34,1,,1,,
10188,,Williamstown Council on Aging,,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,118 Church Street,,,Williamstown,MA,1267,,1,http://williamstownma.gov/2157/Council-on-Aging,1378,957284474,25,"2,000",448,"Pittsfield, MA",,"59,124","1,765",34,1,,1,,
10189,,Southern Berkshire Elderly Transportation Corp.,SBETC,,Active,Reduced Reporter,Urban,Private-Non-Profit Corporation,,,,6/30/2017,10/31/2017,917 Main Street,,,Great Barrington,MA,1230,,1,http://www.montereyma.gov/Public_Documents/MontereyMA_About/SBETC,1378,176358836,384,"127,500",448,"Pittsfield, MA",,"59,124","1,765",34,3,,3,,
10190,,Lenox Council on Aging,,,Active,Reduced Reporter,Urban,Area Agency on Aging,,,,6/30/2017,10/31/2017,65 Walker St.,,,Lenox,MA,1240,,1,www.townoflenox.com,,957207400,384,"127,500",448,"Pittsfield, MA",,"59,124","1,765",34,1,,1,,
10191,,Lanesborough Council on Aging,,,Active,Reduced Reporter,Urban,Area Agency on Aging,,,,6/30/2017,10/31/2017,83 North Main Street,,1492,Lanesborough,MA,1237,1492,1,http://www.lanesborough-ma.gov,1378,16555287,30,"3,091",448,"Pittsfield, MA",,"59,124","1,765",34,1,,1,,
10192,,North Adams Council on Aging,nacoa,,Active,Reduced Reporter,Urban,Area Agency on Aging,,,,6/30/2017,10/31/2017,116 Ashland Street,Mary Spitzer Center,,North Adams,MA,1247,,1,http://northadams-ma.gov/index.php?nav_id=25,1378,96935812,384,"127,500",448,"Pittsfield, MA",,"59,124","1,765",34,2,,2,,
10193,,Town of Sheffield Council on Aging,,,Active,Reduced Reporter,Urban,Area Agency on Aging,,,,6/30/2017,10/31/2017,25 Cook Road,,,Sheffield,MA,1257,,1,http://www.sheffieldma.gov/Pages/SheffieldMA_COA/index,1378,960522456,384,"127,500",448,"Pittsfield, MA",,"59,124","1,765",34,1,,1,,
10195,,Cheshire Council on Aging,,,Active,Reduced Reporter,Urban,Area Agency on Aging,,,,6/30/2017,10/31/2017,,,647,Cheshire,MA,1225,,1,www.cheshire-ma.net,1378,957200876,384,"127,500",448,"Pittsfield, MA",,"59,124","1,765",34,1,,1,,
10196,,Pittsfield Council on Aging,,,Active,Reduced Reporter,Urban,Area Agency on Aging,,,,6/30/2017,10/31/2017,330 North Street,,,Pittsfield,MA,1201,,1,http://www.cityofpittsfield.org/city_hall/council_on_aging/,1378,84069624,42,"43,697",448,"Pittsfield, MA",,"59,124","1,765",34,2,,2,,
11140,1T01,Houlton Band of Maliseet Indians,,,Active,Reduced Reporter,Tribe,Tribe,,,,9/30/2017,1/31/2018,88 Bell Road,,,Littleton,ME,4730,,1,http://www.maliseets.com/,6770,118090216,0,0,0,Maine Non-UZA,"Houlton Maliseet Reservation and Off-Reservation Trust Land, ME",0,0,0,6,,6,,
11146,1T02,Aroostook Band of Micmacs,,,Active,Reduced Reporter,Tribe,Tribe,,,,9/30/2017,,7 Northern Road ,,,Presque Isle ,ME,4769,,1,http://www.micmac-nsn.gov/,7281,930156138,,,0,Maine Non-UZA,"Aroostook Band of Micmac Trust Land, ME",0,0,0,3,,3,,
11147,,Rhode Island Department of Transportation,RIDOT,,Active,Full Reporter,Urban,State Government Unit or Department of Transportation,,,,9/30/2017,1/31/2018,2 Capitol Hill,Room 316,,Providence,RI,2903,,1,http://www.dot.ri.gov/,1878,799131685,10,"78,813",39,"Providence, RI-MA",,"1,190,956","2,185",545,,1,1,,
11152,1T03,Mashantucket Pequot Tribal Nation,,,Active,Reduced Reporter,Tribe,Tribe,,,,9/30/2017,1/31/2018,103 Pequot Trail,ATTENTION: Keith Gove,3201,Mashantucket,CT,6338,,1,,7191,791793318,,,0,Connecticut Non-UZA,"Mashantucket Pequot Reservation and Off-Reservation Trust Land, CT",0,0,0,5,,5,,
11159,,"Blooms Bus Lines, Inc.",BBL,,Active,Reduced Reporter,Urban,Private-For-Profit Corporation,,,,12/31/2017,4/30/2018,28 Grosvenor Street,,,Taunton,MA,2780,,1,http://www.bloombus.com/,1365,53729252,60,"100,000",10,"Boston, MA-NH-RI",,"4,181,019","2,232","1,873",5,,5,,
1R01,1R01,Connecticut Department of Transportation,,,,State Reporter,Rural,,,,,6/30/2017,10/31/2017,,,,,,,,,,,,,,,,,,,,,,,,
1R01-10131,1R01-004,Northwestern CT Transit District,NWCTD,,Active,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",1R01,Connecticut Department of Transportation,Rural General Public Transit,6/30/2017,10/31/2017,957 East Main St. ,,,Torrington,CT,6241,,1,http://www.nwcttransit.com/,,833134419,,,,,,,,,23,,23,,
1R01-10140,1R01-001,Estuary Transit District,ETD,,Active,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,1R01,Connecticut Department of Transportation,Rural General Public Transit,6/30/2017,10/31/2017,455 Boston Post Road,,,Old Saybrook,CT,6475,,1,http://www.9towntransit.com,,781093302,,,,,,,,,11,,11,,
1R01-10149,1R01-005,Windham Region Transit District,WRTD,,Active,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",1R01,Connecticut Department of Transportation,Rural General Public Transit,6/30/2017,10/31/2017,115 Ash Street,,,Willimantic,CT,6226,,1,http://www.wrtd.net,,877536920,,,,,,,,,14,,14,,
1R01-10156,1R01-003,Northeastern Connecticut Transit District,NECTD,,Active,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,1R01,Connecticut Department of Transportation,Rural General Public Transit,6/30/2017,10/31/2017,,125 Putnam Pike,795,Dayville,CT,6241,,1,http://www.nectd.org/,,958189722,,,,,,,,,10,,10,,
1R02,1R02,Massachusetts Department of Transportation ,,,,State Reporter,Rural,,,,,6/30/2017,10/31/2017,,,,,,,,,,,,,,,,,,,,,,,,
1R02-10145,1R02-003,Martha's Vineyard Transit Authority,VTA,,Active,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,1R02,Massachusetts Department of Transportation ,Rural General Public Transit,6/30/2017,10/31/2017,11A Street,Business Park,,Edgartown,MA,2539,,1,http://www.vineyardtransit.com,,607448128,,,,,,,,,33,,33,,
1R02-10157,1R02-006,Peter Pan Bus Lines,PPBL,,Active,Rural Reporter,Rural,Private-For-Profit Corporation,1R02,Massachusetts Department of Transportation ,Intercity Bus,6/30/2017,10/31/2017,Corporate Headquarters,1776 Main Street,1776,Springfield,MA,1102,1776,1,http://www.peterpanbus.com,,2791374,,,,,,,,,,,,,
1R02-10162,1R02-004,Nantucket Regional Transit Authority,NRTA,,Active,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,1R02,Massachusetts Department of Transportation ,Rural General Public Transit,6/30/2017,10/31/2017,3 East Chestnut Street,,,Nantucket,MA,2554,,1,http://www.nrawave.com,,831125427,,,,,,,,,15,,15,,
1R02-10173,1R02-005,Franklin Regional Transit Authority,FRTA,,Active,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,1R02,Massachusetts Department of Transportation ,Rural General Public Transit,6/30/2017,10/31/2017,12 Olive St,,,Greenfield,MA,1301,,1,http://www.frta.org,,601742117,,,,,,,,,26,,26,21,21
1R02-10176,1R02-007,Plymouth & Brockton Street Railway Co.,P&B,,Active,Rural Reporter,Rural,Private-For-Profit Corporation,1R02,Massachusetts Department of Transportation ,Intercity Bus,6/30/2017,10/31/2017,8 Industrial Park Road,,,Plymouth,MA,2360,4828,1,http://www.p-b.com,,3774130,,,,,,,,,,,,,
1R02-11157,,TrueNorth Transit Group LLC,,,Active,Rural Reporter,Rural,Private-For-Profit Corporation,1R02,Massachusetts Department of Transportation ,Intercity Bus,6/30/2017,10/31/2017,5 State Street,,,Shelburne Falls,MA,1370,,1,,,,,,,,,,,,,,,,
1R02-60208,7R03-038,"Greyhound Lines, Inc.",,,Active,Rural Reporter,Rural,Private-For-Profit Corporation,1R02,Massachusetts Department of Transportation ,Intercity Bus,6/30/2017,10/31/2017,350 N St. Paul Street,,,Dallas,TX,75201,,6,http://www.greyhound.com,,825063233,,,,,,,,,,,,,
1R03,1R03,Maine Department of Transportation,,,,State Reporter,Rural,,,,,6/30/2017,10/31/2017,,,,,,,,,,,,,,,,,,,,,,,,
1R03-10134,1R03-006,Penquis Community Action Program,Penquis C.A.P.,,Active,Rural Reporter,Rural,Private-Non-Profit Corporation,1R03,Maine Department of Transportation,Rural General Public Transit,6/30/2017,10/31/2017,262 Harlow St.,,1162,Bangor,ME,4401,1162,1,http://www.penquis.org/,,73992687,34,"33,037",,,,,,,176,19,195,210,210
1R03-10142,1R03-001,"Aroostook Regional Transportation Systems, Inc.",ARTS,,Active,Rural Reporter,Rural,Private-Non-Profit Corporation,1R03,Maine Department of Transportation,Rural General Public Transit,6/30/2017,10/31/2017,24 Houlton Road,,552,Presque Isle,ME,4769,552,1,http://www.aroostooktransportation.org,,108077601,,,,,,,,,18,,18,8,8
1R03-10146,1R03-007,Washington Hancock Community Agency,WHCA,,Active,Rural Reporter,Rural,Private-Non-Profit Corporation,1R03,Maine Department of Transportation,Rural General Public Transit,6/30/2017,10/31/2017,248 Bucksport Road,,299,Ellsworth,ME,4605,299,1,http://www.whcacap.org,,77471738,,,,,,,,,32,,32,19,19
1R03-10147,1R03-028,"John T. Cyr & Sons, Inc.",,,Active,Rural Reporter,Rural,Private-For-Profit Corporation,1R03,Maine Department of Transportation,Intercity Bus,6/30/2017,10/31/2017,153 Gilman Falls Ave,,368,OLD TOWN,ME,4468,368,1,http://www.CyrBusTours.com,,57387854,"1,804","147,591",,,,,,,,,,,
1R03-10152,1R03-014,City of Bath,Bath CityBus,,Active,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",1R03,Maine Department of Transportation,Rural General Public Transit,6/30/2017,10/31/2017,55 Front Street,,,Bath,ME,4530,,1,http://www.cityofbath.com,,83178350,"4,791","172,870",,,,,,,2,,2,,
1R03-10153,1R03-027,Town of Cranberry Isles,,,Active,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",1R03,Maine Department of Transportation,Rural General Public Transit,6/30/2017,10/31/2017,59 Main St,,56,Islesford,ME,4646,56,1,http://cranberryisles-me.gov/,,152232380,,,,,,,,,,2,2,,
1R03-10155,1R03-005,Kennebec Valley Community Action Program,KVCAP,,Active,Rural Reporter,Rural,Private-Non-Profit Corporation,1R03,Maine Department of Transportation,Rural General Public Transit,6/30/2017,10/31/2017,97 Water Street,,,Waterville,ME,4901,6339,1,http://www.kvcap.org,,37709490,,,,,,,,,33,,33,92,92
1R03-10167,1R03-020,Isle au Haut Boat Services,,,Active,Rural Reporter,Rural,Private-Non-Profit Corporation,1R03,Maine Department of Transportation,Rural General Public Transit,6/30/2017,10/31/2017,Seabreeze Avenue,,709,Stonington,ME,4681,,1,http://www.isleauhaut.com,,788660699,,,,,,,,,2,,2,,
1R03-10169,1R03-013,Waldo Community Action Partners,WCAP,,Active,Rural Reporter,Rural,Private-Non-Profit Corporation,1R03,Maine Department of Transportation,Rural General Public Transit,6/30/2017,10/31/2017,"9 Field Street, #201",,130,Belfast,ME,4915,130,1,http://www.waldocap.org,,791561657,,,,,,,,,30,,30,19,19
1R03-10175,1R03-011,"Downeast Transportation, Inc. ",DTI,,Active,Rural Reporter,Rural,Private-Non-Profit Corporation,1R03,Maine Department of Transportation,Rural General Public Transit,6/30/2017,10/31/2017,,,914,Ellsworth,ME,4605,914,1,http://www.downeasttrans.org,,198740227,,,,,,,,,39,,39,,
1R03-10177,1R03-008,"West's Transportation, Inc. ",,,Active,Rural Reporter,Rural,Private-For-Profit Corporation,1R03,Maine Department of Transportation,Rural General Public Transit,6/30/2017,10/31/2017,79 Pigeon Hill Road,,82,Milbridge,ME,4658,82,1,http://westbusservice.com/,,30522494,,,,,,,,,11,,11,,
1R03-11153,,West's Transportation - Intercity Bus,,,Active,Rural Reporter,Rural,Private-For-Profit Corporation,1R03,Maine Department of Transportation,Intercity Bus,6/30/2017,10/31/2017,79 Pigeon Hill Road,,82,Milbridge,ME,4658,82,1,http://westbusservice.com/,,30522494,,,,,,,,,,,,,
