Trs_Id,Agency_Type_Desc,Organization_Type_Desc,Fy_Month_Num,Fy_Day_Num,Fy_Year_Num,Company_Nm,Street1_Nm,Street2_Nm,City_Nm,State_Desc,Zip_Cd,Zip_4_Cd,Url_Cd,Ftavc_Cd,Logo_Cd,Service_Area,Service_Area_Population,Veh_Operated_Comment,Other_Url_Cd,Po_Box,Other_Cap_Use_Comment_Desc,Other_Option_B_Comment_Desc,Voluntary_Reporter_Fl,Operate_FGW_MBDO_Fl,Operate_FGW_MBPT_Fl,DUNS Number,Small_Systems_Waiver_Fl,Operate_FGW_CBDO_Fl,Operate_FGW_CBPT_Fl
5047,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2011,Bloomington-Normal Public Transit System                                                            ,351 Wylie Drive                                                                                     ,                                                                                                    ,Normal                             ,IL                  ,61701,    ,www.b-npts.com                                                                                      ,1181,B-NPTS                   ,46,"129,107",                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N, ,079158168,N,N,N
5050,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,12,31,2011,Indianapolis and Marion County Public Transportation                                                ,1501 West Washington Street                                                                         ,                                                                                                    ,Indianapolis                       ,IN                  ,46222,    ,www.indygo.net                                                                                      ,1202,IndyGo                   ,396,"911,296",                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,072083116,N,N,N
5051,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,12,31,2011,Greater Lafayette Public Transportation Corporation                                                 ,1250 Canal Road                                                                                     ,                                                                                                    ,Lafayette                          ,IN                  ,47902,0588,www.gocitybus.com                                                                                   ,1194,CityBus                  ,64,"147,725",                                                                                                                                                                                                        ,                                                                                                    ,588       ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N, ,067880757,N,N,N
5052,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,12,31,2011,South Bend Public Transportation Corporation                                                        ,1401 S. Lafayette Blvd.                                                                             ,                                                                                                    ,South Bend                         ,IN                  ,46613,    ,www.sbtranspo.com                                                                                   ,1197,Transpo                  ,68,"154,346",                                                                                                                                                                                                        ,                                                                                                    ,1437      ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N, ,042838474,N,N,N
5053,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,12,31,2011,Terre Haute Transit Utility                                                                         ,901 South 14th Street                                                                               ,                                                                                                    ,Terre Haute                        ,IN                  ,47807,4923,www.terrehaute.in.gov                                                                               ,2568,THTU                     ,18,"59,614",                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N, ,153437983,N,N,N
5054,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,12,31,2011,Muncie Indiana Transit System                                                                       ,1300 East Seymour Street                                                                            ,                                                                                                    ,Muncie                             ,IN                  ,47302,    ,www.mitsbus.org                                                                                     ,2053,MITS                     ,27,"70,085",                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N, ,048430987,N,N,N
5056,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2011,Greater Peoria Mass Transit District                                                                ,2105 Northeast Jefferson Street                                                                     ,                                                                                                    ,Peoria                             ,IL                  ,61603,3587,www.ridecitylink.org                                                                                ,1179,CityLink                 ,105,"207,795",                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,045516218,N,N,N
5057,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2011,Rock Island County Metropolitan Mass Transit District                                               ,1515 River Drive                                                                                    ,                                                                                                    ,Moline                             ,IL                  ,61265,    ,www.qcmetrolink.com                                                                                 ,1180,MetroLink                ,46,"119,657",                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N, ,086042413,N,N,N
5058,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2011,Rockford Mass Transit District                                                                      ,520 Mulberry Street                                                                                 ,                                                                                                    ,Rockford                           ,IL                  ,61101,1016,www.rmtd.org                                                                                        ,1186,RMTD                     ,138,"274,998",                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N, ,082039322,N,N,N
5059,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2011,Springfield Mass Transit District                                                                   ,928 South Ninth Street                                                                              ,                                                                                                    ,Springfield                        ,IL                  ,62703,2497,www.smtd.org                                                                                        ,1187,SMTD                     ,92,"161,316",                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N, ,062326152,N,N,N
5060,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2011,Champaign-Urbana Mass Transit District                                                              ,1101 East University Avenue                                                                         ,                                                                                                    ,Urbana                             ,IL                  ,61802,2009,www.cumtd.com                                                                                       ,1188,C-U MTD                  ,30,"145,361",                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N, ,065236325,N,N,N
5061,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2011,Decatur Public Transit System                                                                       ,555 East Wood Street                                                                                ,                                                                                                    ,Decatur                            ,IL                  ,62523,1325,www.decaturil.gov                                                                                   ,1274,DPTS                     ,53,"86,080",                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N, ,075613000,N,N,N
5066,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,12,31,2011,Chicago Transit Authority                                                                           ,567 West Lake Street                                                                                ,                                                                                                    ,Chicago                            ,IL                  ,60661,1498,www.transitchicago.com                                                                              ,1182,CTA                      ,325,"3,535,501",                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,Y,N,005532205,N,N,N
5088,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,12,31,2011,Shoreline Metro                                                                                     ,608 South Commerce Street                                                                           ,                                                                                                    ,Sheboygan                          ,WI                  ,53081,4356,www.shorelinemetro.com                                                                              ,2059,                         ,23,"59,490",                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N, ,076144153,N,N,N
5090,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,12,31,2011,Richland County Transit                                                                             ,35 North Park Street                                                                                ,                                                                                                    ,Mansfield                          ,OH                  ,44902,    ,www.rctbuses.com                                                                                    ,1240,RCT                      ,39,"68,011",                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y, ,N,194174645,Y,N,N
5091,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,12,31,2011,Wausau Area Transit System                                                                          ,420 Plumer Street                                                                                   ,                                                                                                    ,Wausau                             ,WI                  ,54403,6276,http://metroride.ci.wausau.wi.us                                                                    ,2061,WATS                     ,19,"40,000",                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N, ,933366296,N,N,N
5092,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,12,31,2011,City of Rochester Public Transportation                                                             ,"201 4th Street, S.E.                                                                                ",Room 108                                                                                            ,Rochester                          ,MN                  ,55904,    ,www.rochestermn.gov                                                                                 ,1222,RPT                      ,147,"104,230",                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y, ,N,077629467,N,N,N
5093,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,12,31,2011,Lima Allen County Regional Transit Authority                                                        ,200 East High Street                                                                                ,                                                                                                    ,Lima                               ,OH                  ,45801,    ,www.acrta.com                                                                                       ,1230,LACRTA                   ,52,"87,324",                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N, ,022368849,N,N,N
5095,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,12,31,2011,Lorain County Transit                                                                               ,226 Middle Avenue                                                                                   ,                                                                                                    ,Elyria                             ,OH                  ,44035,    ,www.loraincounty.us/transit                                                                         ,1229,LCT                      ,49,"127,025",                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y, ,N,618080436,Y,N,N
