5 digit NTDID,4 digit NTDID,Reporter Name,Reporter Acronym,Reporter Status,Reporter Type,Organization Type,Fy End Date,Original Due Date,Address Line 1,Address Line 2,City,State,Zip Code,Zip Code Ext,Po Box,Region,URL,FTA Recipient ID,Duns Number,Service Area Sq Mi,Service Area Pop,Primary UZA,UZA Name,Population,Density,Sq Miles,Required Reporter,VOMS DO,VOMS PT,VOMS
20165,2165,"Olympia Trails Bus Company, Inc.",Coach USA,Active,Full Reporter: Operating,Private-For-Profit Corporation,12/31/2014,4/30/2015,349 First Street,,Elizabeth,NJ,07206,,,2,http://www.olympiabus.com/,,064287410,"2,898","5,443,000",1,"New York-Newark, NY-NJ-CT","18,351,295","5,319","3,450",Y,17,,17
20166,2166,"Orange-Newark-Elizabeth, Inc.",Coach USA,Active,Full Reporter: Operating,Private-For-Profit Corporation,12/31/2014,4/30/2015,349 First Street,,Elizabeth,NJ,07206,,,2,http://www.coachusa.com/,,011335031,"2,898","5,443,000",1,"New York-Newark, NY-NJ-CT","18,351,295","5,319","3,450",Y,52,,52
20169,2169,"Trans-Bridge Lines, Inc. ",,Active,Full Reporter: Operating,Private-For-Profit Corporation,12/31/2014,4/30/2015,2012 Industrial Drive,,Bethlehem,PA,18017,,,2,http://www.transbridgelines.com/,,877514653,"2,898","5,443,000",1,"New York-Newark, NY-NJ-CT","18,351,295","5,319","3,450",Y,53,,53
20172,2172,"Centro of Oswego, Inc.",Centro of Oswego,Active,Full Reporter: Operating,"Subsidiary Unit of a Transit Agency, Reporting Separately",3/31/2014,1/31/2015,200 Cortland Avenue,,Syracuse,NY,13205,0820,820,2,http://www.centro.org/,1778,070850912,92,"89,591",90,"Syracuse, NY","412,317","2,115",195,Y,11,,11
20175,2175,Private Transportation Corporation,,Active,Full Reporter: Operating,Private-For-Profit Corporation,12/31/2014,4/30/2015,15 Second Avenue,,Brooklyn,NY,11215,,,2,http://www.williamsburgboroparkbus.com/,,052820453,71,"2,465,326",1,"New York-Newark, NY-NJ-CT","18,351,295","5,319","3,450",N,,6,6
20176,2176,Kaser Bus Service,Kaser,Active,Small Systems Reporter,Independent Public Agency or Authority of Transit Service,12/31/2014,4/30/2015,15 Elyon Road,,Monsey,NY,10952,,391,2,,6678,961959033,75,"4,724",1,"New York-Newark, NY-NJ-CT","18,351,295","5,319","3,450",Y,,2,2
20177,2177,"Adirondack Transit Lines, Inc,",Adirondack Trailways,Active,Full Reporter: Operating,Private-For-Profit Corporation,12/31/2014,4/30/2015,499 Hurley Avenue,,Hurley,NY,12443,,,2,http://www.trailwaysny.com/,,008916033,"10,702","9,428,015",1,"New York-Newark, NY-NJ-CT","18,351,295","5,319","3,450",Y,26,,26
20178,2178,Ulster County Area Transit,UCAT,Active,Full Reporter: Operating,"City, County or Local Government Unit or Department of Transportation",12/31/2014,4/30/2015,1 Danny Circle,,Kingston,NY,12401,,,2,http://www.co.ulster.ny.us/ucat/,5900,077209740,"1,124","181,670",89,"Poughkeepsie-Newburgh, NY-NJ","423,566","1,295",327,Y,21,,21
20179,2179,"Hendrick Hudson Bus Lines, Inc.",HHBL,Active,Small Systems Reporter,Private Provider Reporting on Behalf of a Public Entity,12/31/2014,4/30/2015,100 Leprechaun Lane,,Newburgh,NY,12550,,2628,2,http://www.leprechaunlines.com/,,057020489,132,"249,175",89,"Poughkeepsie-Newburgh, NY-NJ","423,566","1,295",327,N,6,,6
20182,2182,Town of Highlands Dial-A-Bus,None,Active,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",12/31/2014,4/30/2015,254 Main Street,,Highland Falls,NY,10928,,,2,http://www.highlands-ny.gov/,,038243523,36,"13,000",89,"Poughkeepsie-Newburgh, NY-NJ","423,566","1,295",327,N,1,,1
20183,2183,Town of Monroe Dial-A-Bus,Monroe DAB,Active,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",12/31/2014,4/30/2015,91 Mine Road,,Monroe,NY,10950,,,2,http://www.monroeny.org/,3152,146002307,24,"39,912",89,"Poughkeepsie-Newburgh, NY-NJ","423,566","1,295",327,Y,6,,6
20185,2185,"Centro of Oneida, Inc.",Centro of Oneida,Active,Full Reporter: Operating,"Subsidiary Unit of a Transit Agency, Reporting Separately",3/31/2014,1/31/2015,200 Cortland Avenue,,Syracruse,NY,13205,0820,,2,http://www.centro.org/,1778,070850912,73,"154,159",268,"Utica, NY","117,328","1,881",62,Y,30,,30
20187,2187,Village of Kiryas Joel,KJ,Active,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",12/31/2014,4/30/2015,,,Monroe,NY,10949,,566,2,,, 06755947,1,"21,000",89,"Poughkeepsie-Newburgh, NY-NJ","423,566","1,295",327,Y,4,,4
20188,2188,MTA Bus Company,MTABUS,Active,Full Reporter: Operating,"Subsidiary Unit of a Transit Agency, Reporting Separately",12/31/2014,4/30/2015,2 Broadway,,New York,NY,10004,,,2,http://www.mta.info/,,045445137,244,"7,706,403",1,"New York-Newark, NY-NJ-CT","18,351,295","5,319","3,450",Y,"1,089",,"1,089"
20189,2189,"BillyBey Ferry Company, LLC",,Active,Full Reporter: Operating,Private-For-Profit Corporation,12/31/2014,4/30/2015,Pier 79,459 12th Avenue,New York,NY,10018,,,2,http://www.nywaterway.com/,,963909101,70,"2,131,266",1,"New York-Newark, NY-NJ-CT","18,351,295","5,319","3,450",N,6,,6
20190,2190,Port Imperial Ferry Corporation dba NY Waterway,,Active,Full Reporter: Operating,Private-For-Profit Corporation,12/31/2014,4/30/2015,4800 Avenue at Port Imperial,,Weehawken,NJ,07086,7142,,2,http://www.nywaterway.com/,,958392946,776,"3,658,455",1,"New York-Newark, NY-NJ-CT","18,351,295","5,319","3,450",N,61,,61
20191,2191,City of Kingston Citibus,,Active,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",12/31/2014,4/30/2015,17 Hoffman Street,,Kingston,NY,12401,,,2,http://www.ci.kingston.ny.us/,1782,020673166,15,"24,135",457,"Kingston, NY","57,442","1,341",43,Y,5,,5
20192,2192,Bergen County Community Transportation,BCCT,Active,Full Reporter: Operating,"City, County or Local Government Unit or Department of Transportation",12/31/2014,4/30/2015,178 Essex Street,,Lodi,NJ,07644,,,2,http://www.co.bergen.nj.us/,,076687284,247,"905,116",1,"New York-Newark, NY-NJ-CT","18,351,295","5,319","3,450",Y,62,,62
20193,2193,Cumberland Area Transit System,CATS,Active,Full Reporter: Operating,"City, County or Local Government Unit or Department of Transportation",12/31/2014,4/30/2015,800 East Commerce Street,,Bridgeton,NJ,08302,,,2,http://www.co.cumberland.nj.us/,,030346899,484,"156,898",5,"Philadelphia, PA-NJ-DE-MD","5,441,567","2,746","1,981",Y,20,,20
20194,2194,East Windsor Township,EW,Active,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",12/31/2014,4/30/2015,16 Lanning Boulevard,,East Windsor,NJ,08520,1999,,2,http://www.east-windsor.nj.us/,,602542094,16,"27,190",429,"Twin Rivers-Hightstown, NJ","64,037","1,817",35,Y,1,1,2
20195,2195,Gloucester County Division of Transportation Services ,DTS,Active,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",12/31/2014,4/30/2015,115 Budd Boulevard,,West Deptford,NJ,08096,,337,2,http://www.co.gloucester.nj.us/,,967221321,329,"290,265",5,"Philadelphia, PA-NJ-DE-MD","5,441,567","2,746","1,981",Y,22,3,25
20196,2196,Middlesex County Area Transit,MCAT,Active,Full Reporter: Operating,"City, County or Local Government Unit or Department of Transportation",12/31/2014,4/30/2015,711 Jersey Avenue,,New Brunswick,NJ,08901,,,2,http://www.co.middlesex.nj.us/,,073133100,310,"805,000",1,"New York-Newark, NY-NJ-CT","18,351,295","5,319","3,450",Y,89,,89
20197,2197,"Meadowlands Transportation Brokerage Corporation, dba Meadowlink",Meadowlink,Active,Small Systems Reporter,Private-Non-Profit Corporation,6/30/2014,1/31/2015,144 Park Place East,,Wood Ridge,NJ,07075,1804,,2,http://www.ezride.org/,,033444444,747,"2,215,282",1,"New York-Newark, NY-NJ-CT","18,351,295","5,319","3,450",Y,26,,26
20198,2198,"TransOptions, Inc. ",,Active,Small Systems Reporter,Private-Non-Profit Corporation,12/31/2014,4/30/2015,2 Ridgedale Avenue,Suite 200,Cedar Knolls,NJ,07981,,,2,http://www.transoptions.org/,,177266814,112,"53,945",1,"New York-Newark, NY-NJ-CT","18,351,295","5,319","3,450",N,,1,1
20199,2199,County of Atlantic,ACTU,Active,Full Reporter: Operating,"City, County or Local Government Unit or Department of Transportation",12/31/2014,4/30/2015,"201 Shore Rd., 2nd Fl. Rear",,Northfield,NJ,08401,8225,,2,http://www.aclink.org/,,079497897,567,"253,000",150,"Atlantic City, NJ","248,402","1,985",125,Y,34,,34
20200,2200,South Jersey Transportation Authority,sjta,Active,Small Systems Reporter,Independent Public Agency or Authority of Transit Service,12/31/2014,4/30/2015,Farley Service Plaza,"800 Cooper Street, Suite 500",Camden,NJ,08102,,,2,http://www.sjta.com/,,080541719,"1,898","1,525,228",150,"Atlantic City, NJ","248,402","1,985",125,Y,21,,21
20201,2201,County of Cumberland,CCET,Active,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",12/31/2014,4/30/2015,790 East Commerce Street,,Bridgeton,NJ,08302,,1398,2,http://www.ccoel.org/,,030346899,678,"156,898",5,"Philadelphia, PA-NJ-DE-MD","5,441,567","2,746","1,981",Y,10,,10
20202,2202,Essex County Division of Training and Employment,ECDTE,Active,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",12/31/2014,4/30/2015,50 South Clinton Street,,East Orange,NJ,07018,,,2,http://www.essex-countynj.org/,,071758903,126,"783,969",1,"New York-Newark, NY-NJ-CT","18,351,295","5,319","3,450",Y,,14,14
20203,2203,Cape May County Fare Free Transportation,Fare Free,Active,Full Reporter: Operating,"City, County or Local Government Unit or Department of Transportation",12/31/2014,4/30/2015,4 Moore Road,DN 626,Cape May Court House,NJ,08210,,,2,http://www.capemaycountygov.net/,,075525899,251,"97,265",489,"Villas, NJ","51,291","1,514",34,N,42,,42
20204,2204,"Senior Citizens United Community Services of Camden County, Inc.",SCUCS,Active,Full Reporter: Operating,Private-Non-Profit Corporation,12/31/2014,4/30/2015,537 W. Nicholson Road,,Audubon,NJ,08106,,,2,http://www.scucs.org/,,021044912,222,"508,932",5,"Philadelphia, PA-NJ-DE-MD","5,441,567","2,746","1,981",Y,52,,52
20206,2206,Nassau Inter County Express,NICE,Active,Full Reporter: Operating,"City, County or Local Government Unit or Department of Transportation",12/31/2014,4/30/2015,700 Commercial Avenue,,Garden City,NY,11530,,,2,http://www.nicebus.com/,1787,002414696,285,"1,339,532",1,"New York-Newark, NY-NJ-CT","18,351,295","5,319","3,450",Y,,350,350
20208,2208,County of Burlington,BurLink,Active,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",12/31/2014,4/30/2015,49 Rancocas Rd.,,Mt. Holly,NJ,08060,6000,6000,2,http://www.co.burlington.nj.us/,,833251390,833,"450,000",5,"Philadelphia, PA-NJ-DE-MD","5,441,567","2,746","1,981",Y,,15,15
20210,2210,County of Morris,MAPS,Active,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",12/31/2014,4/30/2015,P.O. Box 900,,Morristown,NJ,07963,0900,900,2,http://www.co.morris.nj.us/,,080611700,482,"494,976",1,"New York-Newark, NY-NJ-CT","18,351,295","5,319","3,450",N,25,,25
20211,2211,County of Mercer,TRADE,Active,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",12/31/2014,4/30/2015,640 South Broad Street,,Trenton,NJ,08650,8068,8068,2,http://nj.gov/counties/mercer/,,054177662,226,"367,063",128,"Trenton, NJ","296,668","2,810",106,Y,25,,25
20212,2212,County of Hunterdon,HCLink,Active,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",12/31/2014,4/30/2015,3 Gauntt Place,,Flemington,NJ,08822,4614,2900,2,http://www.co.hunterdon.nj.us/,,069878833,360,"299,000",1,"New York-Newark, NY-NJ-CT","18,351,295","5,319","3,450",Y,,21,21
20213,2213,City of Mechanicville,,Active,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",12/31/2014,4/30/2015,36 N. Main St.,,Mechanicville,NY,12118,,,2,http://www.mechanicville.com/DocumentCenter/Home/View/325/,,182806190,1,"5,196",67,"Albany-Schenectady, NY","594,962","2,012",296,Y,2,,2
20214,2214,Town of Warwick Dial A Bus,Warwick DAB,Active,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",12/31/2014,4/30/2015,132 Kings Highway,,Warwick,NY,10990,,,2,http://www.townofwarwick.org/,3152,087087441,142,"50,269",89,"Poughkeepsie-Newburgh, NY-NJ","423,566","1,295",327,Y,6,,6
20215,2215,Watertown CitiBus,,Active,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",10/31/2014,4/30/2015,"City of Watertown, Department of Public Works","245 Washington Street, Suite 206",Watertown,NY,13601,3381,,2,http://www.watertown-ny.gov/,,071600076,17,"28,266",455,"Watertown, NY","57,840","1,413",41,N,3,2,5
20217,2217,"Hampton Jitney, Inc.",,Active,Full Reporter: Operating,Private-For-Profit Corporation,12/31/2014,4/30/2015,395 County Road 39A,,Southampton,NY,11968,,,2,,,,"1,215","9,908,805",1,"New York-Newark, NY-NJ-CT","18,351,295","5,319","3,450",N,78,,78
30001,3001,Kanawha Valley Regional Transportation Authority,KVRTA,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,1550 4TH AVENUE,,Charleston,WV,25324,,1188,3,http://www.rideonkrt.com/,1464,047137484,902,"192,315",214,"Charleston, WV","153,199","1,560",98,Y,59,,59
30002,3002,The Tri-State Transit Authority,TTA,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,"1120 Virginia Avenue, West",,Huntington,WV,25779,,7965,3,http://www.tta-wv.com/,1467,059851329,130,"202,637",178,"Huntington, WV-KY-OH","202,637","1,555",130,Y,37,,37
30003,3003,Mid-Ohio Valley Transit Authority,Easy Rider,Active,Small Systems Reporter,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,520 Juliana Street,,Parkersburg,WV,26101,5301,,3,http://www.easyriderbus.com/,1469,082956509,14,"39,587",411,"Parkersburg, WV-OH","67,229","1,586",42,Y,13,,13
30006,3006,Greater Richmond Transit Company,GRTC Transit System,Active,Full Reporter: Operating,Other Publicly-Owned or Privately Chartered Corporation,6/30/2014,1/31/2015,301 East Belt Boulevard,,Richmond,VA,23224,,,3,http://www.ridegrtc.com/,1458,074746470,227,"449,572",45,"Richmond, VA","953,556","1,938",492,Y,124,199,323
30007,3007,Greater Roanoke Transit Company,Valley Metro,Active,Full Reporter: Operating,Other Publicly-Owned or Privately Chartered Corporation,6/30/2014,1/31/2015,"1108 Campbell Avenue, S.E.",,Roanoke,VA,24032,3247,13247,3,http://valleymetro.com/,1460,139292544,43,"97,032",172,"Roanoke, VA","210,111","1,692",124,Y,35,17,52
30008,3008,Greater Lynchburg Transit Company,GLTC,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,1301 Kemper Street,,Lynchburg,VA,24505,0797,797,3,http://www.gltconline.com/,1455,008955429,72,"80,846",271,"Lynchburg, VA","116,636","1,313",89,Y,36,,36
30009,3009,Petersburg Area Transit,PAT,Active,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",6/30/2014,1/31/2015,100 W Washington Street,,Petersburg,VA,23803,,,3,http://www.petersburgva.gov/,1457,066004375,7,"32,948",45,"Richmond, VA","953,556","1,938",492,Y,17,,17
30010,3010,Lehigh and Northampton Transportation Authority,LANTA,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,1060 Lehigh Street,,Allentown,PA,18103,,,3,http://www.lantabus.com/,1419,068571777,106,"389,000",61,"Allentown, PA-NJ","664,651","1,919",346,Y,70,95,165
30011,3011,Altoona Metro Transit,AMTRAN,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,3301 Fifth Avenue,,Altoona,PA,16602,1801,,3,http://www.amtran.org/,1420,059297549,25,"69,608",359,"Altoona, PA","79,930","2,138",37,Y,23,12,35
30012,3012,Cambria County Transit Authority,CamTran,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,726 Central Avenue,,Johnstown,PA,15902,2996,,3,http://www.camtranbus.com/,1431,083959171,60,"80,508",400,"Johnstown, PA","69,014","1,787",39,Y,83,,83
30013,3013,Erie Metropolitan Transit Authority,the e,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,127 East 14th Street,,Erie,PA,16503,1062,,3,http://www.ride-the-e.com/,1425,077774289,77,"189,872",183,"Erie, PA","196,611","2,391",82,Y,123,,123
30014,3014,Cumberland Dauphin-Harrisburg Transit Authority,CAT,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,901 North Cameron Street,,Harrisburg,PA,17101,,,3,http://www.cattransit.com/,1427,071195879,137,"503,506",86,"Harrisburg, PA","444,474","1,712",260,Y,93,18,111
30015,3015,Luzerne County Transportation Authority,LCTA,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,315 Northampton Street,,Kingston,PA,18704,5489,,3,http://www.lctabus.com/,1432,069594646,56,"202,500",99,"Scranton, PA","381,502","2,234",171,Y,76,,76
30018,3018,Red Rose Transit Authority,RRTA,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,45 Erick Road,,Lancaster,PA,17601,,,3,http://www.redrosetransit.com/,1434,010584282,248,"420,920",91,"Lancaster, PA","402,004","1,624",248,Y,33,62,95
30019,3019,Southeastern Pennsylvania Transportation Authority,SEPTA,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,1234 Market Street,,Philadelphia,PA,19107,3780,,3,http://www.septa.org/,1947,044543841,836,"3,361,074",5,"Philadelphia, PA-NJ-DE-MD","5,441,567","2,746","1,981",Y,"1,956",386,"2,342"
30022,3022,Port Authority of Allegheny County,Port Authority,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,345 Sixth Avenue,3rd Floor,Pittsburgh,PA,15222,2527,,3,http://www.portauthority.org/,1441,072158041,775,"1,415,244",27,"Pittsburgh, PA","1,733,853","1,916",905,Y,625,275,900
30023,3023,Beaver County Transit Authority,BCTA,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,200 West Washington Street,,Rochester,PA,15074,2235,,3,http://www.bcta.com/,1422,153757042,440,"170,539",27,"Pittsburgh, PA","1,733,853","1,916",905,Y,38,,38
30024,3024,Berks Area Regional Transportation Authority,BARTA,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,1700 North 11th Street,,Reading,PA,19604,1599,,3,http://www.bartabus.com/,1442,063881858,864,"411,442",140,"Reading, PA","266,254","2,564",104,Y,78,21,99
30025,3025,County of Lackawanna Transit System,COLTS,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,North South Road,,Scranton,PA,18504,1410,,3,http://www.coltsbus.com/,1443,155883184,170,"381,502",99,"Scranton, PA","381,502","2,234",171,Y,55,7,62
30026,3026,Williamsport Bureau of Transportation,RVT,Active,Full Reporter: Operating,"City, County or Local Government Unit or Department of Transportation",6/30/2014,1/31/2015,1500 West Third Street,,Williamsport,PA,17701,,,3,http://www.rideRVT.com/,1446,796356863,89,"69,764",462,"Williamsport, PA","56,142","2,119",27,Y,24,2,26
30027,3027,York County Transportation Authority,rabbittransit,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,1230 Roosevelt Avenue,,York,PA,17404,,,3,http://www.rabbittransit.org/,1447,082439001,911,"381,751",158,"York, PA","232,045","1,755",132,Y,112,20,132
30030,3030,Washington Metropolitan Area Transit Authority,WMATA,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,"600 Fifth Street, N.W.",,Washington,DC,20001,,,3,http://www.WMATA.com/,1398,520847040,950,"3,719,567",8,"Washington, DC-VA-MD","4,586,770","3,470","1,322",Y,"2,172",888,"3,060"
30034,3034,Maryland Transit Administration,MTA,Active,Full Reporter: Operating,State Government Unit or Department of Transportation,6/30/2014,1/31/2015,6 St. Paul Street,,Baltimore,MD,21202,1614,,3,http://www.mta.maryland.gov/,1401,615962909,"1,795","2,203,663",19,"Baltimore, MD","2,203,663","3,073",717,Y,744,761,"1,505"
30035,3035,Ohio Valley Regional Transportation Authority,OVRTA / EORTA,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,9/30/2014,1/31/2015,21 South Huron Street,,Wheeling,WV,26003,,,3,http://www.ovrta.org/,1470,087571733,27,"57,416",353,"Wheeling, WV-OH","81,249","1,728",47,Y,16,,16
30036,3036,Charlottesville Area Transit,CAT,Active,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",6/30/2014,1/31/2015,1545 Avon Street Extended,,Charlottesville,VA,22902,,,3,http://www.catchthecat.org/,1448,021351726,38,"85,755",317,"Charlottesville, VA","92,359","2,673",35,Y,25,,25
30040,3040,Annapolis Department of Transportation,Annapolis Transit,Active,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",6/30/2014,1/31/2015,308 Chinquapin Round Road,,Annapolis,MD,21401,,,3,http://www.annapolis.gov/government/city-departments/transportation/,,074922246,24,"130,600",19,"Baltimore, MD","2,203,663","3,073",717,Y,18,,18
30041,3041,Allegany County Transit,ACT,Active,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",6/30/2014,1/31/2015,1000 Lafayette Avenue,,Cumberland,MD,21502,,,3,http://gov.allconet.org/ACT/,,064891476,131,"68,780",484,"Cumberland, MD-WV-PA","51,899","1,591",33,Y,13,,13
30042,3042,Washington County Transit,County Commuter,Active,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",6/30/2014,1/31/2015,1000 West Washington Street,,Hagerstown,MD,21740,5212,,3,http://www.washco-md.net/transit/,,038931093,70,"48,220",189,"Hagerstown, MD-WV-PA","182,696","1,370",133,Y,10,,10
30044,3044,Westmoreland County Transit Authority,WCTA,Active,Full Reporter: Operating,"City, County or Local Government Unit or Department of Transportation",6/30/2014,1/31/2015,41 Bell Way,,Greensburg,PA,15601,2301,,3,http://www.westmorelandtransit.com/,1426,878026723,668,"296,066",27,"Pittsburgh, PA","1,733,853","1,916",905,Y,,116,116
30045,3045,"JAUNT, Inc.",,Active,Full Reporter: Operating,Other Publicly-Owned or Privately Chartered Corporation,6/30/2014,1/31/2015,104 Keystone Place,,Charlottesville,VA,22902,6200,,3,http://www.ridejaunt.org/,,099592768,"2,595","233,632",317,"Charlottesville, VA","92,359","2,673",35,Y,55,,55
30048,3048,Howard Transit,HT,Active,Full Reporter: Operating,"City, County or Local Government Unit or Department of Transportation",6/30/2014,1/31/2015,3430 Courthouse Drive,,Ellicott City,MD,20707,,,3,http://www.howardtransit.com/,6609,102547127,251,"284,952",19,"Baltimore, MD","2,203,663","3,073",717,Y,,37,37
30051,3051,Ride-On Montgomery County Transit,,Active,Full Reporter: Operating,"City, County or Local Government Unit or Department of Transportation",6/30/2014,1/31/2015,101 Monroe Street,5th Floor,Rockville,MD,20850,,,3,http://www.montgomerycountymd.gov/,5352,062014378,495,"971,000",8,"Washington, DC-VA-MD","4,586,770","3,470","1,322",Y,282,,282
30053,3053,Bristol Virginia Transit,BVT,Active,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",9/30/2014,1/31/2015,2107 Shakesville Road,,Bristol,VA,24201,,,3,http://www.bristolva.org/,1127,074914581,13,"17,835",397,"Bristol-Bristol, TN-VA","69,501","1,088",64,Y,4,,4
30054,3054,Centre Area Transportation Authority,CATA,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,2081 West Whitehall Road,,State College,PA,16801,,,3,http://www.catabus.com/,1445,010573665,89,"112,538",335,"State College, PA","87,454","3,034",29,Y,102,10,112
30055,3055,Shenango Valley Shuttle Service,SVSS,Active,Full Reporter: Operating,"City, County or Local Government Unit or Department of Transportation",6/30/2014,1/31/2015,2495 Highland Road,,Hermitage,PA,16148,,,3,http://www.mcrcog.com/,1444,087558078,241,"116,638",97,"Youngstown, OH-PA","387,550","1,608",241,Y,28,,28
30057,3057,Pennsylvania Department of Transportation,PENNDOT,Active,Full Reporter: Operating,State Government Unit or Department of Transportation,6/30/2014,1/31/2015,,,Harrisburg,PA,17105,3151,3151,3,http://www.dot.state.pa.us/,1429,192300564,"2,092","3,100,000",5,"Philadelphia, PA-NJ-DE-MD","5,441,567","2,746","1,981",Y,,40,40
30058,3058,City of Fairfax CUE Bus,CUE,Active,Full Reporter: Operating,"City, County or Local Government Unit or Department of Transportation",6/30/2014,1/31/2015,10455 Armstrong Street,,Fairfax,VA,22030,,,3,http://www.CueBus.org/,,074818477,6,"22,565",8,"Washington, DC-VA-MD","4,586,770","3,470","1,322",N,8,,8
30061,3061,Mid Mon Valley Transit Authority,MMVTA,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,1300 McKean Avenue,,Charleroi,PA,15022,,,3,http://www.mmvta.com/,5195,841303399,44,"66,086",417,"Monessen-California, PA","66,086","1,478",45,Y,,19,19
30066,3066,Weirton Transit Corporation,WTC,Active,Small Systems Reporter,Other Publicly-Owned or Privately Chartered Corporation,6/30/2014,1/31/2015,200 Municipal Plaza,,Weirton,WV,26062,,,3,http://http://www.cityofweirton.com/government/weirton-transit-corporation/154/,5357,030130561,19,"22,000",389,"Weirton-Steubenville, WV-OH-PA","70,889","1,404",51,Y,4,,4
30068,3068,Fairfax Connector Bus System,Fairfax Connector,Active,Full Reporter: Operating,"City, County or Local Government Unit or Department of Transportation",6/30/2014,1/31/2015,4050 Legato Road,Suite 400,Fairfax,VA,22033,2895,,3,http://www.fairfaxconnector.com/,5349,074837626,399,"1,056,435",8,"Washington, DC-VA-MD","4,586,770","3,470","1,322",N,,208,208
30070,3070,Potomac and Rappahannock Transportation Commission,PRTC,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,14700 Potomac Mills Road,,Woodbridge,VA,22192,6811,,3,http://www.prtctransit.org/,5348,621125699,361,"454,096",8,"Washington, DC-VA-MD","4,586,770","3,470","1,322",Y,,386,386
30071,3071,City of Alexandria ,DASH,Active,Full Reporter: Operating/Building,"City, County or Local Government Unit or Department of Transportation",6/30/2014,1/31/2015,301 King Street,,Alexandria,VA,22314,4526,,3,http://www.alexandriava.gov/,,074853250,16,"139,966",8,"Washington, DC-VA-MD","4,586,770","3,470","1,322",N,60,33,93
30072,3072,Transit Services of Frederick County,,Active,Full Reporter: Operating,"City, County or Local Government Unit or Department of Transportation",6/30/2014,1/31/2015,1040 Rocky Springs Road,,Frederick,MD,21702,,,3,http://www.FrederickCountyMD.gov/transit/,,063199665,18,"67,435",230,"Frederick, MD","141,576","1,929",73,Y,34,,34
30073,3073,Virginia Railway Express,VRE,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,1500 King Street,Suite 202,Alexandria,VA,22314,2730,,3,http://www.vre.org/,5348,540784475,730,"2,238,365",8,"Washington, DC-VA-MD","4,586,770","3,470","1,322",Y,,90,90
