Trs_Id,Agency_Type_Desc,Institution_Type_Desc,Organization_Type_Desc,Fy_Month_Num,Fy_Day_Num,Fy_Year_Num,Company_Nm,Street1_Nm,Street2_Nm,City_Nm,State_Desc,Zip_Cd,Zip_4_Cd,Url_Cd,Ftavc_Cd,Logo_Cd,Service_Area,Service_Area_Population,Waiver_9_Req_Fl,Non_Uza_Served_Fl,Veh_Operated_Comment,Institutional_Structure_Desc,other_Url_Cd,Po_Box,Other_Cap_Use_Comment_Desc,Other_Option_B_Comment_Desc,Voluntary_Reporter_Fl,operate_fgw_mbdo_fl,operate_fgw_mbpt_fl,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2166,4. Private transportation provider reporting on behalf of a public agency or authority (not a broker),7. Private Operator,,12,31,2007,"Orange-Newark-Elizabeth, Inc.",349 First Street,,Elizabeth,NJ,7206,,www.coachusa.com,,Coach USA,2898,5443000,N,,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2168,4. Private transportation provider reporting on behalf of a public agency or authority (not a broker),7. Private Operator,,12,31,2007,Trans-Hudson Express,437 Tonnele Avenue,,Jersey City,NJ,7306,,www.redandtan.com,,,2898,5443000,N,,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2169,4. Private transportation provider reporting on behalf of a public agency or authority (not a broker),7. Private Operator,,12,31,2007,"Trans-Bridge Lines, Inc. ",2012 Industrial Drive,,Bethlehem,PA,18017,,www.transbridgelines.com,,,2898,5443000,N,,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2171,4. Private transportation provider reporting on behalf of a public agency or authority (not a broker),8. Other(Describe),,12,31,2007,"Private One of New York, LLC, dba: New York Airport Service",15 Second Avenue,,Brooklyn,NY,11215,,www.nyairportservice.com,,,2898,5443000,N,,,Private company with an appointed board. ,,,,,N,,N,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2172,1. Public agency or authority that directly operates all transit service (not a State DOT),3. Subsidiary Operating Unit of Regional Agency,,3,31,2007,"Centro of Oswego, Inc.",200 Cortland Avenue,,Syracuse,NY,13205,820,www.centro.org,1778,Centro of Oswego,92,89591,N,N,,,,820,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2175,4. Private transportation provider reporting on behalf of a public agency or authority (not a broker),8. Other(Describe),,12,31,2007,Private Transportation Corporation,15 Second Avenue,,Brooklyn,NY,11215,,,,,71,2465326,N,N,,Private company with an appointed board.,,,,,N,,N,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2176,1. Public agency or authority that directly operates all transit service (not a State DOT),8. Other(Describe),,12,31,2007,Kaser Bus Service,15 Elyon Road,,Monsey,NY,10952,,,6678,Kaser,75,3316,Y,N,,Corporation,,391,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2177,6. Other(Describe),7. Private Operator,"Private Transportation Provider of Fixed Route Transit, Directly Operating, not reporting on behalf of another agency",12,31,2007,"Adirondack Transit Lines, Inc,",499 Hurley Avenue,,Hurley,NY,12443,,www.trailwaysny.com,,Adirondack Trailways,8510,6508105,N,N,,,,,,,Y,Y,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2178,2. Public agency or authority that contracts for some or all transit service (not a State DOT),5. Unit of County Government,,12,31,2007,Ulster County Area Transit,1 Danny Circle,,Kingston,NY,12401,,www.co.ulster.ny.us/ucat,5900,UCAT,1126,181860,N,N,,,,,,,Y,N,N,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2179,4. Private transportation provider reporting on behalf of a public agency or authority (not a broker),7. Private Operator,,12,31,2007,"Hendrick Hudson Bus Lines, Inc.",100 Leprechaun Lane,,Newburgh,NY,12550,,www.leprechaunlines.com,,HHBL,132,249175,N,N,,,,2628,,,N,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2182,1. Public agency or authority that directly operates all transit service (not a State DOT),4. Unit of City or Municipal Government,,12,31,2007,Town of Highlands Dial-A-Bus,254 Main Street,,Highland Falls,NY,10928,,,,,36,13000,N,N,,,,,,,N,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2183,1. Public agency or authority that directly operates all transit service (not a State DOT),4. Unit of City or Municipal Government,,12,31,2007,Town of Monroe Dial-A-Bus,91 Mine Road,,Monroe,NY,10950,,www.monroeny.org,3152,Monroe DAB,24,31407,N,N,,,,,,,Y,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2185,1. Public agency or authority that directly operates all transit service (not a State DOT),3. Subsidiary Operating Unit of Regional Agency,,3,31,2007,"Centro of Oneida, Inc.",200 Cortland Avenue,,Syracruse,NY,13205,820,www.centro.org,1778,Centro of Oneida,73,154159,N,N,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2187,1. Public agency or authority that directly operates all transit service (not a State DOT),4. Unit of City or Municipal Government,,12,31,2007,Village of Kiryas Joel,,,Monroe,NY,10949,,,,KJ,1,18000,N,N,,,,566,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2188,1. Public agency or authority that directly operates all transit service (not a State DOT),3. Subsidiary Operating Unit of Regional Agency,,12,31,2007,MTA Bus Company,341 Madison Avenue,,New York,NY,10017,,www.mta.info,,MTABUS,321,8008278,N,N,,,,,,,Y,Y,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2189,6. Other(Describe),7. Private Operator,Private Carrier that provides directly operated services.,12,31,2007,"BillyBey Ferry Company, LLC",Pier 79,459 12th Avenue,New York,NY,10018,,www.nywaterway.com,,,70,2131266,N,N,,,,,,,Y,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2190,6. Other(Describe),7. Private Operator,Private Carrier that provides directly operated services.,12,31,2007,Port Imperial Ferry Corporation dba NY Waterway,4800 Avenue at Port Imperial,,Weehawken,NJ,7086,7142,www.nywaterway.com,,,776,3658455,N,N,,,,,,,N,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
3001,1. Public agency or authority that directly operates all transit service (not a State DOT),1. Independent Agency with an elected Board of Directors,,6,30,2007,Kanawha Valley Regional Transportation Authority,1550 4th Avenue,,Charleston,WV,25324,,www.rideonkrt.com,1464,KVRTA,903,195413,N,N,,,,1188,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
3002,1. Public agency or authority that directly operates all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,6,30,2007,The Tri-State Transit Authority,"1120 Virginia Avenue, West",,Huntington,WV,25779,,www.tta-wv.com,1467,TTA,60,86354,N,,,,,7965,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
3003,1. Public agency or authority that directly operates all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,6,30,2007,Mid-Ohio Valley Transit Authority,520 Juliana Street,,Parkersburg,WV,26101,5301,www.easyriderbus.com,1469,Easy Rider,14,49910,Y,N,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
3006,2. Public agency or authority that contracts for some or all transit service (not a State DOT),1. Independent Agency with an elected Board of Directors,,6,30,2007,Greater Richmond Transit Company,101 South Davis Avenue,,Richmond,VA,23220,,www.ridegrtc.com,1458,GRTC Transit System,227,449572,N,N,,,,,,,Y,N,N,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
3007,2. Public agency or authority that contracts for some or all transit service (not a State DOT),4. Unit of City or Municipal Government,,6,30,2007,Greater Roanoke Transit Company,"1108 Campbell Avenue, S.E.",,Roanoke,VA,24032,,valleymetro.com,1460,Valley Metro,43,94911,N,,,,,13247,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
3008,1. Public agency or authority that directly operates all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,6,30,2007,Greater Lynchburg Transit Company,1301 Kemper Street,,Lynchburg,VA,24505,797,www.gltconline.com,1455,GLTC,72,80846,N,,,,,797,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
3009,1. Public agency or authority that directly operates all transit service (not a State DOT),4. Unit of City or Municipal Government,,6,30,2007,Petersburg Area Transit,309 Fairgrounds Road,,Petersburg,VA,23803,,www.petersburg-va.org,1457,PAT,7,31300,N,,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
3010,2. Public agency or authority that contracts for some or all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,6,30,2007,Lehigh and Northampton Transportation Authority,1060 Lehigh Street,,Allentown,PA,18103,,www.lantabus.com,1419,LANTA,106,389000,N,,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
3011,2. Public agency or authority that contracts for some or all transit service (not a State DOT),4. Unit of City or Municipal Government,,6,30,2007,Altoona Metro Transit,3301 Fifth Avenue,,Altoona,PA,16602,1801,www.amtran.org,1420,AMTRAN,25,69608,N,,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
3012,1. Public agency or authority that directly operates all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,6,30,2007,Cambria County Transit Authority,726 Central Avenue,,Johnstown,PA,15902,2996,www.camtranbus.com,1431,CamTran,60,80508,N,,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
3013,1. Public agency or authority that directly operates all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,6,30,2007,Erie Metropolitan Transit Authority,127 East 14th Street,,Erie,PA,16512,2057,www.emtaerie.com,1425,EMTA,77,189872,N,N,,,,2057,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
3014,2. Public agency or authority that contracts for some or all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,6,30,2007,Capital Area Transit,901 North Cameron Street,,Harrisburg,PA,17105,,www.cattransit.com,1427,CAT,137,292904,N,,,,,1571,,,Y,N,N,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
3015,2. Public agency or authority that contracts for some or all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,6,30,2007,Luzerne County Transportation Authority,315 Northampton Street,,Kingston,PA,18704,5489,www.lctabus.com,1432,LCTA,56,202500,N,,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
3018,2. Public agency or authority that contracts for some or all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,6,30,2007,Red Rose Transit Authority,45 Erick Road,,Lancaster,PA,17601,,www.redrosetransit.com,1434,RRTA,952,420920,N,N,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
3019,2. Public agency or authority that contracts for some or all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,6,30,2007,Southeastern Pennsylvania Transportation Authority,1234 Market Street,,Philadelphia,PA,19107,3780,www.septa.org,1947,SEPTA,831,3317418,N,,,,,,,,Y,Y,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
3022,2. Public agency or authority that contracts for some or all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,6,30,2007,Port Authority of Allegheny County,345 Sixth Avenue,3rd Floor,Pittsburgh,PA,15222,2527,www.portauthority.org,1441,Port Authority,775,1415244,N,,,,,,,,Y,Y,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
3023,1. Public agency or authority that directly operates all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,6,30,2007,Beaver County Transit Authority,200 West Washington Street,,Rochester,PA,15074,2235,www.bcta.com,1422,BCTA,440,174000,N,N,,,,,,,Y,Y,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
3024,2. Public agency or authority that contracts for some or all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,6,30,2007,Berks Area Reading Transportation Authority,1700 North 11th Street,,Reading,PA,19604,1599,www.bartabus.com,1442,BARTA,864,373638,N,,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
3025,2. Public agency or authority that contracts for some or all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,6,30,2007,County of Lackawanna Transit System,North South Road,,Scranton,PA,18504,1410,www.coltsbus.com,1443,COLTS,140,339009,N,,,,,,,,Y,N,N,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
3026,2. Public agency or authority that contracts for some or all transit service (not a State DOT),4. Unit of City or Municipal Government,,6,30,2007,Williamsport Bureau of Transportation,1500 West Third Street,,Williamsport,PA,17701,,www.rideRVT.com,1446,RVT,89,69764,N,N,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
3027,2. Public agency or authority that contracts for some or all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,6,30,2007,York County Transportation Authority,1230 Roosevelt Avenue,,York,PA,17404,,www.rabbittransit.org,1447,rabbittransit,911,381751,N,,,,,,,,Y,N,N,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
3030,2. Public agency or authority that contracts for some or all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,6,30,2007,Washington Metropolitan Area Transit Authority,"600 Fifth Street, N.W.",,Washington,DC,20001,,www.WMATA.com,1398,WMATA,692,1305693,N,,,,,,,,Y,Y,N,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
3034,3. State Department of Transportation,6. Unit of State Government,,6,30,2007,Maryland Transit Administration,6 St. Paul Street,,Baltimore,MD,21202,1614,www.mtamaryland.com,1401,MTA,1795,2077667,N,,,,,,,,Y,N,Y,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
3035,1. Public agency or authority that directly operates all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,9,30,2007,Ohio Valley Regional Transportation Authority,21 South Huron Street,,Wheeling,WV,26003,,,1470,OVRTA / EORTA,27,61725,N,,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
3036,2. Public agency or authority that contracts for some or all transit service (not a State DOT),4. Unit of City or Municipal Government,,6,30,2007,Charlottesville Transit Service,"315 Fourth Street, N.W.",,Charlottesville,VA,22902,,www.charlottesville.org/transit,1448,CTS,38,81449,N,,,,,911,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
3040,1. Public agency or authority that directly operates all transit service (not a State DOT),4. Unit of City or Municipal Government,,6,30,2007,Annapolis Department of Transportation,308 Chinquapin Round Road,,Annapolis,MD,21401,,www.annapolis.gov,,Annapolis Transit,100,90000,N,,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
3041,1. Public agency or authority that directly operates all transit service (not a State DOT),5. Unit of County Government,,6,30,2007,Allegany County Transit,1000 Lafayette Avenue,,Cumberland,MD,21502,,gov.allconet.org/ACT,,ACT,131,68780,N,N,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
3042,1. Public agency or authority that directly operates all transit service (not a State DOT),5. Unit of County Government,,6,30,2007,Washington County Transportation Department,1000 West Washington Street,,Hagerstown,MD,21740,5212,www.washco-md.net,,County Commuter,70,44608,N,N,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
3044,2. Public agency or authority that contracts for some or all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,6,30,2007,Westmoreland County Transit Authority,41 Bell Way,,Greensburg,PA,15601,2301,www.westmorelandtransit.com/,1426,WCTA,668,296066,N,N,,,,,,,Y,,N,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
3048,2. Public agency or authority that contracts for some or all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,6,30,2007,Howard Transit,312 Marshall Avenue,Suite 104,Laurel,MD,20707,,www.howardtransit.com,6609,HT,51,97243,N,N,,,,,,,Y,,N,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
3050,4. Private transportation provider reporting on behalf of a public agency or authority (not a broker),7. Private Operator,,6,30,2007,"G G and C Bus Company, Inc.",2924 Jefferson Avenue,,Washington,PA,15301,,www.ggcbusride.com,,,33,61634,N,,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
