NTDID,Agency,Abbr,Active,Agency Type,Organization Type,Organization Type Desc,Institutional Structure Desc,Fiscal Year End,NTD Report Due Date,Address,Address Line 2,City,State,Zip,Zip4,P.O. Box,Region,Website,FTA Recipient ID,DUNS Number,Service Area (SQ Mi),Service Area Population,UZA,UZA Name,UZA Population,UZA Density,UZA SQ Mi,SSW,Required to Report,Operates FG/HI MB/DO,Operates FG/HI MB/PT,Operates FG/HI CB/DO,Operates FG/HI CB/PT,Directly Operated Vehicles,Purchased Transportation Vehicles,Total Vehicles of Maximum Service
2195,Gloucester County Division of Transportation Services ,DTS,A,"3. City, County or Local government unit or department of",City,,,12/31/2013,4/29/2014,115 Budd Boulevard,,West Deptford,NJ,8096,,337,2,www.co.gloucester.nj.us/,,967221321,329,"289,920",5,"Philadelphia, PA-NJ-DE-MD","5,441,567","2,746","1,981",Y,Y,N,N,N,N,21,7,28
2196,Middlesex County Area Transit,MCAT,A,"3. City, County or Local government unit or department of",City,,,12/31/2013,4/29/2014,711 Jersey Avenue,,New Brunswick,NJ,8901,,,2,www.co.middlesex.nj.us,,73133100,310,"805,000",1,"New York-Newark, NY-NJ-CT","18,351,295","5,319","3,450",N,Y,N,N,N,N,89,11,100
2197,"Meadowlands Transportation Brokerage Corporation, dba Meadowlink",Meadowlink,A,10. Private-non-profit corporation,Non-Profit,,,6/30/2013,10/29/2013,144 Park Place East,,Wood Ridge,NJ,7075,1804,,2,www.ezride.org,,33444444,107,"38,100",1,"New York-Newark, NY-NJ-CT","18,351,295","5,319","3,450",Y,Y,N,N,N,N,23,0,23
2198,"TransOptions, Inc. ",,A,10. Private-non-profit corporation,Non-Profit,,,12/31/2013,4/29/2014,2 Ridgedale Avenue,Suite 200,Cedar Knolls,NJ,7981,,,2,www.transoptions.org,,177266814,112,"53,945",1,"New York-Newark, NY-NJ-CT","18,351,295","5,319","3,450",Y,N,,N,N,N,0,1,1
2199,County of Atlantic,ACTU,A,"3. City, County or Local government unit or department of",City,,,12/31/2013,4/29/2014,"201 Shore Rd., 2nd Fl. Rear",,Northfield,NJ,8401,8225,,2,www.aclink.org,,79497897,567,"253,000",150,"Atlantic City, NJ","248,402","1,985",125,N,Y,,N,N,N,34,0,34
2200,South Jersey Transportation Authority,sjta,A,1. Independent public agency or authority for transit service,Authority,,,12/31/2013,4/29/2014,Farley Service Plaza,"800 Cooper Street, Suite 500",Camden,NJ,8102,,,2,www.sjta.com,,80541719,"1,898","1,525,228",150,"Atlantic City, NJ","248,402","1,985",125,Y,Y,N,N,N,N,29,0,29
2201,County of Cumberland,CCET,A,"3. City, County or Local government unit or department of",City,,,12/31/2013,4/29/2014,790 East Commerce Street,,Bridgeton,NJ,8302,,1398,2,www.ccoel.org,,30346899,677,"156,898",5,"Philadelphia, PA-NJ-DE-MD","5,441,567","2,746","1,981",Y,Y,N,N,N,N,10,0,10
2202,Essex County Division of Training and Employment,ECDTE,A,"3. City, County or Local government unit or department of",City,,,12/31/2013,4/29/2014,50 South Clinton Street,,East Orange,NJ,7018,,,2,www.essex-countynj.org,,71758903,126,"783,969",1,"New York-Newark, NY-NJ-CT","18,351,295","5,319","3,450",Y,Y,,N,N,N,0,10,10
2203,Cape May County Fare Free Transportation,Fare Free,A,"3. City, County or Local government unit or department of",City,,,12/31/2013,4/29/2014,4 Moore Road,DN 626,Cape May Court House,NJ,8210,,,2,www.capemaycountygov.net,,75525899,251,"96,304",489,"Villas, NJ","51,291","1,514",34,N,N,,N,N,N,38,0,38
2204,"Senior Citizens United Community Services of Camden County, Inc.",SCUCS,A,10. Private-non-profit corporation,Non-Profit,,,12/31/2013,4/29/2014,537 W. Nicholson Road,,Audubon,NJ,8106,,,2,www.scucs.org,,21044912,222,"508,932",5,"Philadelphia, PA-NJ-DE-MD","5,441,567","2,746","1,981",Y,Y,,N,N,N,28,0,28
2206,Nassau Inter County Express,NICE,A,"3. City, County or Local government unit or department of",City,,,12/31/2013,4/29/2014,700 Commercial Avenue,,Garden City,NY,11530,,,2,www.nicebus.com,1787,2414696,285,"1,339,532",1,"New York-Newark, NY-NJ-CT","18,351,295","5,319","3,450",N,Y,,N,N,N,0,358,358
2207,Hudson Transportation Management Association,HCIAHTMA,A,1. Independent public agency or authority for transit service,Authority,,,12/31/2013,4/29/2014,574 Summit Avenue,,Jersey City,NJ,7306,,,2,www.hudsontma.org,,11461606,11,"54,304",1,"New York-Newark, NY-NJ-CT","18,351,295","5,319","3,450",Y,Y,,N,N,N,0,1,1
2208,County of Burlington,BurLink,A,"3. City, County or Local government unit or department of",City,,,12/31/2013,4/29/2014,49 Rancocas Rd.,,Mt. Holly,NJ,8060,6000,6000,2,www.co.burlington.nj.us,,833251390,799,"488,734",5,"Philadelphia, PA-NJ-DE-MD","5,441,567","2,746","1,981",Y,Y,,N,N,N,0,15,15
2209,Somerset County Transportation,SCT,A,"3. City, County or Local government unit or department of",City,,,12/31/2013,4/29/2014,P.O. Box 3000,,Somerville,NJ,8876,1262,3000,2,www.co.somerset.nj.us,,78246147,305,"324,194",1,"New York-Newark, NY-NJ-CT","18,351,295","5,319","3,450",N,Y,N,N,N,N,81,0,81
2210,County of Morris,MAPS,A,"3. City, County or Local government unit or department of",City,,,12/31/2013,4/29/2014,P.O. Box 900,,Morristown,NJ,7963,900,900,2,http://www.co.morris.nj.us/,,80611700,482,"494,976",1,"New York-Newark, NY-NJ-CT","18,351,295","5,319","3,450",Y,N,,N,N,N,25,0,25
2211,County of Mercer,TRADE,A,"3. City, County or Local government unit or department of",City,,,12/31/2013,4/29/2014,640 South Broad Street,,Trenton,NJ,8650,8068,8068,2,http://nj.gov/counties/mercer,,54177662,226,"367,063",128,"Trenton, NJ","296,668","2,810",106,Y,Y,N,N,N,N,25,0,25
2212,County of Hunterdon,HCLink,A,"3. City, County or Local government unit or department of",City,,,12/31/2013,4/29/2014,3 Gauntt Place,,Flemington,NJ,8822,4614,2900,2,www.co.hunterdon.nj.us,,69878833,360,"299,000",1,"New York-Newark, NY-NJ-CT","18,351,295","5,319","3,450",N,Y,,N,N,N,0,21,21
2213,City of Mechanicville,,A,"3. City, County or Local government unit or department of",City,,,12/31/2013,4/29/2014,36 N. Main St.,,Mechanicville,NY,12118,,,2,http://www.mechanicville.com/DocumentCenter/Home/View/325,,182806190,1,"5,196",67,"Albany-Schenectady, NY","594,962","2,012",296,Y,Y,N,N,N,N,2,0,2
2214,Town of Warwick Dial A Bus,Warwick DAB,A,"3. City, County or Local government unit or department of",City,,,12/31/2013,4/29/2014,132 Kings Highway,,Warwick,NY,10990,,,2,www.townofwarwick.org,3152,87087441,142,"50,269",89,"Poughkeepsie-Newburgh, NY-NJ","423,566","1,295",327,Y,Y,,N,N,N,6,0,6
2215,Watertown CitiBus,,A,"3. City, County or Local government unit or department of",City,,,6/30/2013,10/29/2013,"City of Watertown, Department of Public Works","245 Washington Street, Suite 206",Watertown,NY,13601,3381,,2,www.watertown-ny.gov,,71600076,17,"28,266",455,"Watertown, NY","57,840","1,413",41,Y,N,N,N,N,N,3,2,5
2216,Orange County,OCNY,A,"3. City, County or Local government unit or department of",City,,,12/31/2013,4/29/2014,Dept. of Planning,124 Main Street,Goshen,NY,10924,,,2,www.transitorange.info,3152,12981593,,,89,"Poughkeepsie-Newburgh, NY-NJ","423,566","1,295",327,N,N,N,N,N,N,,,
3001,Kanawha Valley Regional Transportation Authority,KVRTA,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,1550 4TH AVENUE,,Charleston,WV,25324,,1188,3,www.rideonkrt.com,1464,47137484,902,"192,315",214,"Charleston, WV","153,199","1,560",98,N,Y,N,N,N,N,59,0,59
3002,The Tri-State Transit Authority,TTA,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,"1120 Virginia Avenue, West",,Huntington,WV,25779,,7965,3,www.tta-wv.com,1467,59851329,130,"202,637",178,"Huntington, WV-KY-OH","202,637","1,555",130,N,Y,N,N,N,N,37,0,37
3003,Mid-Ohio Valley Transit Authority,Easy Rider,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,520 Juliana Street,,Parkersburg,WV,26101,5301,,3,www.easyriderbus.com,1469,82956509,14,"42,241",411,"Parkersburg, WV-OH","67,229","1,586",42,Y,Y,N,N,N,N,12,0,12
3006,Greater Richmond Transit Company,GRTC Transit System,A,8. Other publicly-owned or publicly-chartered corporation,Semi-Public Corp,,,6/30/2013,10/29/2013,301 East Belt Boulevard,,Richmond,VA,23224,,,3,www.ridegrtc.com,1458,74746470,227,"449,572",45,"Richmond, VA","953,556","1,938",492,N,Y,N,N,N,N,128,191,319
3007,Greater Roanoke Transit Company,Valley Metro,A,8. Other publicly-owned or publicly-chartered corporation,Semi-Public Corp,,,6/30/2013,10/29/2013,"1108 Campbell Avenue, S.E.",,Roanoke,VA,24032,3247,13247,3,valleymetro.com,1460,139292544,43,"97,032",172,"Roanoke, VA","210,111","1,692",124,N,Y,N,N,N,N,35,17,52
3008,Greater Lynchburg Transit Company,GLTC,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,1301 Kemper Street,,Lynchburg,VA,24505,797,797,3,www.gltconline.com,1455,8955429,72,"80,846",271,"Lynchburg, VA","116,636","1,313",89,N,Y,N,N,N,N,37,0,37
3009,Petersburg Area Transit,PAT,A,"3. City, County or Local government unit or department of",City,,,6/30/2013,10/29/2013,100 W Washington Street,,Petersburg,VA,23803,,,3,www.petersburgva.gov,1457,66004375,7,"32,948",45,"Richmond, VA","953,556","1,938",492,Y,Y,N,N,N,N,20,0,20
3010,Lehigh and Northampton Transportation Authority,LANTA,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,1060 Lehigh Street,,Allentown,PA,18103,,,3,www.lantabus.com,1419,68571777,106,"389,000",61,"Allentown, PA-NJ","664,651","1,919",346,N,Y,N,N,N,N,69,98,167
3011,Altoona Metro Transit,AMTRAN,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,3301 Fifth Avenue,,Altoona,PA,16602,1801,,3,www.amtran.org,1420,59297549,25,"69,608",359,"Altoona, PA","79,930","2,138",37,N,Y,N,N,N,N,23,12,35
3012,Cambria County Transit Authority,CamTran,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,726 Central Avenue,,Johnstown,PA,15902,2996,,3,www.camtranbus.com,1431,83959171,60,"80,508",400,"Johnstown, PA","69,014","1,787",39,N,Y,N,N,N,N,83,11,94
3013,Erie Metropolitan Transit Authority,the e,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,127 East 14th Street,,Erie,PA,16503,1062,,3,www.ride-the-e.com,1425,77774289,77,"189,872",183,"Erie, PA","196,611","2,391",82,N,Y,N,N,N,N,122,0,122
3014,Cumberland Dauphin-Harrisburg Transit Authority - (DBA Capital Area Transit),CAT,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,901 North Cameron Street,,Harrisburg,PA,17101,,,3,www.cattransit.com,1427,71195879,137,"503,506",86,"Harrisburg, PA","444,474","1,712",260,N,Y,N,N,N,N,92,15,107
3015,Luzerne County Transportation Authority,LCTA,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,315 Northampton Street,,Kingston,PA,18704,5489,,3,www.lctabus.com,1432,69594646,56,"202,500",99,"Scranton, PA","381,502","2,234",171,N,Y,N,N,N,N,76,2,78
3018,Red Rose Transit Authority,RRTA,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,45 Erick Road,,Lancaster,PA,17601,,,3,www.redrosetransit.com,1434,10584282,952,"420,920",91,"Lancaster, PA","402,004","1,624",248,N,Y,N,N,N,N,33,63,96
3019,Southeastern Pennsylvania Transportation Authority,SEPTA,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,1234 Market Street,,Philadelphia,PA,19107,3780,,3,www.septa.org,1947,44543841,836,"3,355,152",5,"Philadelphia, PA-NJ-DE-MD","5,441,567","2,746","1,981",N,Y,Y,N,N,N,"1,948",367,"2,315"
3022,Port Authority of Allegheny County,Port Authority,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,345 Sixth Avenue,3rd Floor,Pittsburgh,PA,15222,2527,,3,www.portauthority.org,1441,72158041,775,"1,415,244",27,"Pittsburgh, PA","1,733,853","1,916",905,N,Y,Y,N,N,N,626,325,951
3023,Beaver County Transit Authority,BCTA,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,200 West Washington Street,,Rochester,PA,15074,2235,,3,www.bcta.com,1422,153757042,440,"170,539",27,"Pittsburgh, PA","1,733,853","1,916",905,N,Y,Y,N,N,N,38,0,38
3024,Berks Area Reading Transportation Authority,BARTA,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,1700 North 11th Street,,Reading,PA,19604,1599,,3,www.bartabus.com,1442,63881858,864,"411,442",140,"Reading, PA","266,254","2,564",104,N,Y,N,N,N,N,78,20,98
3025,County of Lackawanna Transit System,COLTS,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,North South Road,,Scranton,PA,18504,1410,,3,www.coltsbus.com,1443,155883184,140,"339,009",99,"Scranton, PA","381,502","2,234",171,N,Y,N,N,N,N,52,12,64
3026,Williamsport Bureau of Transportation,RVT,A,"3. City, County or Local government unit or department of",City,,,6/30/2013,10/29/2013,1500 West Third Street,,Williamsport,PA,17701,,,3,www.rideRVT.com,1446,796356863,89,"69,764",462,"Williamsport, PA","56,142","2,119",27,N,Y,N,N,N,N,24,2,26
3027,York County Transportation Authority,rabbittransit,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,1230 Roosevelt Avenue,,York,PA,17404,,,3,www.rabbittransit.org,1447,82439001,911,"381,751",158,"York, PA","232,045","1,755",132,N,Y,N,N,N,N,110,42,152
3030,Washington Metropolitan Area Transit Authority,WMATA,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,"600 Fifth Street, N.W.",,Washington,DC,20001,,,3,www.WMATA.com,1398,520847040,950,"3,719,567",8,"Washington, DC-VA-MD","4,586,770","3,470","1,322",N,Y,Y,N,N,N,"2,171",891,"3,062"
3034,Maryland Transit Administration,MTA,A,4. State government unit or department of,State Government,,,6/30/2013,10/29/2013,6 St. Paul Street,,Baltimore,MD,21202,1614,,3,www.mta.maryland.gov,1401,615962909,"1,795","2,203,663",19,"Baltimore, MD","2,203,663","3,073",717,N,Y,N,N,N,Y,744,765,"1,509"
3035,Ohio Valley Regional Transportation Authority,OVRTA / EORTA,A,1. Independent public agency or authority for transit service,Authority,,,9/30/2013,1/31/2014,21 South Huron Street,,Wheeling,WV,26003,,,3,www.ovrta.org,1470,87571733,27,"57,416",353,"Wheeling, WV-OH","81,249","1,728",47,N,Y,N,N,N,N,16,0,16
3036,Charlottesville Area Transit,CAT,A,"3. City, County or Local government unit or department of",City,,,6/30/2013,10/29/2013,1545 Avon Street Extended,,Charlottesville,VA,22902,,,3,www.catchthecat.org,1448,21351726,38,"85,755",317,"Charlottesville, VA","92,359","2,673",35,Y,Y,N,N,N,N,23,0,23
3040,Annapolis Department of Transportation,Annapolis Transit,A,"3. City, County or Local government unit or department of",City,,,6/30/2013,10/29/2013,308 Chinquapin Round Road,,Annapolis,MD,21401,,,3,www.annapolis.gov/government/city-departments/transportation,,74922246,24,"130,600",19,"Baltimore, MD","2,203,663","3,073",717,Y,Y,N,N,N,N,17,0,17
3041,Allegany County Transit,ACT,A,"3. City, County or Local government unit or department of",City,,,6/30/2013,10/29/2013,1000 Lafayette Avenue,,Cumberland,MD,21502,,,3,gov.allconet.org/ACT,,64891476,131,"68,780",484,"Cumberland, MD-WV-PA","51,899","1,591",33,Y,Y,N,N,N,N,12,0,12
3042,Washington County Transit,County Commuter,A,"3. City, County or Local government unit or department of",City,,,6/30/2013,10/29/2013,1000 West Washington Street,,Hagerstown,MD,21740,5212,,3,www.washco-md.net/transit,,38931093,70,"48,220",189,"Hagerstown, MD-WV-PA","182,696","1,370",133,Y,Y,N,N,N,N,10,0,10
3044,Westmoreland County Transit Authority,WCTA,A,"3. City, County or Local government unit or department of",City,,,6/30/2013,10/29/2013,41 Bell Way,,Greensburg,PA,15601,2301,,3,www.westmorelandtransit.com/,1426,878026723,668,"296,066",27,"Pittsburgh, PA","1,733,853","1,916",905,N,Y,,Y,N,N,0,79,79
3045,"JAUNT, Inc.",,A,8. Other publicly-owned or publicly-chartered corporation,Semi-Public Corp,,,6/30/2013,10/29/2013,104 Keystone Place,,Charlottesville,VA,22902,6200,,3,www.ridejaunt.org,,99592768,"2,500","233,455",317,"Charlottesville, VA","92,359","2,673",35,N,Y,,N,N,N,56,0,56
3048,Howard Transit,HT,A,"3. City, County or Local government unit or department of",City,,County Govevernment contracts out to Private non profit management corpoaration which in turn contacts out purchased services to a private for profit for operations of MB and DR services.,6/30/2013,10/29/2013,3430 Courthouse Drive,,Ellicott City,MD,20707,,,3,www.howardtransit.com,6609,102547127,251,"284,952",8,"Washington, DC-VA-MD","4,586,770","3,470","1,322",N,Y,,N,N,N,0,37,37
3051,Ride-On Montgomery County Transit,,A,"3. City, County or Local government unit or department of",City,,,6/30/2013,10/29/2013,101 Monroe Street,5th Floor,Rockville,MD,20850,,,3,www.montgomerycountymd.gov,5352,62014378,495,"971,000",8,"Washington, DC-VA-MD","4,586,770","3,470","1,322",N,Y,N,N,N,N,281,0,281
3053,Bristol Virginia Transit,BVT,A,"3. City, County or Local government unit or department of",City,,,9/30/2013,1/31/2014,2107 Shakesville Road,,Bristol,VA,24201,,,3,www.bristolva.org,1127,74914581,13,"17,835",397,"Bristol-Bristol, TN-VA","69,501","1,088",64,Y,Y,N,N,N,N,7,0,7
3054,Centre Area Transportation Authority,CATA,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,2081 West Whitehall Road,,State College,PA,16801,,,3,www.catabus.com,1445,10573665,135,"112,000",335,"State College, PA","87,454","3,034",29,N,Y,N,N,N,N,98,9,107
3055,Shenango Valley Shuttle Service,SVSS,A,"3. City, County or Local government unit or department of",City,,,6/30/2013,10/29/2013,2495 Highland Road,,Hermitage,PA,16148,,,3,www.mcrcog.com,1444,87558078,670,"116,638",97,"Youngstown, OH-PA","387,550","1,608",241,N,Y,N,N,N,N,26,0,26
3057,Pennsylvania Department of Transportation,PENNDOT,A,4. State government unit or department of,State Government,,,6/30/2013,10/29/2013,,,Harrisburg,PA,17105,3151,3151,3,www.dot.state.pa.us,1429,192300564,"2,092","3,100,000",5,"Philadelphia, PA-NJ-DE-MD","5,441,567","2,746","1,981",N,Y,,N,N,N,0,20,20
3058,City of Fairfax CUE Bus,CUE,A,"3. City, County or Local government unit or department of",City,,,6/30/2013,10/29/2013,10455 Armstrong Street,,Fairfax,VA,22030,,,3,www.CueBus.org,,74818477,6,"22,565",8,"Washington, DC-VA-MD","4,586,770","3,470","1,322",N,N,N,N,N,N,8,0,8
3061,Mid Mon Valley Transit Authority,MMVTA,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,1300 McKean Avenue,,Charleroi,PA,15022,,,3,www.mmvta.com,5195,841303399,53,"79,666",417,"Monessen-California, PA","66,086","1,478",45,N,Y,,Y,N,N,0,25,25
3066,Weirton Transit Corporation,WTC,A,8. Other publicly-owned or publicly-chartered corporation,Semi-Public Corp,,,6/30/2013,10/29/2013,200 Municipal Plaza,,Weirton,WV,26062,,,3, http://www.cityofweirton.com/government/weirton-transit-corporation/154 ,5357,30130561,19,"22,000",389,"Weirton-Steubenville, WV-OH-PA","70,889","1,404",51,Y,Y,N,N,N,N,3,0,3
3068,Fairfax Connector Bus System,Fairfax Connector,A,"3. City, County or Local government unit or department of",City,,,6/30/2013,10/29/2013,4050 Legato Road,Suite 400,Fairfax,VA,22033,2895,,3,www.fairfaxconnector.com,5349,74837626,399,"1,056,435",8,"Washington, DC-VA-MD","4,586,770","3,470","1,322",N,N,,Y,N,N,0,207,207
3069,City of Danville Mass Transit System,Danville Transit,I,"3. City, County or Local government unit or department of",City,,,6/30/2013,10/29/2013,427 Patton Street,,Danville,VA,24541,,3300,3,www.danvilletransit.com,1452,66008251,25,"48,411",0,Non-UZA,0,0,,Y,Y,N,N,N,N,11,0,11
3070,Potomac and Rappahannock Transportation Commission,PRTC,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,14700 Potomac Mills Road,,Woodbridge,VA,22192,6811,,3,www.prtctransit.org,5348,621125699,361,"454,096",8,"Washington, DC-VA-MD","4,586,770","3,470","1,322",N,Y,,Y,Y,Y,0,115,115
3071,City of Alexandria ,DASH,A,"3. City, County or Local government unit or department of",City,,,6/30/2013,10/29/2013,301 King Street,,Alexandria,VA,22314,4526,,3,www.alexandriava.gov,,74853250,16,"139,966",8,"Washington, DC-VA-MD","4,586,770","3,470","1,322",N,N,Y,N,N,N,57,33,90
3072,Transit Services of Frederick County,,A,"3. City, County or Local government unit or department of",City,,,6/30/2013,10/29/2013,1040 Rocky Springs Road,,Frederick,MD,21702,,,3,www.FrederickCountyMD.gov/transit,,63199665,18,"65,787",230,"Frederick, MD","141,576","1,929",73,N,Y,N,N,N,N,34,0,34
3073,Virginia Railway Express,VRE,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,1500 King Street,Suite 202,Alexandria,VA,22314,2730,,3,www.vre.org,5348,540784475,730,"680,400",8,"Washington, DC-VA-MD","4,586,770","3,470","1,322",N,Y,,N,N,N,0,89,89
3074,Harford Transit,HT,A,"3. City, County or Local government unit or department of",City,,,6/30/2013,10/29/2013,1311 Abingdon Road,,Abingdon,MD,21009,,,3,www.harfordcountymd.gov/services/transportation/,,69402428,133,"218,590",169,"Aberdeen-Bel Air South-Bel Air North, MD","213,751","1,630",131,N,Y,N,N,N,N,27,0,27
3075,Delaware Transit Corporation,DTC,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,900 Public Safety Boulevard,,Dover,DE,19901,,,3,www.DartFirstState.com,1396,809856008,"1,949","917,092",5,"Philadelphia, PA-NJ-DE-MD","5,441,567","2,746","1,981",N,Y,N,N,N,N,435,23,458
3076,Williamsburg Area Transit Authority,WATA,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,7239 Pocahontas Trail,,Williamsburg,VA,23185,2639,,3,www.williamsburgtransport.com,5719,109722129,144,"57,000",371,"Williamsburg, VA","75,689","1,354",56,N,Y,N,N,N,N,27,17,44
3077,Borough of Pottstown - Pottstown Area Rapid Transit,PART,A,"3. City, County or Local government unit or department of",City,,,6/30/2013,10/29/2013,100 East High Street,,Pottstown,PA,19464,9525,,3,www.pottstown.org,5556,69056976,34,"51,000",287,"Pottstown, PA","107,682","1,366",79,N,Y,,N,N,N,0,7,7
3078,Southwestern Pennsylvania Commission,SPC,A,"7. MPO, COG or other planning agency (Describe)",MPO,SPC is the designated metropolitan planning organization for the region.,,6/30/2013,10/29/2013,Two Chatham Center,"112 Washington Place, Suite 500",Pittsburgh,PA,15219,3451,,3,www.spcregion.org,1480,80720055,833,"1,614,197",27,"Pittsburgh, PA","1,733,853","1,916",905,N,Y,,N,N,N,0,59,59
3079,Fredericksburg Regional Transit,FRED,A,"3. City, County or Local government unit or department of",City,,,6/30/2013,10/29/2013,1400 Jefferson Davis Hwy,,Fredericksburg,VA,22401,,,3,www.rideFRED.com,2183,83048199,242,"113,716",231,"Fredericksburg, VA","141,238","1,815",78,Y,Y,N,N,N,N,20,0,20
3080,Arlington Transit - Arlington County,ART,A,"3. City, County or Local government unit or department of",City,,,6/30/2013,10/29/2013,2100 Clarendon Boulevard, Suite 900,Arlington,VA,22201,5404,,3,www.arlingtontransit.com,6673,56285042,26,"210,000",8,"Washington, DC-VA-MD","4,586,770","3,470","1,322",N,N,,N,N,N,0,60,60
3081,Loudoun County Commuter Bus Service - Office of Transportation Services,LC Transit,A,"3. City, County or Local government unit or department of",City,,,6/30/2013,10/29/2013,"1 Harrison Street, S.E.",MSC#69,Leesburg,VA,20175,,,3,www.loudoun.gov/bus,,831900704,517,"328,533",8,"Washington, DC-VA-MD","4,586,770","3,470","1,322",N,N,,N,N,Y,0,56,56
3083,"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",HRT,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,3400 Victoria Boulevard,,Hampton,VA,23661,,,3,www.gohrt.com,1456,192487965,515,"1,439,666",34,"Virginia Beach, VA","1,439,666","2,793",515,N,Y,Y,N,Y,N,295,85,380
3085,Prince George's County Transit,TheBus,A,"3. City, County or Local government unit or department of",City,,,6/30/2013,10/29/2013,9400 Peppercorn Place,Suite #320,Largo,MD,20774,,,3,www.princegeorgescountymd.gov,5350,58592189,487,"863,000",8,"Washington, DC-VA-MD","4,586,770","3,470","1,322",N,N,,N,N,N,40,71,111
3087,Fayette Area Coordinated Transportation,FACT,A,"3. City, County or Local government unit or department of",City,,,6/30/2013,10/29/2013,825 Airport Road,,Lemont Furnace,PA,15456,,,3,www.factbus.com,3214,86680543,812,"136,606",487,"Uniontown-Connellsville, PA","51,370","1,323",39,N,Y,N,N,N,N,19,14,33
3088,"County Commissioners of Charles County, MD",DCS  VanGO,A,"3. City, County or Local government unit or department of",City,,,6/30/2013,10/29/2013,8190 Port Tobacco Road,,Port Tobacco,MD,20677,,,3,www.go-vango.com,,80570500,461,"146,551",283,"Waldorf, MD","109,919","1,617",68,N,Y,,N,N,N,0,25,25
3089,Monongalia County Urban Mass Transit Authority,Mountain Line Transit,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,420 DuPont Road,,Morgantown,WV,26501,,,3,www.busride.org,6105,90827650,256,"91,576",393,"Morgantown, WV","70,350","1,876",37,Y,Y,N,N,N,N,24,0,24
3090,Eastern Panhandle Transit Authority,EPTA,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,446 Novak Drive,,Martinsburg,WV,25405,8467,,3,www.pantran.com,6280,80549470,527,"156,604",189,"Hagerstown, MD-WV-PA","182,696","1,370",133,Y,Y,N,N,N,N,16,0,16
3091,Blacksburg Transit,BT,A,"3. City, County or Local government unit or department of",City,,,6/30/2013,10/29/2013,2800 Commerce Street,,Blacksburg,VA,24060,,,3,www.btransit.org,1451,10071975,28,"63,661",328,"Blacksburg, VA","88,542","1,729",51,N,Y,N,N,N,N,43,0,43
3092,Carroll County Department of Citizen Services,CATS,A,"3. City, County or Local government unit or department of",City,,,6/30/2013,10/29/2013,10 Distillery Drive,,Westminster,MD,21157,,,3,www.carrolltransit.org,,146064998,449,"167,217",383,"Westminster-Eldersburg, MD","72,714","1,260",58,Y,Y,,N,N,N,0,30,30
3093,City of Hazleton -- Hazleton Public Transit,HPT,A,"3. City, County or Local government unit or department of",City,,,6/30/2013,10/29/2013,40 North Church St.,,Hazleton,PA,18201,,,3,www.hazletoncity.org,6236,75306464,144,"58,043",460,"Hazleton, PA","56,827","1,820",31,Y,Y,,N,N,N,0,11,11
3094,City of Harrisonburg Department of Public Transportation,Harrisonburg Transit,A,"3. City, County or Local government unit or department of",City,,,6/30/2013,10/29/2013,475 East Washington Street,,Harrisonburg,VA,22802,,,3,www.hdpt.com,1454,70423694,17,"51,828",413,"Harrisonburg, VA","66,784","2,052",33,N,Y,N,N,N,N,37,0,37
3095,County of Lebanon Transit Authority,Lebanon Transit,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,200 Willow Street,,Lebanon,PA,17046,,,3,www.lebanontransit.org,5649,961426236,362,"133,568",366,"Lebanon, PA","77,086","1,710",45,N,Y,N,N,N,N,25,0,25
