Trs_Id,Agency_Type_Desc,Institution_Type_Desc,Organization_Type_Desc,Fy_Month_Num,Fy_Day_Num,Fy_Year_Num,Company_Nm,Street1_Nm,Street2_Nm,City_Nm,State_Desc,Zip_Cd,Zip_4_Cd,Url_Cd,Ftavc_Cd,Logo_Cd,Service_Area,Service_Area_Population,Waiver_9_Req_Fl,Veh_Operated_Comment,Institutional_Structure_Desc,Other_Url_Cd,Po_Box,Other_Cap_Use_Comment_Desc,Other_Option_B_Comment_Desc,Voluntary_Reporter_Fl,Operate_FGW_MBDO_Fl,Operate_FGW_MBPT_Fl,DUNS Number
2185,1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ,3. Subsidiary Operating Unit of Regional Agency                                                     ,                                                                                                                                                                                                        ,3,31,2009,"Centro of Oneida, Inc.                                                                              ",200 Cortland Avenue                                                                                 ,                                                                                                    ,Syracruse                          ,NY                  ,13205,0820,www.centro.org                                                                                      ,1778,Centro of Oneida         ,73,"154,159",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,070850912
2187,1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ,4. Unit of City or Municipal Government                                                             ,                                                                                                                                                                                                        ,12,31,2009,Village of Kiryas Joel                                                                              ,                                                                                                    ,                                                                                                    ,Monroe                             ,NY                  ,10949,    ,                                                                                                    ,    ,KJ                       ,1,"21,000",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,566       ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,         
2188,1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ,3. Subsidiary Operating Unit of Regional Agency                                                     ,                                                                                                                                                                                                        ,12,31,2009,MTA Bus Company                                                                                     ,2 Broadway                                                                                          ,                                                                                                    ,New York                           ,NY                  ,10004,    ,www.mta.info                                                                                        ,    ,MTABUS                   ,245,"7,564,550",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,Y,N,045445137
2189,6. Other(Describe)                                                                                                                                    ,7. Private Operator                                                                                 ,Private Carrier that provides directly operated services.                                                                                                                                               ,12,31,2009,"BillyBey Ferry Company, LLC                                                                         ",Pier 79                                                                                             ,459 12th Avenue                                                                                     ,New York                           ,NY                  ,10018,    ,www.nywaterway.com                                                                                  ,    ,                         ,70,"2,131,266",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y, ,N,         
2190,6. Other(Describe)                                                                                                                                    ,7. Private Operator                                                                                 ,Private Carrier that provides directly operated services.                                                                                                                                               ,12,31,2009,Port Imperial Ferry Corporation dba NY Waterway                                                     ,4800 Avenue at Port Imperial                                                                        ,                                                                                                    ,Weehawken                          ,NJ                  ,07086,7142,www.nywaterway.com                                                                                  ,    ,                         ,776,"3,658,455",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,N, ,N,958392946
3001,1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ,1. Independent Agency with an elected Board of Directors                                            ,                                                                                                                                                                                                        ,6,30,2009,Kanawha Valley Regional Transportation Authority                                                    ,1550 4TH AVENUE                                                                                     ,                                                                                                    ,Charleston                         ,WV                  ,25324,    ,www.rideonkrt.com                                                                                   ,1464,KVRTA                    ,903,"195,413",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,1188      ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,047137484
3002,1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ,2. Independent Agency with an appointed Board of Directors                                          ,                                                                                                                                                                                                        ,6,30,2009,The Tri-State Transit Authority                                                                     ,"1120 Virginia Avenue, West                                                                          ",                                                                                                    ,Huntington                         ,WV                  ,25779,    ,www.tta-wv.com                                                                                      ,1467,TTA                      ,67,"113,532",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,7965      ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,059851329
3003,1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ,2. Independent Agency with an appointed Board of Directors                                          ,                                                                                                                                                                                                        ,6,30,2009,Mid-Ohio Valley Transit Authority                                                                   ,520 Juliana Street                                                                                  ,                                                                                                    ,Parkersburg                        ,WV                  ,26101,5301,www.easyriderbus.com                                                                                ,1469,Easy Rider               ,14,"42,230",Y,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,082956509
3006,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,1. Independent Agency with an elected Board of Directors                                            ,                                                                                                                                                                                                        ,6,30,2009,Greater Richmond Transit Company                                                                    ,101 South Davis Avenue                                                                              ,                                                                                                    ,Richmond                           ,VA                  ,23220,    ,www.ridegrtc.com                                                                                    ,1458,GRTC Transit System      ,227,"449,572",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,074746470
3007,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,4. Unit of City or Municipal Government                                                             ,                                                                                                                                                                                                        ,6,30,2009,Greater Roanoke Transit Company                                                                     ,"1108 Campbell Avenue, S.E.                                                                          ",                                                                                                    ,Roanoke                            ,VA                  ,24032,    ,valleymetro.com                                                                                     ,1460,Valley Metro             ,43,"94,911",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,13247     ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,139292544
3008,1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ,2. Independent Agency with an appointed Board of Directors                                          ,                                                                                                                                                                                                        ,6,30,2009,Greater Lynchburg Transit Company                                                                   ,1301 Kemper Street                                                                                  ,                                                                                                    ,Lynchburg                          ,VA                  ,24505,0797,www.gltconline.com                                                                                  ,1455,GLTC                     ,72,"80,846",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,797       ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,008955429
3009,1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ,4. Unit of City or Municipal Government                                                             ,                                                                                                                                                                                                        ,6,30,2009,Petersburg Area Transit                                                                             ,309 Fairgrounds Road                                                                                ,                                                                                                    ,Petersburg                         ,VA                  ,23803,    ,www.petersburg-va.org                                                                               ,1457,PAT                      ,7,"31,300",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,066004375
3010,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,2. Independent Agency with an appointed Board of Directors                                          ,                                                                                                                                                                                                        ,6,30,2009,Lehigh and Northampton Transportation Authority                                                     ,1060 Lehigh Street                                                                                  ,                                                                                                    ,Allentown                          ,PA                  ,18103,    ,www.lantabus.com                                                                                    ,1419,LANTA                    ,106,"389,000",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,068571777
3011,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,4. Unit of City or Municipal Government                                                             ,                                                                                                                                                                                                        ,6,30,2009,Altoona Metro Transit                                                                               ,3301 Fifth Avenue                                                                                   ,                                                                                                    ,Altoona                            ,PA                  ,16602,1801,www.amtran.org                                                                                      ,1420,AMTRAN                   ,25,"69,608",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,059297549
3012,1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ,2. Independent Agency with an appointed Board of Directors                                          ,                                                                                                                                                                                                        ,6,30,2009,Cambria County Transit Authority                                                                    ,726 Central Avenue                                                                                  ,                                                                                                    ,Johnstown                          ,PA                  ,15902,2996,www.camtranbus.com                                                                                  ,1431,CamTran                  ,60,"80,508",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,083959171
3013,1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ,2. Independent Agency with an appointed Board of Directors                                          ,                                                                                                                                                                                                        ,6,30,2009,Erie Metropolitan Transit Authority                                                                 ,127 East 14th Street                                                                                ,                                                                                                    ,Erie                               ,PA                  ,16512,2057,www.emtaerie.com                                                                                    ,1425,EMTA                     ,77,"189,872",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,2057      ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,077774289
3014,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,2. Independent Agency with an appointed Board of Directors                                          ,                                                                                                                                                                                                        ,6,30,2009,Capital Area Transit                                                                                ,901 North Cameron Street                                                                            ,                                                                                                    ,Harrisburg                         ,PA                  ,17105,    ,www.cattransit.com                                                                                  ,1427,CAT                      ,137,"414,621",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,1571      ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,071195879
3015,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,2. Independent Agency with an appointed Board of Directors                                          ,                                                                                                                                                                                                        ,6,30,2009,Luzerne County Transportation Authority                                                             ,315 Northampton Street                                                                              ,                                                                                                    ,Kingston                           ,PA                  ,18704,5489,www.lctabus.com                                                                                     ,1432,LCTA                     ,56,"202,500",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,069594646
3018,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,2. Independent Agency with an appointed Board of Directors                                          ,                                                                                                                                                                                                        ,6,30,2009,Red Rose Transit Authority                                                                          ,45 Erick Road                                                                                       ,                                                                                                    ,Lancaster                          ,PA                  ,17601,    ,www.redrosetransit.com                                                                              ,1434,RRTA                     ,952,"420,920",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,010584282
3019,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,2. Independent Agency with an appointed Board of Directors                                          ,                                                                                                                                                                                                        ,6,30,2009,Southeastern Pennsylvania Transportation Authority                                                  ,1234 Market Street                                                                                  ,                                                                                                    ,Philadelphia                       ,PA                  ,19107,3780,www.septa.org                                                                                       ,1947,SEPTA                    ,869,"3,337,770",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,Y,N,044543841
3022,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,2. Independent Agency with an appointed Board of Directors                                          ,                                                                                                                                                                                                        ,6,30,2009,Port Authority of Allegheny County                                                                  ,345 Sixth Avenue                                                                                    ,3rd Floor                                                                                           ,Pittsburgh                         ,PA                  ,15222,2527,www.portauthority.org                                                                               ,1441,Port Authority           ,775,"1,415,244",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,Y,N,072158041
3023,1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ,2. Independent Agency with an appointed Board of Directors                                          ,                                                                                                                                                                                                        ,6,30,2009,Beaver County Transit Authority                                                                     ,200 West Washington Street                                                                          ,                                                                                                    ,Rochester                          ,PA                  ,15074,2235,www.bcta.com                                                                                        ,1422,BCTA                     ,440,"174,000",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,Y,N,153757042
3024,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,2. Independent Agency with an appointed Board of Directors                                          ,                                                                                                                                                                                                        ,6,30,2009,Berks Area Reading Transportation Authority                                                         ,1700 North 11th Street                                                                              ,                                                                                                    ,Reading                            ,PA                  ,19604,1599,www.bartabus.com                                                                                    ,1442,BARTA                    ,864,"373,638",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,063881858
3025,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,2. Independent Agency with an appointed Board of Directors                                          ,                                                                                                                                                                                                        ,6,30,2009,County of Lackawanna Transit System                                                                 ,North South Road                                                                                    ,                                                                                                    ,Scranton                           ,PA                  ,18504,1410,www.coltsbus.com                                                                                    ,1443,COLTS                    ,140,"339,009",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,155883184
