State,Agency,AgencyID,OrgType,SSW,UZA Size,Mode,EmployType,VOMs,vehicleOperationsHours,VehicleMaintHours,nonVehicleMaintHours,GeneralAdminHours,TotalOperatingHours,CapitalHours,TotalEmployeeHours,VehicleOperationsCount,VehicleMaintCount,NonVehicleCount,GeneralAdminCount,TotalOperatingCount,CapitalCount,TotalEmployeeCount
FL,Pasco County Public Transportation(PCPT),4074,City,N,Over 1 million,MB,Part Time,18,0,"4,078.00","1,020.00","8,246.00","13,344.00",0,"13,344.00",0,4,1,8,13,0,13
FL,Pasco County Public Transportation(PCPT),4074,City,N,Over 1 million,DR,Full Time,11,"23,235.00",0,0,0,"23,235.00",0,"23,235.00",13,0,0,0,13,0,13
FL,Pasco County Public Transportation(PCPT),4074,City,N,Over 1 million,DR,Part Time,11,0,718,166,"4,109.00","4,993.00",0,"4,993.00",0,1,1,4,6,0,6
FL,Pasco County Public Transportation(PCPT),4074,City,N,Over 1 million,Total,,29,"112,660.00","4,796.00","1,186.00","12,355.00","130,997.00",0,"130,997.00",62,5,2,12,81,0,81
FL,Pinellas Suncoast Transit Authority(PSTA),4027,Authority,N,Over 1 million,CB,Full Time,6,"32,721.00","5,183.00","2,035.00","5,318.00","45,257.00",0,"45,257.00",16,3,1,3,23,0,23
FL,Pinellas Suncoast Transit Authority(PSTA),4027,Authority,N,Over 1 million,CB,Part Time,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL,Pinellas Suncoast Transit Authority(PSTA),4027,Authority,N,Over 1 million,MB,Full Time,156,"785,300.00","124,391.00","48,833.00","127,628.00","1,086,152.00",0,"1,086,152.00",391,62,25,71,549,0,549
FL,Pinellas Suncoast Transit Authority(PSTA),4027,Authority,N,Over 1 million,MB,Part Time,156,0,0,0,"2,145.00","2,145.00",0,"2,145.00",0,0,0,2,2,0,2
FL,Pinellas Suncoast Transit Authority(PSTA),4027,Authority,N,Over 1 million,Total,,162,"818,021.00","129,574.00","50,868.00","135,091.00","1,133,554.00",0,"1,133,554.00",407,65,26,76,574,0,574
FL,Polk County Transit Services Division - Polk County Board of County Commissioners(PCTS),4127,City,N,"200,000 - 1 million",MB,Full Time,10,"28,151.00","4,727.00",0,"9,954.00","42,832.00",0,"42,832.00",16,3,0,6,25,0,25
FL,Polk County Transit Services Division - Polk County Board of County Commissioners(PCTS),4127,City,N,"200,000 - 1 million",MB,Part Time,10,"8,597.00",0,0,0,"8,597.00",0,"8,597.00",9,0,0,0,9,0,9
FL,Polk County Transit Services Division - Polk County Board of County Commissioners(PCTS),4127,City,N,"200,000 - 1 million",DR,Full Time,26,"66,948.00","5,683.00",0,"21,827.00","94,458.00",0,"94,458.00",31,3.5,0,12,46.5,0,46.5
FL,Polk County Transit Services Division - Polk County Board of County Commissioners(PCTS),4127,City,N,"200,000 - 1 million",DR,Part Time,26,"2,865.00",0,0,0,"2,865.00",0,"2,865.00",3,0,0,0,3,0,3
FL,Polk County Transit Services Division - Polk County Board of County Commissioners(PCTS),4127,City,N,"200,000 - 1 million",Total,,36,"106,561.00","10,410.00",0,"31,781.00","148,752.00",0,"148,752.00",59,6.5,0,18,83.5,0,83.5
FL,Sarasota County Area Transit(SCAT),4046,City,N,"200,000 - 1 million",CB,Full Time,4,"17,672.00","1,073.00",12,"1,381.00","20,138.00",0,"20,138.00",8.6,0.7,0.1,0.9,10.3,0,10.3
FL,Sarasota County Area Transit(SCAT),4046,City,N,"200,000 - 1 million",CB,Part Time,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL,Sarasota County Area Transit(SCAT),4046,City,N,"200,000 - 1 million",MB,Full Time,42,"272,886.00","25,089.00","1,032.00","16,305.00","315,312.00",0,"315,312.00",150.5,11.5,0.6,8,170.6,0,170.6
FL,Sarasota County Area Transit(SCAT),4046,City,N,"200,000 - 1 million",MB,Part Time,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL,Sarasota County Area Transit(SCAT),4046,City,N,"200,000 - 1 million",DR,Full Time,27,"79,426.00","13,671.00",170,"12,727.00","105,994.00",0,"105,994.00",37.3,6.3,0.1,6,49.7,0,49.7
FL,Sarasota County Area Transit(SCAT),4046,City,N,"200,000 - 1 million",DR,Part Time,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL,Sarasota County Area Transit(SCAT),4046,City,N,"200,000 - 1 million",Total,,73,"369,984.00","39,833.00","1,214.00","30,413.00","441,444.00",0,"441,444.00",196.4,18.5,0.8,14.9,230.6,0,230.6
FL,"Senior Resource Association, Inc.(SRA)",4104,Non-Profit,N,"Under 200,000",MB,Full Time,15,"44,257.00","1,658.00",587,"4,605.00","51,107.00",0,"51,107.00",25.3,0.8,0.3,2.2,28.6,0,28.6
FL,"Senior Resource Association, Inc.(SRA)",4104,Non-Profit,N,"Under 200,000",MB,Part Time,15,"5,321.00",0,0,0,"5,321.00",0,"5,321.00",5.1,0,0,0,5.1,0,5.1
FL,"Senior Resource Association, Inc.(SRA)",4104,Non-Profit,N,"Under 200,000",DR,Full Time,16,"23,177.00","1,500.00",525,"4,126.00","29,328.00",0,"29,328.00",13.2,0.7,0.3,2,16.2,0,16.2
FL,"Senior Resource Association, Inc.(SRA)",4104,Non-Profit,N,"Under 200,000",DR,Part Time,16,"1,497.00",0,0,0,"1,497.00",0,"1,497.00",1.4,0,0,0,1.4,0,1.4
FL,"Senior Resource Association, Inc.(SRA)",4104,Non-Profit,N,"Under 200,000",Total,,31,"74,252.00","3,158.00","1,112.00","8,731.00","87,253.00",0,"87,253.00",45,1.5,0.6,4.2,51.3,0,51.3
FL,Space Coast Area Transit(SCAT),4063,City,N,"200,000 - 1 million",MB,Full Time,24,"84,203.00",0,0,"10,415.00","94,618.00",0,"94,618.00",47.3,0,0,5.3,52.6,0,52.6
FL,Space Coast Area Transit(SCAT),4063,City,N,"200,000 - 1 million",MB,Part Time,24,"24,392.00",0,0,0,"24,392.00",0,"24,392.00",25.7,0,0,0,25.7,0,25.7
FL,Space Coast Area Transit(SCAT),4063,City,N,"200,000 - 1 million",DR,Full Time,33,"60,975.00",0,0,"7,542.00","68,517.00",0,"68,517.00",33.7,0,0,3.7,37.4,0,37.4
FL,Space Coast Area Transit(SCAT),4063,City,N,"200,000 - 1 million",DR,Part Time,33,"17,663.00",0,0,0,"17,663.00",0,"17,663.00",18.3,0,0,0,18.3,0,18.3
FL,Space Coast Area Transit(SCAT),4063,City,N,"200,000 - 1 million",Total,,57,"187,233.00",0,0,"17,957.00","205,190.00",0,"205,190.00",125,0,0,9,134,0,134
FL,"Tri-County Community Council, Inc.(TCCC)",4148,Non-Profit,N,"Under 200,000",DR,Full Time,32,"52,628.00",0,0,"1,696.00","54,324.00",0,"54,324.00",30,0,0,1,31,0,31
FL,"Tri-County Community Council, Inc.(TCCC)",4148,Non-Profit,N,"Under 200,000",DR,Part Time,32,"4,745.00",0,0,0,"4,745.00",0,"4,745.00",6,0,0,0,6,0,6
FL,"Tri-County Community Council, Inc.(TCCC)",4148,Non-Profit,N,"Under 200,000",Total,,32,"57,373.00",0,0,"1,696.00","59,069.00",0,"59,069.00",36,0,0,1,37,0,37
GA,Albany Transit System(ATS),4021,City,N,"Under 200,000",MB,Full Time,7,"32,710.00","8,826.00",456,"4,466.00","46,458.00",0,"46,458.00",19,5.7,0.2,2.5,27.4,0,27.4
GA,Albany Transit System(ATS),4021,City,N,"Under 200,000",MB,Part Time,7,"15,001.00","2,479.00",0,0,"17,480.00",0,"17,480.00",10,1.7,0,0,11.7,0,11.7
GA,Albany Transit System(ATS),4021,City,N,"Under 200,000",DR,Full Time,4,"12,590.00","1,557.00",102,788,"15,037.00",0,"15,037.00",5.8,0.9,0.1,0.5,7.3,0,7.3
GA,Albany Transit System(ATS),4021,City,N,"Under 200,000",DR,Part Time,4,533,438,0,0,971,0,971,1.2,0.3,0,0,1.5,0,1.5
GA,Albany Transit System(ATS),4021,City,N,"Under 200,000",Total,,11,"60,834.00","13,300.00",558,"5,254.00","79,946.00",0,"79,946.00",36,8.6,0.3,3,47.9,0,47.9
GA,Athens Transit System(ATS),4047,City,N,"Under 200,000",MB,Full Time,22,"80,791.00","15,583.00","4,256.00","7,959.00","108,589.00",0,"108,589.00",42.5,7.3,2.3,3.8,55.9,0,55.9
GA,Athens Transit System(ATS),4047,City,N,"Under 200,000",MB,Part Time,22,"24,610.00",596,638,"1,413.00","27,257.00",0,"27,257.00",20,2,0.7,1,23.7,0,23.7
GA,Athens Transit System(ATS),4047,City,N,"Under 200,000",DR,Full Time,3,"9,202.00","1,642.00",912,"1,264.00","13,020.00",0,"13,020.00",5,0.9,0.5,0.7,7.1,0,7.1
GA,Athens Transit System(ATS),4047,City,N,"Under 200,000",DR,Part Time,3,"1,430.00",0,273,200,"1,903.00",0,"1,903.00",2,0,0.3,1,3.3,0,3.3
GA,Athens Transit System(ATS),4047,City,N,"Under 200,000",Total,,25,"116,033.00","17,821.00","6,079.00","10,836.00","150,769.00",0,"150,769.00",69.5,10.2,3.8,6.5,90,0,90
GA,Chatham Area Transit Authority(CAT),4025,Authority,N,"200,000 - 1 million",MB,Full Time,52,"26,480.00","5,868.00",474,"3,120.00","35,942.00",0,"35,942.00",115,25,2,13,155,0,155
GA,Chatham Area Transit Authority(CAT),4025,Authority,N,"200,000 - 1 million",MB,Part Time,52,"1,587.00",348,126,159,"2,220.00",0,"2,220.00",10,2,1,1,14,0,14
GA,Chatham Area Transit Authority(CAT),4025,Authority,N,"200,000 - 1 million",FB,Full Time,1,377,216,0,224,817,0,817,2,1,0,1,4,0,4
GA,Chatham Area Transit Authority(CAT),4025,Authority,N,"200,000 - 1 million",FB,Part Time,1,"1,480.00",0,75,0,"1,555.00",0,"1,555.00",7,0,1,0,8,0,8
GA,Chatham Area Transit Authority(CAT),4025,Authority,N,"200,000 - 1 million",DR,Full Time,20,"6,152.00",218,211,425,"7,006.00",0,"7,006.00",26,1,1,2,30,0,30
GA,Chatham Area Transit Authority(CAT),4025,Authority,N,"200,000 - 1 million",DR,Part Time,20,850,0,0,0,850,0,850,5,0,0,0,5,0,5
GA,Chatham Area Transit Authority(CAT),4025,Authority,N,"200,000 - 1 million",Total,,73,"36,926.00","6,650.00",886,"3,928.00","48,390.00",0,"48,390.00",165,29,5,17,216,0,216
GA,City of Rome Transit Department(RTD),4058,City,N,"Under 200,000",MB,Full Time,27,"43,179.00","12,621.00","1,698.00","12,766.00","70,264.00",0,"70,264.00",21,8,1,7,37,0,37
GA,City of Rome Transit Department(RTD),4058,City,N,"Under 200,000",MB,Part Time,27,"2,591.00","1,576.00",0,"1,419.00","5,586.00",0,"5,586.00",3,3,0,1,7,0,7
GA,City of Rome Transit Department(RTD),4058,City,N,"Under 200,000",DR,Full Time,6,"10,644.00","1,815.00","1,500.00","1,576.00","15,535.00",0,"15,535.00",5,1,1,1,8,0,8
GA,City of Rome Transit Department(RTD),4058,City,N,"Under 200,000",DR,Part Time,6,"1,891.00",0,206,0,"2,097.00",0,"2,097.00",2,0,1,0,3,0,3
GA,City of Rome Transit Department(RTD),4058,City,N,"Under 200,000",Total,,33,"58,305.00","16,012.00","3,404.00","15,761.00","93,482.00",0,"93,482.00",31,12,3,9,55,0,55
GA,Douglas County Rideshare(Rideshare),4082,City,N,Over 1 million,VP,Full Time,65,0,"1,778.00",0,"5,280.00","7,058.00",0,"7,058.00",0,1,0,3,4,0,4
GA,Douglas County Rideshare(Rideshare),4082,City,N,Over 1 million,VP,Part Time,65,0,0,0,"1,778.00","1,778.00",0,"1,778.00",0,0,0,2,2,0,2
GA,Douglas County Rideshare(Rideshare),4082,City,N,Over 1 million,Total,,65,0,"1,778.00",0,"7,058.00","8,836.00",0,"8,836.00",0,1,0,5,6,0,6
GA,Enterprise Rideshare,4203,For-Profit,N,Over 1 million,VP,Full Time,92,0,0,0,"5,664.00","5,664.00",0,"5,664.00",0,0,0,3,3,0,3
GA,Enterprise Rideshare,4203,For-Profit,N,Over 1 million,VP,Part Time,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,Enterprise Rideshare,4203,For-Profit,N,Over 1 million,Total,,92,0,0,0,"5,664.00","5,664.00",0,"5,664.00",0,0,0,3,3,0,3
GA,Hall Area Transit(HAT),4144,City,N,"Under 200,000",MB,Full Time,8,"16,939.00","1,065.00",0,950,"18,954.00",0,"18,954.00",10,1,0,0.5,11.5,0,11.5
GA,Hall Area Transit(HAT),4144,City,N,"Under 200,000",MB,Part Time,8,"5,930.00",0,0,0,"5,930.00",0,"5,930.00",8,0,0,0,8,0,8
GA,Hall Area Transit(HAT),4144,City,N,"Under 200,000",DR,Full Time,9,"9,784.00","1,159.00",0,"1,100.00","12,043.00",0,"12,043.00",5,1,0,0.5,6.5,0,6.5
GA,Hall Area Transit(HAT),4144,City,N,"Under 200,000",DR,Part Time,9,"8,938.00",0,0,0,"8,938.00",0,"8,938.00",7,0,0,0,7,0,7
GA,Hall Area Transit(HAT),4144,City,N,"Under 200,000",Total,,17,"41,591.00","2,224.00",0,"2,050.00","45,865.00",0,"45,865.00",30,2,0,1,33,0,33
GA,Metropolitan Atlanta Rapid Transit Authority(MARTA),4022,Authority,N,Over 1 million,MB,Full Time,446,"2,534,002.00","800,143.00","196,663.00","611,443.00","4,142,251.00",517,"4,142,768.00","1,397.20",389,110.7,283.9,"2,180.80",0.3,"2,181.10"
GA,Metropolitan Atlanta Rapid Transit Authority(MARTA),4022,Authority,N,Over 1 million,MB,Part Time,446,"101,054.00",0,0,686,"101,740.00",0,"101,740.00",82.3,0,0,0.4,82.7,0,82.7
GA,Metropolitan Atlanta Rapid Transit Authority(MARTA),4022,Authority,N,Over 1 million,HR,Full Time,182,"1,399,187.00","559,873.00","880,365.00","735,787.00","3,575,212.00","72,567.00","3,647,779.00",600.4,253,494.7,338.5,"1,686.60",38.1,"1,724.70"
GA,Metropolitan Atlanta Rapid Transit Authority(MARTA),4022,Authority,N,Over 1 million,HR,Part Time,182,"66,510.00",0,0,910,"67,420.00",0,"67,420.00",45.7,0,0,0.6,46.3,0,46.3
GA,Metropolitan Atlanta Rapid Transit Authority(MARTA),4022,Authority,N,Over 1 million,DR,Full Time,153,"547,776.00","82,066.00","6,352.00","42,626.00","678,820.00",0,"678,820.00",301.3,42,3.6,19.6,366.5,0,366.5
GA,Metropolitan Atlanta Rapid Transit Authority(MARTA),4022,Authority,N,Over 1 million,DR,Part Time,153,"87,141.00",0,0,0,"87,141.00",0,"87,141.00",57,0,0,0,57,0,57
GA,Metropolitan Atlanta Rapid Transit Authority(MARTA),4022,Authority,N,Over 1 million,Total,,781,"4,735,670.00","1,442,082.00","1,083,380.00","1,391,452.00","8,652,584.00","73,084.00","8,725,668.00","2,483.90",684,609,643,"4,419.90",38.4,"4,458.30"
GA,University of Georgia Transit System(UGA),4180,University,N,"Under 200,000",MB,Full Time,47,"86,026.00","18,906.00",0,"5,800.00","110,732.00",0,"110,732.00",33.2,10.2,0,3.9,47.3,0,47.3
GA,University of Georgia Transit System(UGA),4180,University,N,"Under 200,000",MB,Part Time,47,"16,101.00",0,0,0,"16,101.00",0,"16,101.00",145.4,0,0,0,145.4,0,145.4
GA,University of Georgia Transit System(UGA),4180,University,N,"Under 200,000",DR,Full Time,6,"4,118.00","2,008.00",0,616,"6,742.00",0,"6,742.00",2.2,1.1,0,0.4,3.7,0,3.7
GA,University of Georgia Transit System(UGA),4180,University,N,"Under 200,000",DR,Part Time,6,"14,120.00",0,0,0,"14,120.00",0,"14,120.00",14.6,0,0,0,14.6,0,14.6
GA,University of Georgia Transit System(UGA),4180,University,N,"Under 200,000",Total,,53,"120,365.00","20,914.00",0,"6,416.00","147,695.00",0,"147,695.00",195.4,11.3,0,4.3,211,0,211
GA,"vRide, Inc. - Atlanta",4153,Contractor,N,Over 1 million,VP,Full Time,253,0,0,0,"8,256.00","8,256.00",0,"8,256.00",0,0,0,7,7,0,7
GA,"vRide, Inc. - Atlanta",4153,Contractor,N,Over 1 million,VP,Part Time,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,"vRide, Inc. - Atlanta",4153,Contractor,N,Over 1 million,Total,,253,0,0,0,"8,256.00","8,256.00",0,"8,256.00",0,0,0,7,7,0,7
IA,Ames Transit Agency dba CyRide,7041,City,N,"Under 200,000",MB,Full Time,65,"49,488.00","14,897.00",653,"14,549.00","79,587.00",0,"79,587.00",28,7.6,0.4,7.9,43.9,0,43.9
IA,Ames Transit Agency dba CyRide,7041,City,N,"Under 200,000",MB,Part Time,65,"121,178.00","3,935.00",641,935,"126,689.00",0,"126,689.00",111,4.3,0.7,1,117,0,117
IA,Ames Transit Agency dba CyRide,7041,City,N,"Under 200,000",DR,Full Time,3,0,0,0,450,450,0,450,0,0,0,0.4,0.4,0,0.4
IA,Ames Transit Agency dba CyRide,7041,City,N,"Under 200,000",DR,Part Time,3,"3,714.00",0,0,0,"3,714.00",0,"3,714.00",3.1,0,0,0,3.1,0,3.1
IA,Ames Transit Agency dba CyRide,7041,City,N,"Under 200,000",Total,,68,"174,380.00","18,832.00","1,294.00","15,934.00","210,440.00",0,"210,440.00",142.1,11.9,1.1,9.3,164.4,0,164.4
IA,Cedar Rapids Transit(CRT),7008,City,N,"Under 200,000",MB,Full Time,22,"90,553.00","8,128.00","1,800.00","5,269.00","105,750.00",0,"105,750.00",49,4,1,3,57,0,57
IA,Cedar Rapids Transit(CRT),7008,City,N,"Under 200,000",MB,Part Time,22,0,0,0,71,71,0,71,0,0,0,1,1,0,1
IA,Cedar Rapids Transit(CRT),7008,City,N,"Under 200,000",Total,,22,"90,553.00","8,128.00","1,800.00","5,340.00","105,821.00",0,"105,821.00",49,4,1,4,58,0,58
IA,Coralville Transit System(CTS),7030,City,N,"Under 200,000",MB,Full Time,7,"12,729.00","3,290.00",0,"1,785.00","17,804.00",0,"17,804.00",8,2,0,1,11,0,11
IA,Coralville Transit System(CTS),7030,City,N,"Under 200,000",MB,Part Time,7,"8,966.00","1,220.00",0,0,"10,186.00",0,"10,186.00",9,1,0,0,10,0,10
IA,Coralville Transit System(CTS),7030,City,N,"Under 200,000",Total,,7,"21,695.00","4,510.00",0,"1,785.00","27,990.00",0,"27,990.00",17,3,0,1,21,0,21
IA,Des Moines Area Regional Transit Authority(DART),7010,Authority,N,"200,000 - 1 million",VP,Full Time,94,"3,769.00",0,439,"3,615.00","7,823.00",0,"7,823.00",2,0,0.2,1.8,4,0,4
IA,Des Moines Area Regional Transit Authority(DART),7010,Authority,N,"200,000 - 1 million",VP,Part Time,94,0,0,0,71,71,0,71,0,0,0,0.1,0.1,0,0.1
IA,Des Moines Area Regional Transit Authority(DART),7010,Authority,N,"200,000 - 1 million",MB,Full Time,105,"214,672.00","74,160.00","11,549.00","56,376.00","356,757.00",0,"356,757.00",95,34.6,5.8,28.8,164.2,0,164.2
IA,Des Moines Area Regional Transit Authority(DART),7010,Authority,N,"200,000 - 1 million",MB,Part Time,105,"57,393.00",0,"2,335.00","4,160.00","63,888.00",0,"63,888.00",72,0,7,5.9,84.9,0,84.9
IA,Des Moines Area Regional Transit Authority(DART),7010,Authority,N,"200,000 - 1 million",DR,Full Time,21,"63,326.00","9,044.00",989,"3,860.00","77,219.00",0,"77,219.00",26,4.4,0.4,1.8,32.6,0,32.6
IA,Des Moines Area Regional Transit Authority(DART),7010,Authority,N,"200,000 - 1 million",DR,Part Time,21,"27,965.00",0,0,78,"28,043.00",0,"28,043.00",30,0,0,0.1,30.1,0,30.1
IA,Des Moines Area Regional Transit Authority(DART),7010,Authority,N,"200,000 - 1 million",Total,,220,"367,125.00","83,204.00","15,312.00","68,160.00","533,801.00",0,"533,801.00",225,39,13.4,38.5,315.9,0,315.9
IA,Iowa City Transit(ICT),7018,City,N,"Under 200,000",MB,Full Time,21,"59,352.00","11,455.00","3,749.00","5,601.00","80,157.00",0,"80,157.00",31,6,2,3,42,0,42
IA,Iowa City Transit(ICT),7018,City,N,"Under 200,000",MB,Part Time,21,"35,811.00",0,0,0,"35,811.00",0,"35,811.00",21,0,0,0,21,0,21
IA,Iowa City Transit(ICT),7018,City,N,"Under 200,000",Total,,21,"95,163.00","11,455.00","3,749.00","5,601.00","115,968.00",0,"115,968.00",52,6,2,3,63,0,63
IA,Johnson County SEATS(SEATS),7045,City,N,"Under 200,000",DR,Full Time,22,"26,620.00","1,940.00",0,"5,204.00","33,764.00",0,"33,764.00",16,1,0,3,20,0,20
IA,Johnson County SEATS(SEATS),7045,City,N,"Under 200,000",DR,Part Time,22,"28,750.00",141,0,"1,226.00","30,117.00",0,"30,117.00",34,1,0,1,36,0,36
IA,Johnson County SEATS(SEATS),7045,City,N,"Under 200,000",Total,,22,"55,370.00","2,081.00",0,"6,430.00","63,881.00",0,"63,881.00",50,2,0,4,56,0,56
IA,Metropolitan Transit Authority of Black Hawk County(MET Transit),7013,Authority,N,"Under 200,000",MB,Full Time,12,"33,216.00","5,211.00",950,"3,855.00","43,232.00",940,"44,172.00",18,3,0.5,2,23.5,0.5,24
IA,Metropolitan Transit Authority of Black Hawk County(MET Transit),7013,Authority,N,"Under 200,000",MB,Part Time,12,"7,139.00",0,0,0,"7,139.00",0,"7,139.00",5,0,0,0,5,0,5
IA,Metropolitan Transit Authority of Black Hawk County(MET Transit),7013,Authority,N,"Under 200,000",DR,Full Time,15,"22,584.00","6,110.00",915,"3,600.00","33,209.00",940,"34,149.00",14,3,0.5,2,19.5,0.5,20
IA,Metropolitan Transit Authority of Black Hawk County(MET Transit),7013,Authority,N,"Under 200,000",DR,Part Time,15,"6,841.00",0,0,0,"6,841.00",0,"6,841.00",4,0,0,0,4,0,4
IA,Metropolitan Transit Authority of Black Hawk County(MET Transit),7013,Authority,N,"Under 200,000",Total,,27,"69,780.00","11,321.00","1,865.00","7,455.00","90,421.00","1,880.00","92,301.00",41,6,1,4,52,1,53
IA,River Bend Transit(RBT),7049,Non-Profit,N,"200,000 - 1 million",DR,Full Time,39,"9,733.00","4,056.00",15,"8,216.00","22,020.00",0,"22,020.00",5,2,0.1,4,11.1,0,11.1
IA,River Bend Transit(RBT),7049,Non-Profit,N,"200,000 - 1 million",DR,Part Time,39,"81,000.00",0,0,0,"81,000.00",0,"81,000.00",79,0,0,0,79,0,79
IA,River Bend Transit(RBT),7049,Non-Profit,N,"200,000 - 1 million",Total,,39,"90,733.00","4,056.00",15,"8,216.00","103,020.00",0,"103,020.00",84,2,0.1,4,90.1,0,90.1
IA,Sioux City Transit System(SCTS),7012,City,N,"Under 200,000",MB,Full Time,21,"20,539.00","5,166.00","1,857.00","7,051.00","34,613.00",0,"34,613.00",12,3,1,4,20,0,20
IA,Sioux City Transit System(SCTS),7012,City,N,"Under 200,000",MB,Part Time,21,"33,006.00",0,0,"1,046.00","34,052.00",0,"34,052.00",26,0,0,1,27,0,27
IA,Sioux City Transit System(SCTS),7012,City,N,"Under 200,000",Total,,21,"53,545.00","5,166.00","1,857.00","8,097.00","68,665.00",0,"68,665.00",38,3,1,5,47,0,47
IA,University of Iowa(Cambus),7019,University,N,"Under 200,000",MB,Full Time,26,782,"6,845.00",554,196,"8,377.00",0,"8,377.00",0.4,3.4,0.2,0.1,4.1,0,4.1
IA,University of Iowa(Cambus),7019,University,N,"Under 200,000",MB,Part Time,26,"103,352.00","12,519.00","1,025.00","3,049.00","119,945.00",0,"119,945.00",124,12,2,5,143,0,143
IA,University of Iowa(Cambus),7019,University,N,"Under 200,000",DR,Full Time,3,156,"1,290.00",38,40,"1,524.00",0,"1,524.00",0.1,0.6,0.1,0.1,0.9,0,0.9
IA,University of Iowa(Cambus),7019,University,N,"Under 200,000",DR,Part Time,3,"13,142.00","1,982.00",381,323,"15,828.00",0,"15,828.00",14,3,1,1,19,0,19
IA,University of Iowa(Cambus),7019,University,N,"Under 200,000",Total,,29,"117,432.00","22,636.00","1,998.00","3,608.00","145,674.00",0,"145,674.00",138.5,19,3.3,6.2,167,0,167
ID,Valley Regional Transit(VRT),11,Authority,N,"200,000 - 1 million",MB,Full Time,38,"112,121.00","29,207.00",0,"13,501.00","154,829.00",0,"154,829.00",63,16,0,7,86,0,86
ID,Valley Regional Transit(VRT),11,Authority,N,"200,000 - 1 million",MB,Part Time,38,"13,427.00","2,002.00",0,"3,380.00","18,809.00",0,"18,809.00",12,2,0,3,17,0,17
ID,Valley Regional Transit(VRT),11,Authority,N,"200,000 - 1 million",DR,Full Time,15,"29,776.00","3,643.00",0,"2,408.00","35,827.00",0,"35,827.00",15,2,0,1.5,18.5,0,18.5
ID,Valley Regional Transit(VRT),11,Authority,N,"200,000 - 1 million",DR,Part Time,15,885,0,0,0,885,0,885,2,0,0,0,2,0,2
ID,Valley Regional Transit(VRT),11,Authority,N,"200,000 - 1 million",Total,,53,"156,209.00","34,852.00",0,"19,289.00","210,350.00",0,"210,350.00",92,20,0,11.5,123.5,0,123.5
IL,Bloomington-Normal Public Transit System(Connect Transit),5047,Authority,N,"Under 200,000",MB,Full Time,23,"99,539.00","10,864.00","4,656.00","11,997.00","127,056.00",0,"127,056.00",57.2,6.9,2.9,7.7,74.7,0,74.7
IL,Bloomington-Normal Public Transit System(Connect Transit),5047,Authority,N,"Under 200,000",MB,Part Time,23,"13,902.00","1,233.00",528,15,"15,678.00",0,"15,678.00",9.6,0,0,0,9.6,0,9.6
IL,Bloomington-Normal Public Transit System(Connect Transit),5047,Authority,N,"Under 200,000",DR,Full Time,10,"24,885.00","2,458.00","1,053.00","5,141.00","33,537.00",0,"33,537.00",12.8,1.6,0.7,3.3,18.4,0,18.4
IL,Bloomington-Normal Public Transit System(Connect Transit),5047,Authority,N,"Under 200,000",DR,Part Time,10,"3,476.00",279,120,7,"3,882.00",0,"3,882.00",2.4,0,0,0,2.4,0,2.4
IL,Bloomington-Normal Public Transit System(Connect Transit),5047,Authority,N,"Under 200,000",Total,,33,"141,802.00","14,834.00","6,357.00","17,160.00","180,153.00",0,"180,153.00",82,8.5,3.6,11,105.1,0,105.1
IL,Champaign-Urbana Mass Transit District(C-U MTD),5060,Authority,N,"Under 200,000",MB,Full Time,93,"253,306.00","59,422.00","10,839.00","34,760.00","358,327.00",0,"358,327.00",138.4,34.1,4.8,18,195.3,0,195.3
IL,Champaign-Urbana Mass Transit District(C-U MTD),5060,Authority,N,"Under 200,000",MB,Part Time,93,"116,766.00","20,657.00","5,472.00","7,894.00","150,789.00",0,"150,789.00",97.2,15.2,4.9,8.2,125.5,0,125.5
IL,Champaign-Urbana Mass Transit District(C-U MTD),5060,Authority,N,"Under 200,000",DR,Full Time,12,"13,526.00","1,530.00",365,"2,330.00","17,751.00",0,"17,751.00",7.1,0.9,0.2,1.3,9.5,0,9.5
IL,Champaign-Urbana Mass Transit District(C-U MTD),5060,Authority,N,"Under 200,000",DR,Part Time,12,"14,863.00","1,040.00",112,725,"16,740.00",0,"16,740.00",11.2,1,0.1,0.6,12.9,0,12.9
IL,Champaign-Urbana Mass Transit District(C-U MTD),5060,Authority,N,"Under 200,000",Total,,105,"398,461.00","82,649.00","16,788.00","45,709.00","543,607.00",0,"543,607.00",253.9,51.2,10,28.1,343.2,0,343.2
IL,Chicago Transit Authority(CTA),5066,Authority,N,Over 1 million,MB,Full Time,"1,663","6,681,939.00","1,773,194.00","361,610.00","438,476.00","9,255,219.00","478,455.00","9,733,674.00","3,706.00",983.6,199.3,314,"5,202.90",263.7,"5,466.60"
IL,Chicago Transit Authority(CTA),5066,Authority,N,Over 1 million,MB,Part Time,"1,663","1,379,484.00",489,0,"6,514.00","1,386,487.00",0,"1,386,487.00",825.6,0.3,0,8.8,834.7,0,834.7
