Name,City,State,Legacy NTD ID,NTD ID,Organization Type,Reporter Type,Primary UZA Population,Agency VOMS,Mode,TOS,Mode VOMS,Vehicle Operations Hours,Vehicle Operations Hours Questionable,Vehicle Maintenance Hours,Vehicle Maintenance Hours Questionable,Facility Maintenance Hours,Facility Maintenance Hours Questionable,General Administration Hours,General Administration Hours Questionable,Capital Labor Hours,Capital Labor Hours Questionable,Total Hours,Total Hours Questionable,Vehicle Operations Count,Vehicle Operations Count Questionable,Vehicle Maintenance Count,Vehicle Maintenance Count Questionable,Facility Maintenance Count,Facility Maintenance Count Questionable,General Administration Count,General Administration Count Questionable,Capital Labor Count,Capital Labor Count Questionable,Total Employee Count,Total Employee Count Questionable,Vehicle Operations Salary Expenses,Vehicle Operations Salary Expenses Questionable,Vehicle Maintenance Salary Expenses,Vehicle Maintenance Salary Expenses Questionable,Facility Maintenance Salary Expenses,Facility Maintenance Salary Expenses Questionable,General Administration Salary Expenses,General Administration Salary Expenses Questionable,Total Operating Salary Expenses,Total Operating Salary Expenses Questionable,Vehicle Operations Average Hourly Wage,Vehicle Operations Average Hourly Wage Questionable,Vehicle Maintenance Average Hourly Wage,Vehicle Maintenance Average Hourly Wage Questionable,Facility Maintenance Average Hourly Wage,Facility Maintenance Average Hourly Wage Questionable,General Administration Average Hourly Wage,General Administration Average Hourly Wage Questionable,Total Operating Average Hourly Wage,Total Operating Average Hourly Wage Questionable,Any data questionable?
Riverside Transit Agency,Riverside,CA,9031,90031,Independent Public Agency or Authority of Transit Service,Full Reporter,1932666,275,CB,DO,15,45558,,20535,,1500,,5851,,0,,73444,,24,,11.2,,0.8,,4.55,,0,,40.55,,862943,,628343,,31028,,224986,,1747300,,18.9416,,30.5986,,0.6811,,38.4526,,23.7909,,No
Kitsap Transit,Bremerton,WA,20,20,Independent Public Agency or Authority of Transit Service,Full Reporter,198979,262,DR,DO,90,135836,,9318,,10103,,25138,,2620,,183015,,83,,5.57,,5.58,,15.63,,1.49,,111.27,,4300358,,352191,,319905,,1196036,,6168490,,31.6585,,37.7968,,2.3551,,47.5788,,33.7048,,No
Kitsap Transit,Bremerton,WA,20,20,Independent Public Agency or Authority of Transit Service,Full Reporter,198979,262,MB,DO,90,211993,,57985,,15310,,38097,,3970,,327355,,179,,34.71,,8.46,,23.7,,2.26,,248.13,,6625503,,2191635,,482604,,1812590,,11112332,,31.2534,,37.7966,,2.2765,,47.5783,,33.9458,,No
Kitsap Transit,Bremerton,WA,20,20,Independent Public Agency or Authority of Transit Service,Full Reporter,198979,262,VP,DO,78,3947,,2878,,669,,1664,,173,,9331,,3,,1.72,,0.37,,1.04,,0.1,,6.23,,210296,,108802,,21081,,79175,,419354,,53.28,,37.8047,,5.341,,47.5811,,44.942,,No
Metropolitan Transit Authority,Nashville,TN,4004,40004,Independent Public Agency or Authority of Transit Service,Full Reporter,969587,262,DR,DO,63,304948,,53406,,31007,,22800,,0,,412161,,123,,24,,14.5,,14.5,,0,,176,,5132471,,1367627,,535565,,923554,,7959217,,16.8306,,25.6081,,1.7563,,40.5068,,19.3109,,No
Metropolitan Transit Authority,Nashville,TN,4004,40004,Independent Public Agency or Authority of Transit Service,Full Reporter,969587,262,CB,DO,23,35187,,6267,,3639,,2676,,0,,47769,,18.2,,2.8,,1.7,,1.6,,0,,24.3,,838909,,160553,,62876,,108426,,1170764,,23.8414,,25.6188,,1.7869,,40.5179,,24.5089,,No
Metropolitan Transit Authority,Nashville,TN,4004,40004,Independent Public Agency or Authority of Transit Service,Full Reporter,969587,262,MB,DO,126,649691,,115716,,67183,,49403,,0,,881993,,335.2,,51.2,,31.4,,29.1,,0,,446.9,,15482279,,2963040,,1160394,,2001037,,21606750,,23.8302,,25.6061,,1.7861,,40.5044,,24.4976,,No
Kitsap Transit,Bremerton,WA,20,20,Independent Public Agency or Authority of Transit Service,Full Reporter,198979,262,FB,DO,1,8932,,2253,,50,,3497,,0,,14732,,10,,2.8,,0.2,,2,,0,,15,,321873,,114927,,3600,,116070,,556470,,36.0359,,51.0107,,0.403,,33.1913,,37.7729,,No
RTS - Monroe County,Rochester,NY,2113,20113,Independent Public Agency or Authority of Transit Service,Full Reporter,720572,258,DR,DO,45,163684,,19132,,0,,18449,,0,,201265,,93,,10,,0,,10,,0,,113,,3198738,,412297,,0,,850569,,4461604,,19.5422,,21.5501,,0,,46.1038,,22.1678,,No
RTS - Monroe County,Rochester,NY,2113,20113,Independent Public Agency or Authority of Transit Service,Full Reporter,720572,258,MB,DO,213,703848,,204753,,38991,,145812,,0,,1093404,,400,,107,,19,,79,,0,,605,,20370525,,6421612,,730289,,5213853,,32736279,,28.9417,,31.3627,,1.0376,,35.7574,,29.9398,,No
Metro Transit System,Madison,WI,5005,50005,"City, County or Local Government Unit or Department of Transportation",Full Reporter,401661,254,MB,DO,182,572742,,128661,,17234,,63427,,0,,782064,,335,,66.7,,10,,40.6,,0,,452.3,,16418821,,3772954,,578829,,2265177,,23035781,,28.667,,29.3248,,1.0106,,35.7131,,29.4551,,No
Metro Transit System,Madison,WI,5005,50005,"City, County or Local Government Unit or Department of Transportation",Full Reporter,401661,254,DR,DO,12,36558,,2626,,87,,2165,,0,,41436,,20,,1.3,,0.05,,1.4,,0,,22.75,,1038799,,76999,,2923,,76354,,1195075,,28.4151,,29.3218,,0.08,,35.2674,,28.8415,,No
"Miami Lakes - vRide, Inc.",Miami Lakes,FL,4152,40152,Private Provider Reporting on Behalf of a Public Entity,Full Reporter,5502379,250,VP,DO,250,0,,0,,0,,3663,W,0,,3663,W,0,,0,,0,,5,,0,,5,,0,,0,,0,,417981,,417981,,,,,,,,114.1089,W,114.1089,,Yes
Omnitrans,San Bernardino,CA,9029,90029,Independent Public Agency or Authority of Transit Service,Full Reporter,1932666,250,MB,DO,147,835437,,162665,,39770,,139627,,12351,,1189850,,450,,98,,23,,88,,1,,660,,20503106,,4106740,,1212793,,3605778,,29428417,,24.5418,,25.2466,,1.4517,,25.8244,,24.7329,,No
Jacksonville Transportation Authority,Jacksonville,FL,4040,40040,Independent Public Agency or Authority of Transit Service,Full Reporter,1065219,248,MG,DO,5,24419,,24751,,12815,,20762,,0,,82747,,13,,12,,6,,11,,0,,42,,694288,,812465,,427567,,412472,,2346792,,28.4323,,32.8255,,17.5096,,19.8667,,28.3611,,No
Jacksonville Transportation Authority,Jacksonville,FL,4040,40040,Independent Public Agency or Authority of Transit Service,Full Reporter,1065219,248,MB,DO,153,842892,,239823,,42048,,279840,,0,,1404603,,417,,126,,20,,159,,0,,722,,19360828,,4836109,,910636,,8269699,,33377272,,22.9695,,20.1653,,1.0804,,29.5515,,23.7628,,No
Central Pennsylvania Transportation Authority,York,PA,3027,30027,Independent Public Agency or Authority of Transit Service,Full Reporter,232045,246,CB,DO,9,25662,,1648,,180,,1465,,0,,28955,,15.48,,1.2,,0.12,,0.9,,0,,17.7,,294067,,65712,,2687,,46604,,409070,,11.4592,,39.8738,,0.1047,,31.8116,,14.1278,,No
Central Pennsylvania Transportation Authority,York,PA,3027,30027,Independent Public Agency or Authority of Transit Service,Full Reporter,232045,246,MB,DO,35,161760,,13350,,1744,,14169,,0,,191023,,110.12,,7.52,,1.22,,9.7,,0,,128.56,,3256179,,565742,,25972,,450502,,4298395,,20.1297,,42.3777,,0.1606,,31.7949,,22.502,,No
Central Pennsylvania Transportation Authority,York,PA,3027,30027,Independent Public Agency or Authority of Transit Service,Full Reporter,232045,246,DR,DO,165,369999,,7290,,1819,,13361,,0,,392469,,310.4,,5.6,,1.66,,10.4,,0,,328.06,,5344384,,308904,,21120,,350208,,6024616,,14.4443,,42.3737,,0.0571,,26.2112,,15.3506,,No
Mass Transportation Authority ,Flint,MI,5032,50032,Independent Public Agency or Authority of Transit Service,Full Reporter,356218,237,MB,DO,99,295253,,86624,,8425,,39336,,2458,,432096,,178,,44.2,,6,,23.3,,1.2,,252.7,,4817238,,2066921,,132684,,1137733,,8154576,,16.3156,,23.8608,,0.4494,,28.9235,,18.8721,,No
Mass Transportation Authority ,Flint,MI,5032,50032,Independent Public Agency or Authority of Transit Service,Full Reporter,356218,237,DR,DO,136,445309,,11411,,8495,,42613,,2662,,510490,,303,,5.8,,6,,25.2,,1.3,,341.3,,5984432,,271224,,134687,,1231561,,7621904,,13.4388,,23.7686,,0.3025,,28.9011,,14.9306,,No
Interurban Transit Partnership,Grand Rapids,MI,5033,50033,Independent Public Agency or Authority of Transit Service,Full Reporter,569935,234,RB,DO,8,33449,,3454,,1206,,4225,,0,,42334,,17,,1.6,,0.7,,2.1,,0,,21.4,,767948,,96875,,23152,,80070,,968045,,22.9588,,28.0472,,0.6922,,18.9515,,22.8668,,No
Interurban Transit Partnership,Grand Rapids,MI,5033,50033,Independent Public Agency or Authority of Transit Service,Full Reporter,569935,234,VP,DO,26,0,,0,,1000,,3521,,0,,4521,,0,,0,,0.6,,1.7,,0,,2.3,,0,,0,,19293,,60638,,79931,,,,,,,,17.2218,,17.6799,,No
Interurban Transit Partnership,Grand Rapids,MI,5033,50033,Independent Public Agency or Authority of Transit Service,Full Reporter,569935,234,MB,DO,126,537101,,54432,,17893,,65436,,0,,674862,,276,,25.4,,9.7,,32.2,,0,,343.3,,12031193,,1517702,,327989,,1254433,,15131317,,22.4002,,27.8825,,0.6107,,19.1704,,22.4213,,No
Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Hartford,CT,1048,10048,State Government Unit or Department of Transportation,Full Reporter,924859,233,RB,DO,9,75558,,21710,,2537,,6562,,0,,106367,,36,,10,,1.5,,5,,0,,52.5,,2240681,,677327,,86887,,210424,,3215319,,29.6551,,31.1988,,1.1499,,32.0671,,30.2285,,No
Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Hartford,CT,1048,10048,State Government Unit or Department of Transportation,Full Reporter,924859,233,MB,DO,224,953841,,274065,,32022,,82835,,0,,1342763,,453,,127,,17,,54,,0,,651,,27635074,,8353700,,1071607,,2595229,,39655610,,28.9724,,30.4807,,1.1235,,31.3301,,29.5328,,No
Des Moines Area Regional Transit Authority,Des Moines,IA,7010,70010,Independent Public Agency or Authority of Transit Service,Full Reporter,450070,229,VP,DO,94,3003,,0,,568,,4621,,0,,8192,,2,,0,,1.37,,2.86,,0,,6.23,,80652,,0,,21175,,156194,,258021,,26.8571,,,,7.0513,,33.8009,,31.4967,,No
Sacramento Regional Transit District,Sacramento,CA,9019,90019,Independent Public Agency or Authority of Transit Service,Full Reporter,1723634,229,LR,DO,69,285663,,134564,,106351,,101835,,18656,,647069,,149,,73,,54,,52,,10,,338,,8777051,,4750067,,3978790,,4851572,,22357480,,30.7252,,35.2997,,13.9283,,47.6415,,34.5519,,No
Des Moines Area Regional Transit Authority,Des Moines,IA,7010,70010,Independent Public Agency or Authority of Transit Service,Full Reporter,450070,229,DR,DO,21,88374,,9102,,2178,,5465,,0,,105119,,50.52,,4.51,,2.62,,3.38,,0,,61.03,,1208738,,130649,,63194,,184706,,1587287,,13.6775,,14.3539,,0.7151,,33.798,,15.0999,,No
Sacramento Regional Transit District,Sacramento,CA,9019,90019,Independent Public Agency or Authority of Transit Service,Full Reporter,1723634,229,DR,DO,2,5167,,880,,131,,918,,0,,7096,,2.7,,0.52,,0.08,,0.5,,0,,3.8,,80915,,27103,,4470,,40125,,152613,,15.66,,30.7989,,0.8651,,43.7092,,21.5069,,No
Sacramento Regional Transit District,Sacramento,CA,9019,90019,Independent Public Agency or Authority of Transit Service,Full Reporter,1723634,229,MB,DO,158,808649,,142743,,21290,,132013,,12437,,1117132,,423.3,,84.48,,12.92,,66.4,,7,,594.1,,23359741,,4398397,,725455,,5771905,,34255498,,28.8874,,30.8134,,0.8971,,43.7222,,30.6638,,No
Des Moines Area Regional Transit Authority,Des Moines,IA,7010,70010,Independent Public Agency or Authority of Transit Service,Full Reporter,450070,229,MB,DO,112,279897,,74972,,10805,,55028,,0,,420702,,134.48,,37.49,,13.01,,31.76,,0,,216.74,,6940082,,1817084,,314968,,1608726,,10680860,,24.7951,,24.2368,,1.1253,,29.2347,,25.3882,,No
"Academy Lines, Inc.",Hoboken,NJ,2122,20122,Private-For-Profit Corporation,Full Reporter,18351295,225,CB,DO,225,395000,,104094,,19000,,42000,,0,,560094,,192,,52,,9,,20,,0,,273,,11378569,,2023615,,474646,,1250866,,15127696,,28.8065,,19.4403,,1.2016,,29.7825,,27.0092,,No
Toledo Area Regional Transit Authority,Toledo,OH,5022,50022,Independent Public Agency or Authority of Transit Service,Full Reporter,507643,214,MB,DO,99,331942,,61184,,6504,,20800,,1152,,421582,,149.5,,34,,5,,13.56,,0.67,,202.73,,7160449,,1478289,,122382,,605629,,9366749,,21.5714,,24.1614,,0.3687,,29.1168,,22.2181,,No
Toledo Area Regional Transit Authority,Toledo,OH,5022,50022,Independent Public Agency or Authority of Transit Service,Full Reporter,507643,214,DR,DO,61,168291,,14290,,4082,,8960,,598,,196221,,90.5,,8,,3,,5.4,,0.34,,107.24,,2385532,,376674,,75569,,252183,,3089958,,14.175,,26.3593,,0.449,,28.1454,,15.7473,,No
Central New York Regional Transportation Authority,Syracuse,NY,2018,20018,Independent Public Agency or Authority of Transit Service,Full Reporter,412317,213,DR,DO,29,84747,,20560,,3505,,19946,,0,,128758,,270,,11,,2,,11,,0,,294,,1804896,,524967,,82513,,470986,,2883362,,21.2975,,25.5334,,0.9736,,23.6131,,22.3937,,No
Central New York Regional Transportation Authority,Syracuse,NY,2018,20018,Independent Public Agency or Authority of Transit Service,Full Reporter,412317,213,MB,DO,161,672668,,190677,,45148,,45438,,0,,953931,,435,,104,,29,,33,,0,,601,,14825811,,4722969,,1065661,,1476920,,22091361,,22.0403,,24.7695,,1.5842,,32.5041,,23.1582,,No
METRO Regional Transit Authority ,Akron,OH,5010,50010,Independent Public Agency or Authority of Transit Service,Full Reporter,569499,212,DR,DO,90,124198,,16547,,1290,,29845,,0,,171880,,59.5,,9.1,,0.8,,16.5,,0,,85.9,,3159806,,506656,,27589,,665674,,4359725,,25.4417,,30.6192,,0.2221,,22.3044,,25.3649,,No
METRO Regional Transit Authority ,Akron,OH,5010,50010,Independent Public Agency or Authority of Transit Service,Full Reporter,569499,212,MB,DO,122,480749,,103454,,8411,,57527,,0,,650141,,228.5,,52,,5.2,,31.6,,0,,317.3,,13372975,,3020733,,179867,,1951277,,18524852,,27.817,,29.1988,,0.3741,,33.9193,,28.4936,,No
Fort Worth Transportation Authority,Fort Worth,TX,6007,60007,Independent Public Agency or Authority of Transit Service,Full Reporter,5121892,209,DR,DO,35,105877,,33325,,6248,,20828,,0,,166278,,52,,16,,3,,10,,0,,81,,3089155,,724129,,153951,,412919,,4380154,,29.1768,,21.7293,,1.4541,,19.8252,,26.3424,,No
Indianapolis and Marion County Public Transportation,Indianapolis,IN,5050,50050,Independent Public Agency or Authority of Transit Service,Full Reporter,1487483,209,MB,DO,138,781779,,167641,,39593,,121686,,0,,1110699,,443,,84,,20,,78,,0,,625,,18043090,,4621184,,577022,,3735535,,26976831,,23.0795,,27.566,,0.7381,,30.6981,,24.2882,,No
Fort Worth Transportation Authority,Fort Worth,TX,6007,60007,Independent Public Agency or Authority of Transit Service,Full Reporter,5121892,209,MB,DO,123,513000,,133620,,74760,,203040,,0,,924420,,291,,76,,42,,115,,0,,524,,14316390,,2514864,,1219774,,3271615,,21322643,,27.9072,,18.821,,2.3777,,16.1132,,23.066,,No
Enterprise Rideshare,Atlanta,GA,4203,40203,Private-For-Profit Corporation,Full Reporter,4515419,205,VP,DO,205,0,,0,,0,,11538,,0,,11538,,0,,0,,0,,14,,0,,14,,0,,0,,0,,139321,,139321,,,,,,,,12.075,,12.075,,No
Blue Water Area Transportation Commission,Port Huron,MI,5148,50148,Independent Public Agency or Authority of Transit Service,Full Reporter,87106,202,MB,DO,9,44636,,11174,,2931,,3667,,0,,62408,,32.46,,9.57,,1.74,,2.03,,0,,45.8,,820581,,213245,,55936,,177984,,1267746,,18.3838,,19.084,,1.2532,,48.5367,,20.3138,,No
Blue Water Area Transportation Commission,Port Huron,MI,5148,50148,Independent Public Agency or Authority of Transit Service,Full Reporter,87106,202,DR,DO,44,104412,,26138,,6858,,8579,,0,,145987,,75.93,,22.37,,4.07,,4.75,,0,,107.12,,1919501,,498823,,130845,,416340,,2965509,,18.3839,,19.0842,,1.2532,,48.5301,,20.3135,,No
Blue Water Area Transportation Commission,Port Huron,MI,5148,50148,Independent Public Agency or Authority of Transit Service,Full Reporter,87106,202,CB,DO,3,4975,,1245,,327,,408,,0,,6955,,3.63,,1.07,,0.19,,0.23,,0,,5.12,,91459,,23767,,6234,,19837,,141297,,18.3837,,19.09,,1.2531,,48.6201,,20.3159,,No
Mass Transit Department - City of El Paso,El Paso,TX,6006,60006,"City, County or Local Government Unit or Department of Transportation",Full Reporter,803086,202,MB,DO,140,930490,,242481,,35440,,58339,,0,,1266750,,455.75,,129,,19,,40,,0,,643.75,,18034301,,4943919,,709487,,2160602,,25848309,,19.3815,,20.3889,,0.7625,,37.0353,,20.4052,,No
Hillsborough Area Regional Transit Authority,Tampa,FL,4041,40041,Independent Public Agency or Authority of Transit Service,Full Reporter,2441770,201,DR,DO,36,157336,,3982,,11187,,27576,,0,,200081,,86,,2,,6,,17,,0,,111,,2902667,,85757,,201593,,714859,,3904876,,18.4488,,21.5362,,1.2813,,25.9232,,19.5165,,No
Hillsborough Area Regional Transit Authority,Tampa,FL,4041,40041,Independent Public Agency or Authority of Transit Service,Full Reporter,2441770,201,SR,DO,3,17797,,14806,,7743,,887,,0,,41233,,10,,8,,4,,35,,0,,57,,488914,,337106,,137789,,24331,,988140,,27.4717,,22.7682,,7.7423,,27.4307,,23.9648,,No
Hillsborough Area Regional Transit Authority,Tampa,FL,4041,40041,Independent Public Agency or Authority of Transit Service,Full Reporter,2441770,201,MB,DO,162,930732,,177109,,113729,,154188,,31112,,1406870,,526,,103,,59,,101,,20,,809,,18361528,,4081136,,1994338,,6961069,,31398071,,19.7281,,23.0431,,2.1428,,45.1466,,22.3177,,No
Long Beach Transit,Long Beach,CA,9023,90023,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,12150996,199,MB,DO,189,995940,,226035,,56001,,149692,,0,,1427668,,525,,117,,29,,81,,0,,752,,26532595,,6593643,,1417898,,5078469,,39622605,,26.6408,,29.1709,,1.4237,,33.9261,,27.7534,,No
City of Albuquerque Transit Department,Albuquerque,NM,6019,60019,"City, County or Local Government Unit or Department of Transportation",Full Reporter,741318,193,DR,DO,62,187308,,13541,,5268,,17641,,0,,223758,,91.2,,8,,2.6,,9.2,,0,,111,,3230729,,321584,,101729,,461655,,4115697,,17.2482,,23.7489,,0.5431,,26.1694,,18.3935,,No
City of Albuquerque Transit Department,Albuquerque,NM,6019,60019,"City, County or Local Government Unit or Department of Transportation",Full Reporter,741318,193,MB,DO,131,601135,,157450,,21073,,70566,,0,,850224,,244.8,,93,,10.4,,36.8,,0,,385,,11094686,,3560392,,410594,,1871651,,16937323,,18.4562,,22.6128,,0.683,,26.5234,,19.921,,No
South Central Transit Authority,Lancaster,PA,,30202,Independent Public Agency or Authority of Transit Service,Full Reporter,402004,192,MB,DO,76,286381,,50785,,6640,,16192,,3194,,363192,,167.75,,29,,3.4,,10.7,,1.8,,212.65,,6825447,,985880,,229289,,585328,,8625944,,23.8334,,19.4128,,0.8006,,36.1492,,23.7504,,No
South Central Transit Authority,Lancaster,PA,,30202,Independent Public Agency or Authority of Transit Service,Full Reporter,402004,192,DR,DO,34,76588,,13604,,1543,,10877,,355,,102967,,41,,7.3,,0.9,,6.63,,0.2,,56.03,,1418296,,305855,,36341,,152826,,1913318,,18.5185,,22.4827,,0.4745,,14.0504,,18.5819,,No
"Hudson Transit Lines, Inc.",Mahwah,NJ,2126,20126,Private-For-Profit Corporation,Full Reporter,18351295,184,CB,DO,184,468864,,102036,,0,,55822,,0,,626722,,238,,51,,0,,30,,0,,319,,14533232,,2847818,,0,,1294767,,18675817,,30.9967,,27.9099,,0,,23.1946,,29.7992,,No
Clark County Public Transportation Benefit Area Authority,Vancouver,WA,24,24,Independent Public Agency or Authority of Transit Service,Full Reporter,1849898,181,MB,DO,56,337346,,62489,,12364,,70128,,1015,,483342,,177.34,,32.99,,7.71,,41.45,,0,,259.49,,9669439,,1848071,,310247,,2329180,,14156937,,28.6633,,29.5743,,0.9197,,33.2133,,29.2897,,No
Clark County Public Transportation Benefit Area Authority,Vancouver,WA,24,24,Independent Public Agency or Authority of Transit Service,Full Reporter,1849898,181,DR,DO,53,159650,,10064,,4633,,26790,,0,,201137,,88.11,,6.68,,2.89,,15.85,,0,,113.53,,3857868,,333171,,121831,,935603,,5248473,,24.1645,,33.1052,,0.7631,,34.9236,,26.094,,No
Clark County Public Transportation Benefit Area Authority,Vancouver,WA,24,24,Independent Public Agency or Authority of Transit Service,Full Reporter,1849898,181,CB,DO,43,67423,,12470,,2469,,14013,,0,,96375,,35.43,,6.59,,1.54,,8.28,,0,,51.84,,1931713,,369199,,61980,,465312,,2828204,,28.6507,,29.607,,0.9193,,33.2057,,29.3458,,No
Clark County Public Transportation Benefit Area Authority,Vancouver,WA,24,24,Independent Public Agency or Authority of Transit Service,Full Reporter,1849898,181,VP,DO,29,0,,4,,112,,3605,,0,,3721,,0,,0,,0.07,,2.08,,0,,2.15,,0,,126,,2969,,114899,,117994,,,,31.5,,,,31.8721,,31.7103,,No
Greater Dayton Regional Transit Authority,Dayton,OH,5017,50017,Independent Public Agency or Authority of Transit Service,Full Reporter,724091,179,MB,DO,98,612549,,112945,,22425,,79041,,3437,,830397,,291,,55,,13.3,,38.5,,1.8,,399.6,,13636565,,3032345,,602688,,2122110,,19393708,,22.262,,26.848,,0.9839,,26.8482,,23.3547,,No
Greater Dayton Regional Transit Authority,Dayton,OH,5017,50017,Independent Public Agency or Authority of Transit Service,Full Reporter,724091,179,DR,DO,55,245280,,46124,,12342,,45443,,1982,,351171,,124.7,,22,,7,,22,,1.2,,176.9,,3858238,,880418,,326422,,1190980,,6256058,,15.7299,,19.0881,,1.3308,,26.2082,,17.8148,,No
Greater Dayton Regional Transit Authority,Dayton,OH,5017,50017,Independent Public Agency or Authority of Transit Service,Full Reporter,724091,179,TB,DO,26,101506,,34577,,33153,,23187,,1421,,193844,,46.1,,17.5,,17.1,,13.1,,0.9,,94.7,,2225907,,808717,,678568,,564993,,4278185,,21.9288,,23.3889,,6.685,,24.3668,,22.0702,,No
Lehigh and Northampton Transportation Authority,Allentown,PA,3010,30010,Independent Public Agency or Authority of Transit Service,Full Reporter,664651,178,MB,DO,72,310899,,42838,,3771,,32040,,0,,389548,,156,,30,,2,,20,,0,,208,,7722227,,1213856,,107268,,531821,,9575172,,24.8384,,28.336,,0.345,,16.5987,,24.5802,,No
Capital Area Transportation Authority,Lansing,MI,5036,50036,Independent Public Agency or Authority of Transit Service,Full Reporter,313532,171,MB,DO,79,374542,,51733,,8855,,38538,,0,,473668,,196,,27,,6,,23,,0,,252,,10856986,,1689179,,249325,,1125374,,13920864,,28.9874,,32.6519,,0.6657,,29.2017,,29.3895,,No
Capital Area Transportation Authority,Lansing,MI,5036,50036,Independent Public Agency or Authority of Transit Service,Full Reporter,313532,171,DR,DO,29,97144,,13042,,2214,,10264,,0,,122664,,51,,7,,2,,6,,0,,66,,2266105,,337152,,46748,,299732,,2949737,,23.3273,,25.8512,,0.4812,,29.2023,,24.0473,,No
Municipality of Anchorage - Public Transportation Department,Anchorage,AK,12,12,"City, County or Local Government Unit or Department of Transportation",Full Reporter,251243,170,MB,DO,43,189302,,56582,,6230,,35480,,1402,,288996,,104,,34,,4,,22,,1,,165,,6225880,,2010114,,273699,,828807,,9338500,,32.8886,,35.5257,,1.4458,,23.3598,,32.3136,,No
Santa Monica's Big Blue Bus,Santa Monica,CA,9008,90008,"City, County or Local Government Unit or Department of Transportation",Full Reporter,12150996,168,MB,DO,162,739980,,133733,,10982,,60707,,11260,,956662,,357.6,,79,,9,,26.3,,6.26,,478.16,,25085223,,4852358,,437483,,2757025,,33132089,,33.8999,,36.2839,,0.5912,,45.4153,,34.633,,No
Mountain Metropolitan Transit,Colorado Springs,CO,8005,80005,"City, County or Local Government Unit or Department of Transportation",Full Reporter,559409,165,VP,DO,24,0,,2144,,674,,5513,,0,,8331,,0,,1.33,,0.33,,3.32,,0,,4.98,,0,,53607,,28854,,173011,,255472,,,,25.0033,,,,31.3824,,30.6652,,No
Gainesville Regional Transit System,Gainesville,FL,4030,40030,"City, County or Local Government Unit or Department of Transportation",Full Reporter,187781,158,MB,DO,111,403473,,68249,,7827,,86953,,0,,566502,,210,,42,,5,,51,,0,,308,,8269703,,1425210,,198711,,1941917,,11835541,,20.4963,,20.8825,,0.4925,,22.3329,,20.8923,,No
Ann Arbor Area Transportation Authority,Ann Arbor,MI,5040,50040,Independent Public Agency or Authority of Transit Service,Full Reporter,306022,153,MB,DO,84,409206,,77045,,9878,,65558,,0,,561687,,224.5,,44.5,,5.94,,34.8,,0,,309.74,,9804250,,2152919,,260715,,2123164,,14341048,,23.9592,,27.9437,,0.6371,,32.386,,25.5321,,No
Ann Arbor Area Transportation Authority,Ann Arbor,MI,5040,50040,Independent Public Agency or Authority of Transit Service,Full Reporter,306022,153,CB,DO,2,3455,,788,,109,,363,,0,,4715,,2.5,,0.5,,0.06,,0.2,,0,,3.26,,91637,,16319,,2755,,12951,,123662,,26.523,,20.7094,,0.7974,,35.6777,,26.2274,,No
"Golden Gate Bridge, Highway and Transportation District",San Francisco,CA,9016,90016,Independent Public Agency or Authority of Transit Service,Full Reporter,3281212,146,FB,DO,7,194628,,16530,,6114,,67742,,1092,,286106,,135,,12.5,,2.5,,33.5,,0.5,,184,,6373494,,826510,,256001,,2547805,,10003810,,32.7471,,50.0006,,1.3153,,37.6104,,34.9654,,No
"Golden Gate Bridge, Highway and Transportation District",San Francisco,CA,9016,90016,Independent Public Agency or Authority of Transit Service,Full Reporter,3281212,146,MB,DO,124,451533,,73625,,6524,,133067,,0,,664749,,270,,52,,3,,66,,0,,391,,18612512,,4355776,,305324,,4879497,,28153109,,41.2207,,59.1616,,0.6762,,36.6695,,42.3515,,No
Research Triangle Regional Public Transportation Authority,Research Triangle Park,NC,4108,40108,Independent Public Agency or Authority of Transit Service,Full Reporter,347602,144,MB,DO,57,191561,,39356,,0,,31293,,0,,262210,,112,,18,,0,,22.5,,0,,152.5,,4121682,,1010937,,0,,1446164,,6578783,,21.5163,,25.687,,0,,46.2137,,25.0897,,No
Research Triangle Regional Public Transportation Authority,Research Triangle Park,NC,4108,40108,Independent Public Agency or Authority of Transit Service,Full Reporter,347602,144,VP,DO,53,5120,,8626,,0,,26078,,0,,39824,,3,,4.5,,0,,15.5,,0,,23,,176417,,186225,,0,,748016,,1110658,,34.4564,,21.5888,,0,,28.6838,,27.8892,,No
Madison County Transit District,Granite City,IL,5146,50146,Independent Public Agency or Authority of Transit Service,Full Reporter,2150706,144,VP,DO,51,0,,1867,,0,,6333,,0,,8200,,0,,1,,0,,2.6,,0,,3.6,,0,,53432,,0,,182725,,236157,,,,28.6192,,,,28.8528,,28.7996,,No
Research Triangle Regional Public Transportation Authority,Research Triangle Park,NC,4108,40108,Independent Public Agency or Authority of Transit Service,Full Reporter,347602,144,DR,DO,14,53358,,5930,,0,,9837,,0,,69125,,23,,3,,0,,6.5,,0,,32.5,,1142430,,133018,,0,,299206,,1574654,,21.4107,,22.4314,,0,,30.4164,,22.7798,,No
Space Coast Area Transit,Cocoa,FL,4063,40063,"City, County or Local Government Unit or Department of Transportation",Full Reporter,452791,142,MB,DO,31,144631,,0,,0,,9691,,0,,154322,,64,,0,,0,,5,,0,,69,,2196070,,0,,0,,244223,,2440293,,15.184,,,,0,,25.201,,15.813,,No
