State,Agency,AgencyNTDID,AgencyID,OrgType,ReporterType,UZA Size,WholeAgencyVOMsSize,Mode,EmployType,VOMs,vehicleOperationsHours,VehicleMaintHours,nonVehicleMaintHours,GeneralAdminHours,TotalOperatingHours,CapitalHours,TotalEmployeeHours,VehicleOperationsCount,VehicleMaintCount,NonVehicleCount,GeneralAdminCount,TotalOperatingCount,CapitalCount,TotalEmployeeCount 
FL,"Tri-County Community Council, Inc.(TCCC)",40148,4148,Non-Profit,Full Reporter: Operating,"Under 200,000",25-49,DR,Full Time,30,"15,994",,,40,"16,034",,"16,034",24.0,,,1.0,25.0,,25.0
FL,"Tri-County Community Council, Inc.(TCCC)",40148,4148,Non-Profit,Full Reporter: Operating,"Under 200,000",25-49,DR,Part Time,30,"2,026",,,,"2,026",,"2,026",6.0,,,,6.0,,6.0
FL,"Tri-County Community Council, Inc.(TCCC)",40148,4148,Non-Profit,Full Reporter: Operating,"Under 200,000",25-49,Total,,30,"18,020",,,40,"18,060",,"18,060",30.0,,,1.0,31.0,,31.0
GA,Albany Transit System(ATS),40021,4021,City,Full Reporter: Operating,"Under 200,000",10-24,DR,Full Time,4,"13,645","1,609","1,093","1,507","17,854",,"17,854",5.3,0.8,1.0,1.0,8.1,,8.1
GA,Albany Transit System(ATS),40021,4021,City,Full Reporter: Operating,"Under 200,000",10-24,DR,Part Time,4,577,452,,,"1,029",,"1,029",1.1,0.1,,,1.2,,1.2
GA,Albany Transit System(ATS),40021,4021,City,Full Reporter: Operating,"Under 200,000",10-24,MB,Full Time,8,"39,005","6,441","4,372","6,028","55,846",,"55,846",17.4,2.7,2.7,3.3,26.1,,26.1
GA,Albany Transit System(ATS),40021,4021,City,Full Reporter: Operating,"Under 200,000",10-24,MB,Part Time,8,"17,887","1,809",,,"19,696",,"19,696",9.2,0.8,,,10.0,,10.0
GA,Albany Transit System(ATS),40021,4021,City,Full Reporter: Operating,"Under 200,000",10-24,Total,,12,"71,114","10,311","5,465","7,535","94,425",,"94,425",33.0,4.3,3.7,4.3,45.3,,45.3
GA,Athens Transit System(ATS),40047,4047,City,Full Reporter: Operating,"Under 200,000",25-49,DR,Full Time,3,"9,870","1,698",975,"1,344","13,887",,"13,887",5.0,0.9,0.5,0.7,7.1,,7.1
GA,Athens Transit System(ATS),40047,4047,City,Full Reporter: Operating,"Under 200,000",25-49,DR,Part Time,3,"1,160",,201,217,"1,578",,"1,578",2.0,,0.3,1.0,3.3,,3.3
GA,Athens Transit System(ATS),40047,4047,City,Full Reporter: Operating,"Under 200,000",25-49,MB,Full Time,22,"76,512","14,064","5,320","6,983","102,879",,"102,879",43.0,7.9,3.0,4.0,57.9,,57.9
GA,Athens Transit System(ATS),40047,4047,City,Full Reporter: Operating,"Under 200,000",25-49,MB,Part Time,22,"14,482",988,414,"1,241","17,125",,"17,125",26.0,2.0,0.7,1.0,29.7,,29.7
GA,Athens Transit System(ATS),40047,4047,City,Full Reporter: Operating,"Under 200,000",25-49,Total,,25,"102,024","16,750","6,910","9,785","135,469",,"135,469",76.0,10.8,4.5,6.7,98.0,,98.0
GA,Chatham Area Transit Authority(CAT),40025,4025,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,DR,Full Time,20,"67,983","3,957","1,996","8,037","81,973",,"81,973",34.0,2.0,1.0,4.0,41.0,,41.0
GA,Chatham Area Transit Authority(CAT),40025,4025,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,DR,Part Time,20,"5,155",,,,"5,155",,"5,155",4.0,,,,4.0,,4.0
GA,Chatham Area Transit Authority(CAT),40025,4025,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,FB,Full Time,1,"7,793","3,956",,"1,918","13,667",,"13,667",4.0,2.0,,1.0,7.0,,7.0
GA,Chatham Area Transit Authority(CAT),40025,4025,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,FB,Part Time,1,"10,860",,780,,"11,640",,"11,640",10.0,,1.0,,11.0,,11.0
GA,Chatham Area Transit Authority(CAT),40025,4025,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,MB,Full Time,52,"233,237","24,393","33,668","71,876","363,174",,"363,174",119.0,14.0,17.0,38.0,188.0,,188.0
GA,Chatham Area Transit Authority(CAT),40025,4025,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,MB,Part Time,52,"7,800",,"8,750","8,950","25,500",,"25,500",6.0,,7.0,7.0,20.0,,20.0
GA,Chatham Area Transit Authority(CAT),40025,4025,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,Total,,73,"332,828","32,306","45,194","90,781","501,109",,"501,109",177.0,18.0,26.0,50.0,271.0,,271.0
GA,City of Rome Transit Department(RTD),40058,4058,City,Full Reporter: Operating,"Under 200,000",25-49,DR,Full Time,6,"11,019","1,893","1,527","1,596","16,035",,"16,035",5.0,1.0,1.0,1.0,8.0,,8.0
GA,City of Rome Transit Department(RTD),40058,4058,City,Full Reporter: Operating,"Under 200,000",25-49,DR,Part Time,6,"1,916",,226,,"2,142",,"2,142",2.0,,1.0,,3.0,,3.0
GA,City of Rome Transit Department(RTD),40058,4058,City,Full Reporter: Operating,"Under 200,000",25-49,MB,Full Time,29,"44,905","13,504","1,818","13,408","73,635",,"73,635",23.0,8.0,1.0,7.0,39.0,,39.0
GA,City of Rome Transit Department(RTD),40058,4058,City,Full Reporter: Operating,"Under 200,000",25-49,MB,Part Time,29,"2,786","1,673",,"1,510","5,969",,"5,969",3.0,3.0,,1.0,7.0,,7.0
GA,City of Rome Transit Department(RTD),40058,4058,City,Full Reporter: Operating,"Under 200,000",25-49,Total,,35,"60,626","17,070","3,571","16,514","97,781",,"97,781",33.0,12.0,3.0,9.0,57.0,,57.0
GA,Douglas County Rideshare(Rideshare),40082,4082,City,Full Reporter: Operating,Over 1 million,50-99,VP,Full Time,59,,"1,912",,"5,736","7,648",,"7,648",,1.0,,3.0,4.0,,4.0
GA,Douglas County Rideshare(Rideshare),40082,4082,City,Full Reporter: Operating,Over 1 million,50-99,VP,Part Time,59,,,,"2,750","2,750",,"2,750",,,,3.0,3.0,,3.0
GA,Douglas County Rideshare(Rideshare),40082,4082,City,Full Reporter: Operating,Over 1 million,50-99,Total,,59,,"1,912",,"8,486","10,398",,"10,398",,1.0,,6.0,7.0,,7.0
GA,Enterprise Rideshare,40203,4203,For-Profit,Full Reporter: Operating,Over 1 million,50-99,VP,Full Time,90,,,,"6,144","6,144",,"6,144",,,,3.0,3.0,,3.0
GA,Enterprise Rideshare,40203,4203,For-Profit,Full Reporter: Operating,Over 1 million,50-99,Total,,90,,,,"6,144","6,144",,"6,144",,,,3.0,3.0,,3.0
GA,Hall Area Transit(HAT),40144,4144,City,Full Reporter: Operating,"Under 200,000",10-24,DR,Full Time,8,"9,668",158,,981,"10,807",,"10,807",6.0,0.5,,0.5,7.0,,7.0
GA,Hall Area Transit(HAT),40144,4144,City,Full Reporter: Operating,"Under 200,000",10-24,DR,Part Time,8,"8,101",,,,"8,101",,"8,101",3.0,,,,3.0,,3.0
GA,Hall Area Transit(HAT),40144,4144,City,Full Reporter: Operating,"Under 200,000",10-24,MB,Full Time,8,"16,450",872,,"1,047","18,369",,"18,369",9.0,0.5,,0.5,10.0,,10.0
GA,Hall Area Transit(HAT),40144,4144,City,Full Reporter: Operating,"Under 200,000",10-24,MB,Part Time,8,"5,409",,,,"5,409",,"5,409",4.0,,,,4.0,,4.0
GA,Hall Area Transit(HAT),40144,4144,City,Full Reporter: Operating,"Under 200,000",10-24,Total,,16,"39,628","1,030",,"2,028","42,686",,"42,686",22.0,1.0,,1.0,24.0,,24.0
GA,Metropolitan Atlanta Rapid Transit Authority(MARTA),40022,4022,Authority,Full Reporter: Operating,Over 1 million,500-999,DR,Full Time,160,"537,278","125,056","6,450","42,558","711,342",,"711,342",299.4,61.0,3.5,20.8,384.6,,384.6
GA,Metropolitan Atlanta Rapid Transit Authority(MARTA),40022,4022,Authority,Full Reporter: Operating,Over 1 million,500-999,DR,Part Time,160,"70,821",,,,"70,821",,"70,821",50.0,,,,50.0,,50.0
GA,Metropolitan Atlanta Rapid Transit Authority(MARTA),40022,4022,Authority,Full Reporter: Operating,Over 1 million,500-999,HR,Full Time,210,"1,515,721","561,748","924,193","748,427","3,750,089","53,611","3,803,700",645.7,245.7,494.6,359.3,"1,745.3",27.2,"1,772.5"
GA,Metropolitan Atlanta Rapid Transit Authority(MARTA),40022,4022,Authority,Full Reporter: Operating,Over 1 million,500-999,HR,Part Time,210,"65,877",,,,"65,877",,"65,877",47.4,,,,47.4,,47.4
GA,Metropolitan Atlanta Rapid Transit Authority(MARTA),40022,4022,Authority,Full Reporter: Operating,Over 1 million,500-999,MB,Full Time,450,"2,454,279","743,852","206,976","609,585","4,014,692",604,"4,015,296","1,405.9",367.3,111.0,298.0,"2,182.1",0.3,"2,182.4"
GA,Metropolitan Atlanta Rapid Transit Authority(MARTA),40022,4022,Authority,Full Reporter: Operating,Over 1 million,500-999,MB,Part Time,450,"158,604",,,,"158,604",,"158,604",137.6,,,,137.6,,137.6
GA,Metropolitan Atlanta Rapid Transit Authority(MARTA),40022,4022,Authority,Full Reporter: Operating,Over 1 million,500-999,Total,,820,"4,802,580","1,430,656","1,137,619","1,400,570","8,771,425","54,215","8,825,640","2,586.0",674.0,609.0,678.0,"4,547.0",27.5,"4,574.5"
GA,University of Georgia Transit System(UGA),40180,4180,University,Full Reporter: Operating,"Under 200,000",25-49,DR,Full Time,6,"10,257","2,187",,633,"13,077",,"13,077",4.8,1.3,,0.4,6.5,,6.5
GA,University of Georgia Transit System(UGA),40180,4180,University,Full Reporter: Operating,"Under 200,000",25-49,DR,Part Time,6,"13,092",,,196,"13,288",,"13,288",15.8,,,0.2,16.0,,16.0
GA,University of Georgia Transit System(UGA),40180,4180,University,Full Reporter: Operating,"Under 200,000",25-49,MB,Full Time,43,"84,714","18,060",,"5,226","108,000",,"108,000",39.6,11.0,,3.0,53.5,,53.5
GA,University of Georgia Transit System(UGA),40180,4180,University,Full Reporter: Operating,"Under 200,000",25-49,MB,Part Time,43,"108,132",,,"1,619","109,751",,"109,751",130.2,,,1.8,132.0,,132.0
GA,University of Georgia Transit System(UGA),40180,4180,University,Full Reporter: Operating,"Under 200,000",25-49,Total,,49,"216,195","20,247",,"7,674","244,116",,"244,116",190.4,12.3,,5.3,208.0,,208.0
GA,"vRide, Inc. - Atlanta",40153,4153,Contractor,Full Reporter: Operating,Over 1 million,250-499,VP,Full Time,260,,,,"6,696","6,696",,"6,696",,,,6.0,6.0,,6.0
GA,"vRide, Inc. - Atlanta",40153,4153,Contractor,Full Reporter: Operating,Over 1 million,250-499,VP,Part Time,260,,,,351,351,,351,,,,1.0,1.0,,1.0
GA,"vRide, Inc. - Atlanta",40153,4153,Contractor,Full Reporter: Operating,Over 1 million,250-499,Total,,260,,,,"7,047","7,047",,"7,047",,,,7.0,7.0,,7.0
IA,Ames Transit Agency dba CyRide,70041,7041,City,Full Reporter: Operating,"Under 200,000",50-99,DR,Full Time,3,,,,380,380,,380,,,,0.3,0.3,,0.3
IA,Ames Transit Agency dba CyRide,70041,7041,City,Full Reporter: Operating,"Under 200,000",50-99,DR,Part Time,3,"4,498",,19,,"4,517",,"4,517",3.2,,,,3.2,,3.2
IA,Ames Transit Agency dba CyRide,70041,7041,City,Full Reporter: Operating,"Under 200,000",50-99,MB,Full Time,69,"52,961","14,593",638,"14,581","82,773",,"82,773",28.0,7.6,0.4,7.9,43.9,,43.9
IA,Ames Transit Agency dba CyRide,70041,7041,City,Full Reporter: Operating,"Under 200,000",50-99,MB,Part Time,69,"128,543","4,751",773,928,"134,995",,"134,995",118.0,6.9,1.1,1.0,127.0,,127.0
IA,Ames Transit Agency dba CyRide,70041,7041,City,Full Reporter: Operating,"Under 200,000",50-99,Total,,72,"186,002","19,344","1,430","15,889","222,665",,"222,665",149.2,14.5,1.5,9.2,174.4,,174.4
IA,Cedar Rapids Transit(CRT),70008,7008,City,Full Reporter: Operating,"Under 200,000",25-49,MB,Full Time,22,"91,637","7,452","1,896","5,181","106,166",,"106,166",48.0,4.0,1.0,3.0,56.0,,56.0
IA,Cedar Rapids Transit(CRT),70008,7008,City,Full Reporter: Operating,"Under 200,000",25-49,MB,Part Time,22,,,,120,120,,120,,,,1.0,1.0,,1.0
IA,Cedar Rapids Transit(CRT),70008,7008,City,Full Reporter: Operating,"Under 200,000",25-49,Total,,22,"91,637","7,452","1,896","5,301","106,286",,"106,286",48.0,4.0,1.0,4.0,57.0,,57.0
IA,Coralville Transit System(CTS),70030,7030,City,Full Reporter: Operating,"Under 200,000",under 10,MB,Full Time,7,"12,473","3,655",,"1,835","17,963",,"17,963",8.0,2.0,,1.0,11.0,,11.0
IA,Coralville Transit System(CTS),70030,7030,City,Full Reporter: Operating,"Under 200,000",under 10,MB,Part Time,7,"9,412","1,222",,,"10,634",,"10,634",9.0,1.0,,,10.0,,10.0
IA,Coralville Transit System(CTS),70030,7030,City,Full Reporter: Operating,"Under 200,000",under 10,Total,,7,"21,885","4,877",,"1,835","28,597",,"28,597",17.0,3.0,,1.0,21.0,,21.0
IA,Des Moines Area Regional Transit Authority(DART),70010,7010,Authority,Full Reporter: Operating,"200,000 - 1 million",100-249,DR,Full Time,20,"59,972","17,851","1,185","3,359","82,367",,"82,367",25.0,7.0,0.5,1.7,34.2,,34.2
IA,Des Moines Area Regional Transit Authority(DART),70010,7010,Authority,Full Reporter: Operating,"200,000 - 1 million",100-249,DR,Part Time,20,"29,009",,245,144,"29,398",,"29,398",27.0,,0.5,0.1,27.6,,27.6
IA,Des Moines Area Regional Transit Authority(DART),70010,7010,Authority,Full Reporter: Operating,"200,000 - 1 million",100-249,MB,Full Time,108,"233,781","76,103","13,665","56,587","380,136",,"380,136",92.0,30.0,5.4,27.9,155.3,,155.3
IA,Des Moines Area Regional Transit Authority(DART),70010,7010,Authority,Full Reporter: Operating,"200,000 - 1 million",100-249,MB,Part Time,108,"60,612",,"2,827","10,104","73,543",,"73,543",56.0,,5.4,7.8,69.2,,69.2
IA,Des Moines Area Regional Transit Authority(DART),70010,7010,Authority,Full Reporter: Operating,"200,000 - 1 million",100-249,VP,Full Time,94,"4,150",,230,825,"5,205",,"5,205",2.0,,0.1,0.4,2.5,,2.5
IA,Des Moines Area Regional Transit Authority(DART),70010,7010,Authority,Full Reporter: Operating,"200,000 - 1 million",100-249,VP,Part Time,94,,,47,107,154,,154,,,0.1,0.1,0.2,,0.2
IA,Des Moines Area Regional Transit Authority(DART),70010,7010,Authority,Full Reporter: Operating,"200,000 - 1 million",100-249,Total,,222,"387,524","93,954","18,199","71,126","570,803",,"570,803",202.0,37.0,12.0,38.0,289.0,,289.0
IA,Iowa City Transit(ICT),70018,7018,City,Full Reporter: Operating,"Under 200,000",10-24,MB,Full Time,21,"59,887","11,433","3,820","5,788","80,928",,"80,928",31.0,6.0,2.0,3.0,42.0,,42.0
IA,Iowa City Transit(ICT),70018,7018,City,Full Reporter: Operating,"Under 200,000",10-24,MB,Part Time,21,"35,471",,,,"35,471",,"35,471",21.0,,,,21.0,,21.0
IA,Iowa City Transit(ICT),70018,7018,City,Full Reporter: Operating,"Under 200,000",10-24,Total,,21,"95,358","11,433","3,820","5,788","116,399",,"116,399",52.0,6.0,2.0,3.0,63.0,,63.0
IA,Johnson County SEATS(SEATS),70045,7045,City,Full Reporter: Operating,"Under 200,000",10-24,DR,Full Time,22,"29,155",931,,"5,197","35,283",,"35,283",17.0,1.0,,3.0,21.0,,21.0
IA,Johnson County SEATS(SEATS),70045,7045,City,Full Reporter: Operating,"Under 200,000",10-24,DR,Part Time,22,"28,522",168,,"1,157","29,847",,"29,847",32.0,1.0,,1.0,34.0,,34.0
IA,Johnson County SEATS(SEATS),70045,7045,City,Full Reporter: Operating,"Under 200,000",10-24,Total,,22,"57,677","1,099",,"6,354","65,130",,"65,130",49.0,2.0,,4.0,55.0,,55.0
IA,River Bend Transit(RBT),70049,7049,Non-Profit,Full Reporter: Operating,"200,000 - 1 million",25-49,DR,Full Time,39,"4,026","2,618",95,"3,850","10,589",,"10,589",3.0,2.0,0.1,3.0,8.1,,8.1
IA,River Bend Transit(RBT),70049,7049,Non-Profit,Full Reporter: Operating,"200,000 - 1 million",25-49,DR,Part Time,39,"56,867",,,,"56,867",,"56,867",61.9,,,,61.9,,61.9
IA,River Bend Transit(RBT),70049,7049,Non-Profit,Full Reporter: Operating,"200,000 - 1 million",25-49,Total,,39,"60,893","2,618",95,"3,850","67,456",,"67,456",64.9,2.0,0.1,3.0,70.0,,70.0
IA,Sioux City Transit System(SCTS),70012,7012,City,Full Reporter: Operating,"Under 200,000",25-49,MB,Full Time,21,"25,007","5,366",271,"5,872","36,516",,"36,516",15.0,2.6,1.0,3.5,22.1,,22.1
IA,Sioux City Transit System(SCTS),70012,7012,City,Full Reporter: Operating,"Under 200,000",25-49,MB,Part Time,21,"28,868",,"1,226","1,056","31,150",,"31,150",26.0,,1.0,1.0,28.0,,28.0
IA,Sioux City Transit System(SCTS),70012,7012,City,Full Reporter: Operating,"Under 200,000",25-49,Total,,21,"53,875","5,366","1,497","6,928","67,666",,"67,666",41.0,2.6,2.0,4.5,50.1,,50.1
IA,University of Iowa(Cambus),70019,7019,University,Full Reporter: Operating,"Under 200,000",25-49,DR,Full Time,3,181,"1,262",45,45,"1,533",,"1,533",0.1,0.7,0.1,0.1,1.0,,1.0
IA,University of Iowa(Cambus),70019,7019,University,Full Reporter: Operating,"Under 200,000",25-49,DR,Part Time,3,"13,237","1,886",366,367,"15,856",,"15,856",14.0,3.0,1.0,1.0,19.0,,19.0
IA,University of Iowa(Cambus),70019,7019,University,Full Reporter: Operating,"Under 200,000",25-49,MB,Full Time,26,907,"6,690",564,227,"8,388",,"8,388",0.5,4.0,0.3,0.2,5.0,,5.0
IA,University of Iowa(Cambus),70019,7019,University,Full Reporter: Operating,"Under 200,000",25-49,MB,Part Time,26,"101,768","12,013",982,"2,517","117,280",,"117,280",125.0,12.0,1.0,3.0,141.0,,141.0
IA,University of Iowa(Cambus),70019,7019,University,Full Reporter: Operating,"Under 200,000",25-49,Total,,29,"116,093","21,851","1,957","3,156","143,057",,"143,057",139.6,19.7,2.4,4.3,166.0,,166.0
ID,Valley Regional Transit(VRT),00011,0011,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,DR,Full Time,17,"32,125","3,808",,"2,561","38,494",,"38,494",14.5,2.0,,1.5,18.0,,18.0
ID,Valley Regional Transit(VRT),00011,0011,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,DR,Part Time,17,"1,594",,,32,"1,626",,"1,626",1.0,,,0.5,1.5,,1.5
ID,Valley Regional Transit(VRT),00011,0011,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,MB,Full Time,40,"129,959","36,947",,"13,918","180,824",,"180,824",60.0,15.5,,7.0,82.5,,82.5
ID,Valley Regional Transit(VRT),00011,0011,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,MB,Part Time,40,"8,472","2,106",,"2,283","12,861",,"12,861",8.0,2.5,,1.5,12.0,,12.0
ID,Valley Regional Transit(VRT),00011,0011,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,Total,,57,"172,150","42,861",,"18,794","233,805",,"233,805",83.5,20.0,,10.5,114.0,,114.0
IL,Bloomington-Normal Public Transit System(Connect Transit),50047,5047,Authority,Full Reporter: Operating,"Under 200,000",25-49,DR,Full Time,13,"27,650","3,319","1,422","6,522","38,913",,"38,913",13.6,1.9,0.8,3.9,20.3,,20.3
IL,Bloomington-Normal Public Transit System(Connect Transit),50047,5047,Authority,Full Reporter: Operating,"Under 200,000",25-49,DR,Part Time,13,"2,187",,,,"2,187",,"2,187",1.6,,,,1.6,,1.6
IL,Bloomington-Normal Public Transit System(Connect Transit),50047,5047,Authority,Full Reporter: Operating,"Under 200,000",25-49,MB,Full Time,24,"110,599","14,667","6,286","15,219","146,771",,"146,771",60.4,8.6,3.7,9.1,81.7,,81.7
IL,Bloomington-Normal Public Transit System(Connect Transit),50047,5047,Authority,Full Reporter: Operating,"Under 200,000",25-49,MB,Part Time,24,"8,746",,,,"8,746",,"8,746",6.4,,,,6.4,,6.4
IL,Bloomington-Normal Public Transit System(Connect Transit),50047,5047,Authority,Full Reporter: Operating,"Under 200,000",25-49,Total,,37,"149,182","17,986","7,708","21,741","196,617",,"196,617",82.0,10.5,4.5,13.0,110.0,,110.0
IL,Champaign-Urbana Mass Transit District(C-U MTD),50060,5060,Authority,Full Reporter: Operating,"Under 200,000",100-249,DR,Full Time,12,"15,173","1,345",352,"3,002","19,872",,"19,872",8.1,0.8,0.2,1.5,10.6,,10.6
IL,Champaign-Urbana Mass Transit District(C-U MTD),50060,5060,Authority,Full Reporter: Operating,"Under 200,000",100-249,DR,Part Time,12,"17,055","1,050",82,"1,042","19,229",,"19,229",12.6,1.0,0.1,0.9,14.5,,14.5
IL,Champaign-Urbana Mass Transit District(C-U MTD),50060,5060,Authority,Full Reporter: Operating,"Under 200,000",100-249,MB,Full Time,95,"259,192","63,286","8,647","32,233","363,358",,"363,358",138.4,36.2,3.8,17.0,195.4,,195.4
IL,Champaign-Urbana Mass Transit District(C-U MTD),50060,5060,Authority,Full Reporter: Operating,"Under 200,000",100-249,MB,Part Time,95,"126,096","18,280","6,524","8,317","159,217",,"159,217",91.3,18.4,5.9,8.0,123.6,,123.6
IL,Champaign-Urbana Mass Transit District(C-U MTD),50060,5060,Authority,Full Reporter: Operating,"Under 200,000",100-249,Total,,107,"417,516","83,961","15,605","44,594","561,676",,"561,676",250.3,56.4,10.0,27.4,344.1,,344.1
IL,Chicago Transit Authority(CTA),50066,5066,Authority,Full Reporter: Operating,Over 1 million,"1,000 & Over",HR,Full Time,1108,"2,782,164","1,171,271","1,745,946","569,891","6,269,272","599,310","6,868,582","1,625.2",685.3,"1,016.3",409.9,"3,736.7",340.0,"4,076.7"
IL,Chicago Transit Authority(CTA),50066,5066,Authority,Full Reporter: Operating,Over 1 million,"1,000 & Over",HR,Part Time,1108,"1,116,527",,583,"6,884","1,123,994",,"1,123,994",776.6,,0.4,18.2,795.2,,795.2
IL,Chicago Transit Authority(CTA),50066,5066,Authority,Full Reporter: Operating,Over 1 million,"1,000 & Over",MB,Full Time,1568,"6,729,057","1,763,632","314,551","419,183","9,226,423","403,935","9,630,358","3,716.3",973.9,175.7,304.7,"5,170.6",226.7,"5,397.3"
IL,Chicago Transit Authority(CTA),50066,5066,Authority,Full Reporter: Operating,Over 1 million,"1,000 & Over",MB,Part Time,1568,"1,187,409",98,244,"5,683","1,193,434",,"1,193,434",799.7,0.1,0.2,14.9,814.9,,814.9
IL,Chicago Transit Authority(CTA),50066,5066,Authority,Full Reporter: Operating,Over 1 million,"1,000 & Over",Total,,2676,"11,815,157","2,935,001","2,061,324","1,001,641","17,813,123","1,003,245","18,816,368","6,917.8","1,659.3","1,192.6",747.7,"10,517.4",566.7,"11,084.1"
IL,Decatur Public Transit System(DPTS),50061,5061,City,Full Reporter: Operating,"Under 200,000",25-49,DR,Full Time,6,"15,175","3,343",742,"1,070","20,330",,"20,330",7.8,1.8,0.4,0.6,10.6,,10.6
IL,Decatur Public Transit System(DPTS),50061,5061,City,Full Reporter: Operating,"Under 200,000",25-49,MB,Full Time,22,"79,643","14,732","3,308","6,067","103,750",,"103,750",45.6,8.0,1.8,3.4,58.8,,58.8
IL,Decatur Public Transit System(DPTS),50061,5061,City,Full Reporter: Operating,"Under 200,000",25-49,MB,Part Time,22,"7,865",,,376,"8,241",,"8,241",3.0,,,0.5,3.5,,3.5
IL,Decatur Public Transit System(DPTS),50061,5061,City,Full Reporter: Operating,"Under 200,000",25-49,Total,,28,"102,683","18,075","4,050","7,513","132,321",,"132,321",56.4,9.8,2.2,4.5,72.9,,72.9
IL,Greater Peoria Mass Transit District(CityLink),50056,5056,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,MB,Full Time,45,"188,105","66,347","4,286","37,029","295,767",,"295,767",101.0,36.0,3.0,22.0,162.0,,162.0
IL,Greater Peoria Mass Transit District(CityLink),50056,5056,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,MB,Part Time,45,"14,006",,,104,"14,110",,"14,110",30.0,,,2.0,32.0,,32.0
IL,Greater Peoria Mass Transit District(CityLink),50056,5056,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,Total,,45,"202,111","66,347","4,286","37,133","309,877",,"309,877",131.0,36.0,3.0,24.0,194.0,,194.0
IL,Madison County Transit District(MCT),50146,5146,Authority,Full Reporter: Operating,Over 1 million,100-249,VP,Full Time,74,,"2,205",,"7,841","10,046",,"10,046",,1.2,,4.7,5.9,,5.9
IL,Madison County Transit District(MCT),50146,5146,Authority,Full Reporter: Operating,Over 1 million,100-249,Total,,74,,"2,205",,"7,841","10,046",,"10,046",,1.2,,4.7,5.9,,5.9
IL,Northeast Illinois Regional Commuter Railroad Corporation dba: Metra Rail(Metra),50118,5118,Authority,Full Reporter: Operating,Over 1 million,"1,000 & Over",CR,Full Time,1051,"3,580,934","2,321,271","1,864,128","862,455","8,628,788","607,966","9,236,754","1,727.0","1,291.0",955.0,477.0,"4,450.0",310.0,"4,760.0"
IL,Northeast Illinois Regional Commuter Railroad Corporation dba: Metra Rail(Metra),50118,5118,Authority,Full Reporter: Operating,Over 1 million,"1,000 & Over",Total,,1051,"3,580,934","2,321,271","1,864,128","862,455","8,628,788","607,966","9,236,754","1,727.0","1,291.0",955.0,477.0,"4,450.0",310.0,"4,760.0"
IL,Pace - Suburban Bus Division(PACE),50113,5113,Authority,Full Reporter: Operating,Over 1 million,"1,000 & Over",DR,Full Time,7,"5,912","1,312",146,"1,055","8,425",,"8,425",2.9,0.5,0.1,0.8,4.3,,4.3
IL,Pace - Suburban Bus Division(PACE),50113,5113,Authority,Full Reporter: Operating,Over 1 million,"1,000 & Over",DR,Part Time,7,"8,470",,,,"8,470",,"8,470",7.5,,,,7.5,,7.5
IL,Pace - Suburban Bus Division(PACE),50113,5113,Authority,Full Reporter: Operating,Over 1 million,"1,000 & Over",MB,Full Time,530,"1,658,332","477,343","41,716","251,211","2,428,602",,"2,428,602",906.1,261.4,21.9,141.9,"1,331.3",,"1,331.3"
IL,Pace - Suburban Bus Division(PACE),50113,5113,Authority,Full Reporter: Operating,Over 1 million,"1,000 & Over",MB,Part Time,530,"215,315","6,713","3,259","13,976","239,263",,"239,263",165.5,3.0,2.0,14.0,184.5,,184.5
IL,Pace - Suburban Bus Division(PACE),50113,5113,Authority,Full Reporter: Operating,Over 1 million,"1,000 & Over",VP,Full Time,712,,,,"51,070","51,070",,"51,070",,,,27.8,27.8,,27.8
IL,Pace - Suburban Bus Division(PACE),50113,5113,Authority,Full Reporter: Operating,Over 1 million,"1,000 & Over",Total,,1249,"1,888,029","485,368","45,121","317,312","2,735,830",,"2,735,830","1,082.0",264.9,24.0,184.5,"1,555.4",,"1,555.4"
IL,Rides Mass Transit District(RMTD),50211,5211,Authority,Full Reporter: Operating,"Under 200,000",100-249,MB,Full Time,112,"272,682","22,459",,"35,648","330,789",,"330,789",144.0,12.0,,19.0,175.0,,175.0
IL,Rides Mass Transit District(RMTD),50211,5211,Authority,Full Reporter: Operating,"Under 200,000",100-249,MB,Part Time,112,"6,577","3,782",,322,"10,681",,"10,681",4.0,3.0,,1.0,8.0,,8.0
IL,Rides Mass Transit District(RMTD),50211,5211,Authority,Full Reporter: Operating,"Under 200,000",100-249,Total,,112,"279,259","26,241",,"35,970","341,470",,"341,470",148.0,15.0,,20.0,183.0,,183.0
