Last Report Year,AgencyID,Legacy NTD ID,Agency Name,Agency Status,Reporter Type,City,State,Census Year,UZA Name,UZA,UZA Area SQ Miles,UZA Population,2017 Status,Mode,Service,Mode Status,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
2017,40004,4004,Metropolitan Transit Authority(MTA),Active,Full Reporter,Nashville,TN,2010,"Nashville-Davidson, TN",44,563,"969,587",Existing 2017,VP,DO,Discontinued,"10,981","10,793","9,528","9,449",,"18,332",,"17,397",,,,,"22,000",,,,,,,,0,0,,0,,,
2017,40005,4005,ART (Asheville Redefines Transit)(ART),Active,Full Reporter,Asheville,NC,2010,"Asheville, NC",133,265,"280,648",Existing 2017,DR,PT,Discontinued,"6,656","7,560","9,700","12,843","11,929","15,399","19,163","16,680","17,602","15,485","13,830","13,736","11,405","12,475","11,617","10,799","10,260","11,117","11,289","10,623","10,927","10,747",0,0,,,
2017,40005,4005,ART (Asheville Redefines Transit)(ART),Active,Full Reporter,Asheville,NC,2010,"Asheville, NC",133,265,"280,648",Existing 2017,MB,DO,Operating,"49,341","46,542","46,462","43,888","38,959","37,946","39,874","39,661","40,128","42,173","46,720","50,475","56,668","58,222","56,139","58,223","70,298","71,878","64,137","63,885","60,712","59,785","62,975","62,288","64,345","68,588","68,107"
2017,40006,4006,Cape Fear Public Transportation Authority(Wave),Active,Full Reporter,Wilmington,NC,2010,"Wilmington, NC",161,134,"219,957",Existing 2017,DR,DO,Operating,"2,656","1,964","1,683","2,041","1,880","1,585","1,510","1,703","1,587","1,520","1,268","1,192","1,067",965,432,649,967,"36,622","33,462","36,748",0,"44,095","25,666","23,510","22,874","28,586","20,523"
2017,40006,4006,Cape Fear Public Transportation Authority(Wave),Active,Full Reporter,Wilmington,NC,2010,"Wilmington, NC",161,134,"219,957",Existing 2017,DR,PT,Discontinued,,,,,,,,,,,,,,,,,,,,,"39,959",0,,0,,,
2017,40006,4006,Cape Fear Public Transportation Authority(Wave),Active,Full Reporter,Wilmington,NC,2010,"Wilmington, NC",161,134,"219,957",Existing 2017,MB,DO,Discontinued,"32,914","32,856","33,802","33,717","33,546","33,048","32,692","36,994","37,240","39,228","45,825","48,983","47,537","55,858","93,166","88,991","91,987","96,303","96,829","108,579",0,0,,0,,,
2017,40006,4006,Cape Fear Public Transportation Authority(Wave),Active,Full Reporter,Wilmington,NC,2010,"Wilmington, NC",161,134,"219,957",Existing 2017,MB,PT,Operating,,,,,,,,,,,,,,,,,,,,,"92,920","94,999","88,073","86,268","86,981","86,498","85,636"
2017,40006,4006,Cape Fear Public Transportation Authority(Wave),Active,Full Reporter,Wilmington,NC,2010,"Wilmington, NC",161,134,"219,957",Existing 2017,VP,DO,Operating,,,,,,,,,,,,,,,,,,,,,,,446,983,"1,316",937,817
2017,40007,4007,Capital Area Transit(CAT),Active,Full Reporter,Raleigh,NC,2010,"Raleigh, NC",50,518,"884,891",Existing 2017,DR,DO,Discontinued,,,,,,,,,,"34,542","33,618","22,967","14,923","15,486","14,175","8,699","3,132",,,,0,0,,0,,,
2017,40007,4007,Capital Area Transit(CAT),Active,Full Reporter,Raleigh,NC,2010,"Raleigh, NC",50,518,"884,891",Existing 2017,DR,PT,Discontinued,"3,952","3,990","15,856","21,298","29,405","34,333","31,458","31,864",,,"50,580",,,,,,,,"287,317",,0,0,,0,,,
2017,40007,4007,Capital Area Transit(CAT),Active,Full Reporter,Raleigh,NC,2010,"Raleigh, NC",50,518,"884,891",Existing 2017,DT,PT,Operating,,,,,,,,,,,,,,,,,,,,"216,982","202,966","204,007","208,690","200,229","248,757","468,427","286,719"
2017,40007,4007,Capital Area Transit(CAT),Active,Full Reporter,Raleigh,NC,2010,"Raleigh, NC",50,518,"884,891",Existing 2017,MB,DO,Operating,"119,341","114,591","103,528","101,824","108,917","107,366","106,488","106,742","112,464","126,888","132,941","136,665","147,805","149,163","150,137","165,178","179,617","198,296","203,508","213,316","213,368","216,374","212,023","214,735","231,528","234,892","236,794"
2017,40007,4007,Capital Area Transit(CAT),Active,Full Reporter,Raleigh,NC,2010,"Raleigh, NC",50,518,"884,891",Existing 2017,MB,PT,Separate,"4,197","7,900","15,140","10,021","7,930","7,928","9,894","10,014",,,,,,,,,,,,,0,0,0,0,,0,0
2017,40007,4007,Capital Area Transit(CAT),Active,Full Reporter,Raleigh,NC,2010,"Raleigh, NC",50,518,"884,891",Existing 2017,VP,PT,Discontinued,,"2,085",,,,,,,,,,,,,,,,,,,0,0,,0,,,
2017,40008,4008,Charlotte Area Transit System(CATS),Active,Full Reporter,Charlotte,NC,2010,"Charlotte, NC-SC",38,741,"1,249,442",Existing 2017,CB,DO,Operating,,,,,,,,,,,,,,,,,,,,,,,,"51,819","52,877","52,804","55,619"
2017,40008,4008,Charlotte Area Transit System(CATS),Active,Full Reporter,Charlotte,NC,2010,"Charlotte, NC-SC",38,741,"1,249,442",Existing 2017,CR,DO,Discontinued,,,,,,,,,,,,,,,,,,,,,,0,,0,,,
2017,40008,4008,Charlotte Area Transit System(CATS),Active,Full Reporter,Charlotte,NC,2010,"Charlotte, NC-SC",38,741,"1,249,442",Existing 2017,DR,DO,Operating,"28,050","28,928","32,004","38,608","51,672","51,497","59,542","64,085","70,640","93,498","105,784","102,123","122,376","123,213","151,500","131,925","160,591","135,248","156,293","131,972","130,588","151,378","131,641","132,283","137,706","147,385","146,131"
2017,40008,4008,Charlotte Area Transit System(CATS),Active,Full Reporter,Charlotte,NC,2010,"Charlotte, NC-SC",38,741,"1,249,442",Existing 2017,DR,PT,Discontinued,"5,835","3,498","3,022","5,367","3,936",,,"2,438","6,072","7,395","6,096","6,024",,,,,,,,,0,0,,0,,,
2017,40008,4008,Charlotte Area Transit System(CATS),Active,Full Reporter,Charlotte,NC,2010,"Charlotte, NC-SC",38,741,"1,249,442",Existing 2017,LR,DO,Operating,,,,,,,,,,,,,,,"7,516","5,280",,"30,594","54,687","44,281","45,646","46,642","54,738","60,519","66,612","65,043","66,641"
2017,40008,4008,Charlotte Area Transit System(CATS),Active,Full Reporter,Charlotte,NC,2010,"Charlotte, NC-SC",38,741,"1,249,442",Existing 2017,MB,DO,Operating,"328,709","323,982","320,687","326,192","328,512","347,292","347,036","374,237","426,684","453,168","549,396","589,659","679,651","692,717","740,223","764,686","767,936","819,544","828,877","778,773","780,795","789,217","794,812","740,011","778,994","793,770","792,241"
2017,40008,4008,Charlotte Area Transit System(CATS),Active,Full Reporter,Charlotte,NC,2010,"Charlotte, NC-SC",38,741,"1,249,442",Existing 2017,MB,PT,Discontinued,"1,288","1,244","1,218","1,203","14,302","14,439","14,849","18,452","18,787","27,281","35,655","39,668","39,690","30,003","29,721","33,327","7,496",,,,0,0,,0,,,
2017,40008,4008,Charlotte Area Transit System(CATS),Active,Full Reporter,Charlotte,NC,2010,"Charlotte, NC-SC",38,741,"1,249,442",Existing 2017,SR,DO,Operating,,,,,,,,,,,,,,,,,,,,,,,,,,"10,486","10,752"
2017,40008,4008,Charlotte Area Transit System(CATS),Active,Full Reporter,Charlotte,NC,2010,"Charlotte, NC-SC",38,741,"1,249,442",Existing 2017,VP,DO,Operating,"8,568","9,072","11,592","9,828","12,096","12,096","9,072","11,592","32,145","184,212","39,816","44,707","37,743","32,192","33,168","35,102","37,209","38,804","41,471","36,532","36,387","36,361","38,053","37,963","36,259","27,722","22,125"
2017,40009,4009,Fayetteville Area System of Transit(FAST),Active,Full Reporter,Fayetteville,NC,2010,"Fayetteville, NC",122,198,"310,282",Existing 2017,DR,DO,Operating,,,,,,"19,124","19,226","19,896","20,146","22,864","19,886","28,596","20,349","17,644","15,638","19,305","13,165","17,372","18,415","18,127","17,464","22,239","22,209","22,186","29,273","29,509","30,943"
2017,40009,4009,Fayetteville Area System of Transit(FAST),Active,Full Reporter,Fayetteville,NC,2010,"Fayetteville, NC",122,198,"310,282",Existing 2017,MB,DO,Operating,"45,693","45,693","42,963","45,084","44,983","39,457","51,732","52,148","52,301","70,614","56,450","55,973","59,315","58,732","58,313","58,759","55,254","55,313","57,792","66,443","70,578","71,314","73,739","73,504","85,947","91,581","91,767"
2017,40009,4009,Fayetteville Area System of Transit(FAST),Active,Full Reporter,Fayetteville,NC,2010,"Fayetteville, NC",122,198,"310,282",Existing 2017,MB,PT,Discontinued,,,,,,,,,,,,,,,,,,,,,,,,,,"1,783",705
2017,40010,4010,City of Gastonia,Active,Reduced Reporter,Gastonia,NC,2010,"Gastonia, NC-SC",200,139,"169,495",Existing 2017,DR,DO,Operating,,,,,,,,,,,,,,,,,,,,,,"3,833","3,805","3,774","1,809","1,569","1,785"
2017,40010,4010,City of Gastonia,Active,Reduced Reporter,Gastonia,NC,2010,"Gastonia, NC-SC",200,139,"169,495",Existing 2017,MB,DO,Operating,"17,752","17,624","17,613","17,519",0,,,,,,,,,,,,,,,,0,"20,945","21,375","21,146","20,838","20,807","22,641"
2017,40011,4011,High Point Transit System(Hi tran),Active,Reduced Reporter,High Point,NC,2010,"High Point, NC",202,113,"166,485",Existing 2017,DR,DO,Operating,"9,576","7,239","7,056","7,000","7,084","6,804","7,192","6,696","6,858","6,696","6,024","5,787","5,405","5,659","5,754","5,168","5,219","5,422","5,559","4,378","5,353","7,042","10,308","10,431","10,203","10,264","9,388"
2017,40011,4011,High Point Transit System(Hi tran),Active,Reduced Reporter,High Point,NC,2010,"High Point, NC",202,113,"166,485",Existing 2017,DR,PT,Discontinued,"5,040","8,652","9,072","9,613","9,584","9,642",,"9,742","10,060","9,840","9,460","7,191","7,102","7,130","7,327","7,246","7,255","5,799","5,839","8,271","7,247","4,108",,0,,,
2017,40011,4011,High Point Transit System(Hi tran),Active,Reduced Reporter,High Point,NC,2010,"High Point, NC",202,113,"166,485",Existing 2017,MB,DO,Operating,"29,428","30,325","29,672","29,851","30,573","31,078","29,768","29,382","28,912","28,518","28,596","28,349","28,419","28,883","29,668","29,850","30,029","29,772","29,094","28,774","33,177","33,459","34,105","33,037","33,301","33,313","33,374"
2017,40012,4012,Winston-Salem Transit Authority - Trans-Aid of Forsyth County(WSTA),Active,Full Reporter,Winston-Salem,NC,2010,"Winston-Salem, NC",95,323,"391,024",Existing 2017,DR,DO,Operating,"22,011","21,505","22,770","24,794","30,107","23,900","24,510","26,735","26,132","29,742","31,415","32,880","32,769","33,374","38,384","40,372","41,728","43,327","46,767","45,487","50,377","53,912","54,670","58,416","63,734","70,823","75,978"
2017,40012,4012,Winston-Salem Transit Authority - Trans-Aid of Forsyth County(WSTA),Active,Full Reporter,Winston-Salem,NC,2010,"Winston-Salem, NC",95,323,"391,024",Existing 2017,MB,DO,Operating,"106,668","105,403","110,092","111,319","110,054","112,026","113,194","111,274","121,183","121,618","123,648","124,356","117,470","120,018","121,466","119,564","115,480","114,644","130,144","132,023","130,598","133,175","133,223","135,111","131,946","137,174","130,109"
2017,40012,4012,Winston-Salem Transit Authority - Trans-Aid of Forsyth County(WSTA),Active,Full Reporter,Winston-Salem,NC,2010,"Winston-Salem, NC",95,323,"391,024",Existing 2017,VP,DO,Discontinued,"9,108","9,614","13,409","14,168","22,011","22,770","18,975","16,192","17,963","28,778",,,,,,,,,,,0,0,,0,,,
2017,40014,4014,Ms Coast Transportation Authority(CTA),Active,Full Reporter,Gulfport,MS,2010,"Gulfport, MS",175,165,"208,948",Existing 2017,DR,DO,Operating,,,"19,829",,"29,648","25,939","31,928","34,105","34,829","33,861","35,506","33,157","28,310","25,716","21,668","14,500","15,588","23,229","23,679","26,020","27,992","27,267","24,739","24,406","23,200","23,048","21,439"
2017,40014,4014,Ms Coast Transportation Authority(CTA),Active,Full Reporter,Gulfport,MS,2010,"Gulfport, MS",175,165,"208,948",Existing 2017,MB,DO,Operating,"60,774","72,151","57,940",,"75,436","70,103","65,936","64,785","61,620","68,341","75,844","66,034","66,633","61,388","59,440","51,203","52,369","59,763","69,059","81,094","68,677","74,105","73,603","70,309","61,150","68,146","67,930"
2017,40014,4014,Ms Coast Transportation Authority(CTA),Active,Full Reporter,Gulfport,MS,2010,"Gulfport, MS",175,165,"208,948",Existing 2017,VP,PT,Operating,,,,,,,,,,,,,,,,,"1,881","6,262","12,361","16,832","20,518","20,324","19,582","18,681","18,271","17,034","14,380"
2017,40015,4015,"City of Jackson, Department of Planning and Development, Transit Services Division (JATRAN)",Active,Full Reporter,Jackson,MS,2010,"Jackson, MS",107,242,"351,478",Existing 2017,DR,DO,Discontinued,"13,632","13,474","14,179","14,793","19,753","20,594","21,353","22,324","21,977","22,483","24,160","23,230","23,740","23,616","23,618","22,859","22,250","22,776","14,624","21,687","22,515","20,592","24,976","25,892",,,
2017,40015,4015,"City of Jackson, Department of Planning and Development, Transit Services Division (JATRAN)",Active,Full Reporter,Jackson,MS,2010,"Jackson, MS",107,242,"351,478",Existing 2017,DR,PT,Operating,,,,,,,,,,,,,,,,,,,,,,,,,"25,321","23,148","27,830"
2017,40015,4015,"City of Jackson, Department of Planning and Development, Transit Services Division (JATRAN)",Active,Full Reporter,Jackson,MS,2010,"Jackson, MS",107,242,"351,478",Existing 2017,MB,DO,Discontinued,"69,828","66,454","66,282","67,050","67,880","67,902","54,599","56,411","56,158","58,288","59,006","58,839","59,349","59,772","59,618","55,546","56,888","60,840","64,879","64,879","63,695","47,931","49,616","48,334",,,
2017,40015,4015,"City of Jackson, Department of Planning and Development, Transit Services Division (JATRAN)",Active,Full Reporter,Jackson,MS,2010,"Jackson, MS",107,242,"351,478",Existing 2017,MB,PT,Operating,,,,,,,,,,,,,,,,,,,,,,,,,"48,949","48,398","43,272"
2017,40016,4016,Ashland Bus System(ABS),Active,Reduced Reporter,Ashland,KY,2010,"Huntington, WV-KY-OH",178,130,"202,637",Existing 2017,DR,DO,Operating,,,,,,,,,,,,,,,,,,,,,"6,744","8,686","8,455","7,035","5,840","7,725","8,287"
2017,40016,4016,Ashland Bus System(ABS),Active,Reduced Reporter,Ashland,KY,2010,"Huntington, WV-KY-OH",178,130,"202,637",Existing 2017,MB,DO,Operating,"14,352","14,917",,,,,,,,,,,,,,,,,,,"13,104","13,680","13,954","10,626","10,542","10,794","10,710"
2017,40017,4017,Lexington Transit Authority(LexTran),Active,Full Reporter,Lexington,KY,2010,"Lexington-Fayette, KY",131,88,"290,263",Existing 2017,DR,PT,Operating,"35,175","39,412","35,739","34,011","33,984","33,786","33,861","36,532","39,474","34,560","38,086","41,328","44,401","50,308","49,973","60,741","65,352","67,699","69,326","87,644","99,646","96,441","97,785","104,394","108,925","116,165","115,693"
2017,40017,4017,Lexington Transit Authority(LexTran),Active,Full Reporter,Lexington,KY,2010,"Lexington-Fayette, KY",131,88,"290,263",Existing 2017,DT,PT,Discontinued,,,,,,,,,,,,,,,,,,,,,,,,"2,341","2,833",,
2017,40017,4017,Lexington Transit Authority(LexTran),Active,Full Reporter,Lexington,KY,2010,"Lexington-Fayette, KY",131,88,"290,263",Existing 2017,MB,DO,Operating,"90,658","90,824","75,661","71,512","72,396","71,919","74,872","79,842","107,016","115,361","131,768","134,295","133,611","131,524","93,366","122,276","169,402","174,466","181,639","183,032","188,728","191,408","191,879","154,851","167,164","178,389","188,376"
2017,40017,4017,Lexington Transit Authority(LexTran),Active,Full Reporter,Lexington,KY,2010,"Lexington-Fayette, KY",131,88,"290,263",Existing 2017,MB,PT,Discontinued,"7,620","12,860","12,286","8,890","8,960","8,382","8,415","8,382","4,590","1,152",,,,,,,,,,,0,0,,0,,,
2017,40017,4017,Lexington Transit Authority(LexTran),Active,Full Reporter,Lexington,KY,2010,"Lexington-Fayette, KY",131,88,"290,263",Existing 2017,VP,PT,Operating,,,,,,,,,,,,,,,,,,,,,,,679,"6,341","7,358","5,806","4,722"
2017,40018,4018,Transit Authority of River City(TARC),Active,Full Reporter,Louisville,KY,2010,"Louisville/Jefferson County, KY-IN",43,477,"972,546",Existing 2017,DR,DO,Operating,"12,033","12,818","13,911","12,552","9,585","9,398","9,435","9,755","9,761","9,615","12,027","10,249","9,468","9,580","7,913","4,208","3,125","16,889","3,315","2,728","2,616","2,239","1,987","1,781","1,771",697,541
2017,40018,4018,Transit Authority of River City(TARC),Active,Full Reporter,Louisville,KY,2010,"Louisville/Jefferson County, KY-IN",43,477,"972,546",Existing 2017,DR,PT,Operating,"55,841","61,448","83,784","110,254","91,268","159,844","162,738","175,177","182,667","184,497","187,718","187,377","179,002","202,372","209,533","226,353","251,113","253,171","252,326","215,623","217,498","223,929","198,821","218,517","227,034","219,217","223,719"
2017,40018,4018,Transit Authority of River City(TARC),Active,Full Reporter,Louisville,KY,2010,"Louisville/Jefferson County, KY-IN",43,477,"972,546",Existing 2017,DT,PT,Operating,,,,,,,,,,,,,,,,,,,,"33,131","43,910","49,847","76,946","74,182","89,506","114,333","118,529"
2017,40018,4018,Transit Authority of River City(TARC),Active,Full Reporter,Louisville,KY,2010,"Louisville/Jefferson County, KY-IN",43,477,"972,546",Existing 2017,MB,DO,Operating,"602,413","607,198","608,546","604,186","556,130","553,214","574,988","612,324","618,039","601,533","586,702","573,323","571,933","578,891","555,838","593,169","607,581","607,656","595,614","566,108","541,056","564,676","572,464","560,869","564,337","559,951","567,093"
2017,40018,4018,Transit Authority of River City(TARC),Active,Full Reporter,Louisville,KY,2010,"Louisville/Jefferson County, KY-IN",43,477,"972,546",Existing 2017,MB,PT,Operating,"8,576","9,406","10,467","11,588","11,599","10,439","11,036","11,004","11,722","12,642","12,513","12,461","15,493","14,871","11,436","11,773","11,996","12,044","11,985","10,395","1,365","1,360","1,393","1,398","1,405","1,414","1,406"
2017,40019,4019,Transit Authority of Northern Kentucky(TANK),Active,Full Reporter,Fort Wright,KY,2010,"Cincinnati, OH-KY-IN",30,788,"1,624,827",Existing 2017,DR,DO,Operating,"12,694","15,388","15,374","17,529","19,534","20,351","23,834","20,953","22,864","24,392","37,309","40,381","41,843","41,022","43,781","45,798","46,596","49,049","49,217","49,699","49,951","49,253","46,373","47,522","48,100","50,978","52,347"
2017,40019,4019,Transit Authority of Northern Kentucky(TANK),Active,Full Reporter,Fort Wright,KY,2010,"Cincinnati, OH-KY-IN",30,788,"1,624,827",Existing 2017,DR,PT,Discontinued,619,622,254,,,,,,,,,,,,,,,,,,0,0,,0,,,
2017,40019,4019,Transit Authority of Northern Kentucky(TANK),Active,Full Reporter,Fort Wright,KY,2010,"Cincinnati, OH-KY-IN",30,788,"1,624,827",Existing 2017,MB,DO,Operating,"169,049","173,138","166,073","167,038","168,782","195,123","191,462","191,898","181,701","201,519","216,807","222,715","191,789","197,928","191,551","191,335","202,451","215,892","212,294","203,616","206,442","207,987","207,967","212,123","222,739","222,084","224,901"
2017,40019,4019,Transit Authority of Northern Kentucky(TANK),Active,Full Reporter,Fort Wright,KY,2010,"Cincinnati, OH-KY-IN",30,788,"1,624,827",Existing 2017,MB,PT,Discontinued,,,,,,,,"3,344","19,704","7,636",,,,,,,,,,,0,0,,0,,,
2017,40020,4020,Owensboro Transit System(OTS),Active,Reduced Reporter,Owensboro,KY,2010,"Owensboro, KY",391,34,"70,543",Existing 2017,DR,PT,Discontinued,"6,003","6,003","7,460","9,868",,,,,,,,,,,,,,,,,0,"8,050","9,021","5,312","11,070",,
2017,40020,4020,Owensboro Transit System(OTS),Active,Reduced Reporter,Owensboro,KY,2010,"Owensboro, KY",391,34,"70,543",Existing 2017,MB,DO,Operating,"21,257","21,387","21,164","20,668",,,,,,,,,,,,,,,,,0,"20,766","24,227","29,768","33,210","33,372","32,244"
2017,40021,4021,Albany Transit System(ATS),Active,Full Reporter,Albany,GA,2010,"Albany, GA",309,71,"95,779",Existing 2017,DR,DO,Operating,"8,446","8,440","9,451","6,412","10,050","12,112","11,988","11,680","12,932","12,542","13,161","14,331","13,244","13,290","10,271","9,477","9,294","8,942","8,144","6,825","6,940","7,116","6,398","6,875","7,052","8,231","8,301"
2017,40021,4021,Albany Transit System(ATS),Active,Full Reporter,Albany,GA,2010,"Albany, GA",309,71,"95,779",Existing 2017,MB,DO,Operating,"30,121","30,302","28,894","29,636","25,820","25,398","29,713","34,819","34,388","35,724","36,087","37,036","32,044","32,146","32,061","32,040","32,287","31,789","31,329","31,612","31,914","34,589","30,849","35,164","35,095","34,538","33,953"
2017,40022,4022,Metropolitan Atlanta Rapid Transit Authority(MARTA),Active,Full Reporter,Atlanta,GA,2010,"Atlanta, GA",9,"2,645","4,515,419",Existing 2017,DR,DO,Discontinued,,,,,,,"36,921","112,553","117,393","128,425","138,215","147,739","185,589","205,479","205,962","221,711","247,997","283,793","311,876","324,394","324,497","365,850","372,023","353,975","365,999","342,727",
2017,40022,4022,Metropolitan Atlanta Rapid Transit Authority(MARTA),Active,Full Reporter,Atlanta,GA,2010,"Atlanta, GA",9,"2,645","4,515,419",Existing 2017,DR,PT,Operating,"27,478","26,313","26,390","32,776","68,892","89,694","72,413",,,,,,,,,,,,,,0,0,,0,,"45,531","439,582"
2017,40022,4022,Metropolitan Atlanta Rapid Transit Authority(MARTA),Active,Full Reporter,Atlanta,GA,2010,"Atlanta, GA",9,"2,645","4,515,419",Existing 2017,HR,DO,Operating,"612,802","621,471","684,655","801,708","803,024","827,411","931,374","821,070","838,364","817,423","861,159","896,211","863,362","836,727","874,822","802,765","833,235","873,380","921,043","829,323","705,069","674,278","683,037","686,168","836,278","838,398","840,494"
2017,40022,4022,Metropolitan Atlanta Rapid Transit Authority(MARTA),Active,Full Reporter,Atlanta,GA,2010,"Atlanta, GA",9,"2,645","4,515,419",Existing 2017,MB,DO,Operating,"1,891,882","1,936,199","1,974,474","1,990,453","1,986,517","2,043,579","2,151,617","2,128,536","2,167,226","2,190,556","2,182,604","2,150,344","2,069,757","2,057,974","1,798,393","1,811,834","1,941,988","2,191,352","2,192,737","2,137,324","1,867,433","1,876,643","1,863,322","1,829,053","1,896,315","2,042,743","2,113,732"
2017,40022,4022,Metropolitan Atlanta Rapid Transit Authority(MARTA),Active,Full Reporter,Atlanta,GA,2010,"Atlanta, GA",9,"2,645","4,515,419",Existing 2017,MB,PT,Discontinued,"40,263","2,153",,,,,,,,,,,,,,,,,,,0,0,,0,,,
2017,40023,4023,Augusta Richmond County Transit Department(APT),Active,Full Reporter,Augusta,GA,2010,"Augusta-Richmond County, GA-SC",98,260,"386,787",Existing 2017,DR,DO,Discontinued,,,,,"2,774","2,485","7,124","6,963","6,949","8,331","2,971","4,328","10,912","11,433","12,470","12,686","12,586","13,396","14,499","13,988","7,788",0,,0,,,
2017,40023,4023,Augusta Richmond County Transit Department(APT),Active,Full Reporter,Augusta,GA,2010,"Augusta-Richmond County, GA-SC",98,260,"386,787",Existing 2017,DR,PT,Operating,"2,000","2,000","4,223","2,332",,,,,,,,,,,,,,,,,"5,192","12,596","12,686","13,371","13,555","17,181","15,797"
2017,40023,4023,Augusta Richmond County Transit Department(APT),Active,Full Reporter,Augusta,GA,2010,"Augusta-Richmond County, GA-SC",98,260,"386,787",Existing 2017,MB,DO,Discontinued,"82,400","82,400","87,008","83,680","69,746","68,988","68,748","59,442","49,801","43,977","55,172","54,025","54,468","51,228","51,104","48,928","41,396","41,488","42,595","41,770","24,174",0,,0,,,
2017,40023,4023,Augusta Richmond County Transit Department(APT),Active,Full Reporter,Augusta,GA,2010,"Augusta-Richmond County, GA-SC",98,260,"386,787",Existing 2017,MB,PT,Operating,,,,,,,,,,,,,,,,,,,,,"17,828","42,304","42,184","42,063","43,751","42,870","42,585"
2017,40024,4024,"Metra Transit System (Columbus, GA)(Metra)",Active,Reduced Reporter,Columbus,GA,2010,"Columbus, GA-AL",147,147,"253,602",Existing 2017,DR,DO,Operating,"8,049","7,965","10,240","10,874","9,796","10,838","11,033","11,144","10,595","10,236","10,528","11,598","10,473","11,253","11,231","10,574","10,916","13,660","12,236","12,283","14,478","14,671","14,700","16,728","16,923","17,008","18,389"
2017,40024,4024,"Metra Transit System (Columbus, GA)(Metra)",Active,Reduced Reporter,Columbus,GA,2010,"Columbus, GA-AL",147,147,"253,602",Existing 2017,MB,DO,Operating,"79,685","80,241","67,725","76,596","76,081","69,965","62,678","62,608","64,657","64,359","65,982","64,678","65,310","66,070","65,450","64,066","61,148","61,115","60,864","61,077","63,204","64,365","64,963","65,848","67,880","68,537","82,854"
2017,40025,4025,Chatham Area Transit Authority(CAT),Active,Full Reporter,Savannah,GA,2010,"Savannah, GA",144,165,"260,677",Existing 2017,DR,DO,Operating,,,,,,,,,,,,,,,,,,,,"22,405","44,236",0,"6,366","48,260","46,748","44,826","41,296"
2017,40025,4025,Chatham Area Transit Authority(CAT),Active,Full Reporter,Savannah,GA,2010,"Savannah, GA",144,165,"260,677",Existing 2017,DR,PT,Operating,"19,325","14,980","60,419","27,128","27,888","31,104","31,175","32,176","34,428","36,316","34,770","36,684","35,157","35,022","35,918","37,970","42,952","43,665","46,115","23,044",0,"53,128","41,484",0,"7,184","12,075","27,529"
2017,40025,4025,Chatham Area Transit Authority(CAT),Active,Full Reporter,Savannah,GA,2010,"Savannah, GA",144,165,"260,677",Existing 2017,FB,DO,Operating,,,,,,,,,,,,,946,"5,445","5,716","10,498","9,774","9,774","7,694","6,154","6,859",0,875,"6,799","6,634","6,863","6,700"
2017,40025,4025,Chatham Area Transit Authority(CAT),Active,Full Reporter,Savannah,GA,2010,"Savannah, GA",144,165,"260,677",Existing 2017,FB,PT,Discontinued,,,,,,,,,,,,,,,,,,,,,,"7,196","5,742",0,,,
2017,40025,4025,Chatham Area Transit Authority(CAT),Active,Full Reporter,Savannah,GA,2010,"Savannah, GA",144,165,"260,677",Existing 2017,MB,DO,Operating,"165,938","170,286","172,620","173,936","179,138","182,475","170,670","175,679","174,926","177,916","177,697","179,594","176,962","178,122","184,717","185,917","187,022","190,265","200,794","187,430","206,002",0,"24,668","183,893","179,203","183,032","179,783"
2017,40025,4025,Chatham Area Transit Authority(CAT),Active,Full Reporter,Savannah,GA,2010,"Savannah, GA",144,165,"260,677",Existing 2017,MB,PT,Discontinued,,,,,,,,,,,,,,,,,,,,,,"194,214","171,194",0,,,
2017,40026,4026,Manatee County Area Transit(MCAT),Active,Full Reporter,Bradenton,FL,2010,"Sarasota-Bradenton, FL",64,327,"643,260",Existing 2017,DR,DO,Operating,"29,997","30,089","32,375","36,440","34,109","28,795","26,790","28,885","29,648","30,681","33,943","33,281","35,150","39,177","42,279","20,172","22,219","21,600","40,109","40,911","37,916","38,863","40,422","40,228","44,736","43,212","44,262"
2017,40026,4026,Manatee County Area Transit(MCAT),Active,Full Reporter,Bradenton,FL,2010,"Sarasota-Bradenton, FL",64,327,"643,260",Existing 2017,DR,PT,Discontinued,,,,,,,,,"22,200","32,364","35,753","34,736",,,,,,,,,0,0,,0,,,
2017,40026,4026,Manatee County Area Transit(MCAT),Active,Full Reporter,Bradenton,FL,2010,"Sarasota-Bradenton, FL",64,327,"643,260",Existing 2017,MB,DO,Operating,"33,853","34,179","34,178","31,312","30,982","31,516","32,940","33,027","34,491","45,237","46,097","56,207","82,517","75,287","82,600","85,127","77,700","82,553","86,978","86,981","82,830","86,926","86,132","86,845","95,373","95,949","92,805"
2017,40026,4026,Manatee County Area Transit(MCAT),Active,Full Reporter,Bradenton,FL,2010,"Sarasota-Bradenton, FL",64,327,"643,260",Existing 2017,VP,DO,Discontinued,,,,,,,,,679,"1,106",,940,"1,165","1,100","1,101",,,,,,0,0,,0,,,
2017,40027,4027,Pinellas Suncoast Transit Authority(PSTA),Active,Full Reporter,St. Petersburg,FL,2010,"Tampa-St. Petersburg, FL",17,957,"2,441,770",Existing 2017,CB,DO,Operating,,,,,,,,,,,,,,,,,,,,,,,"10,345","10,390","10,425","10,420","10,383"
