Last Report Year,AgencyID,Legacy NTD ID,Agency Name,Agency Status,Reporter Type,City,State,Census Year,Primary UZA Name,UZA,UZA Area SQ Miles,UZA Population,2017 Status,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
2017,20179,2179,"Leprechaun Lines, Inc.(HHBL)",Active,Reduced Reporter,Newburgh,NY,2010,"Poughkeepsie-Newburgh, NY-NJ",89,327,"423,566",Existing 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,204,080 ","$1,334,618 ","$1,331,339 ","$1,482,775 ","$1,578,038 ","$1,668,412 ","$1,745,033 ","$1,712,377 ","$1,688,281 ","$1,742,206 ","$1,741,390 ","$1,789,534 ","$1,867,626 ","$1,809,834 ","$1,689,096 ","$1,713,628 "
2006,20180,2180,Atlantic Express(AE),Inactive,Full Reporter,Staten Island,NY,2000,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",Pre 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,434,809 ","$4,377,958 ","$4,305,470 ","$4,590,683 ",,,,,,,,,,,
2008,20181,2181,Roosevelt Island Operating Corporation of the State of New York(RIOC),Inactive,Full Reporter,Roosevelt,NY,2000,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",Pre 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$3,501,552 ","$3,904,578 ",$0 ,$0 ,$0 ,$0 ,,,,,,,,,
2017,20182,2182,Town of Highlands Dial-A-Bus,Active,Reduced Reporter,Highland Falls,NY,2010,"Poughkeepsie-Newburgh, NY-NJ",89,327,"423,566",Existing 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$11,255 ","$71,793 ","$82,789 ","$76,313 ","$80,671 ","$76,433 ",$0 ,"$31,055 ","$82,738 ","$94,969 ","$80,170 ","$82,020 ","$69,255 ","$69,366 "
2017,20183,2183,Town of Monroe Dial-A-Bus(Monroe DAB),Active,Reduced Reporter,Monroe,NY,2010,"Poughkeepsie-Newburgh, NY-NJ",89,327,"423,566",Existing 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$286,521 ","$323,526 ","$353,999 ","$361,713 ","$386,682 ","$426,034 ","$476,399 ","$491,984 ","$456,881 ","$394,255 ","$390,061 ","$434,252 ","$424,380 ","$607,677 "
2015,20185,2185,"Centro of Oneida, Inc.(Centro of Oneida)",Inactive,Full Reporter,Syracruse,NY,2010,"Utica, NY",268,62,"117,328",Pre 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$7,516,610 ","$7,358,555 ","$8,135,407 ","$8,449,133 ","$9,785,471 ","$9,207,157 ","$13,861,961 ","$12,574,209 ","$10,714,300 ","$11,003,694 ",,
2017,20187,2187,Village of Kiryas Joel(KJ),Active,Reduced Reporter,Monroe,NY,2010,"Poughkeepsie-Newburgh, NY-NJ",89,327,"423,566",Existing 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$973,976 ","$572,007 ","$534,780 ","$486,868 ","$527,934 ","$590,203 ","$572,230 ","$3,463,556 ","$580,060 ","$625,593 ","$662,080 ","$661,588 "
2017,20188,2188,MTA Bus Company(MTABUS),Active,Full Reporter,New York,NY,2010,"New York-Newark, NY-NJ-CT",1,"3,450","18,351,295",Existing 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$124,612,884 ","$339,215,037 ","$413,427,364 ","$465,490,849 ","$528,108,356 ","$501,696,777 ","$598,062,876 ","$645,704,731 ","$634,562,985 ","$731,363,440 ","$707,467,826 ","$795,997,658 ","$749,394,653 "
2017,20189,2189,"BillyBey Ferry Company, LLC",Active,Full Reporter,New York,NY,2010,"New York-Newark, NY-NJ-CT",1,"3,450","18,351,295",Existing 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$7,627,354 ","$7,310,066 ","$6,730,634 ","$8,240,852 ","$7,332,468 ","$9,805,046 ","$8,645,200 ","$9,632,823 ","$11,376,158 ","$9,430,196 ","$10,305,236 "
2017,20190,2190,Port Imperial Ferry Corporation dba NY Waterway,Active,Full Reporter,Weehawken,NJ,2010,"New York-Newark, NY-NJ-CT",1,"3,450","18,351,295",Existing 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$21,393,105 ","$24,890,407 ","$22,152,548 ","$30,075,864 ","$35,911,771 ","$36,118,861 ","$37,801,118 ","$38,247,163 ","$37,776,336 ","$39,177,148 ","$39,141,346 "
2017,20191,2191,City of Kingston Citibus,Active,Reduced Reporter,Kingston,NY,2010,"Kingston, NY",457,43,"57,442",Existing 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,"$1,232,883 ","$1,431,137 ","$961,810 ","$1,009,871 ","$1,301,813 ","$1,173,154 "
2017,20192,2192,Bergen County Community Transportation(BCCT),Active,Full Reporter,Lodi,NJ,2010,"New York-Newark, NY-NJ-CT",1,"3,450","18,351,295",Existing 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,"$5,343,349 ","$5,420,966 ","$5,063,917 ","$6,037,942 ","$6,117,244 ","$5,714,633 ","$5,867,546 ","$6,106,224 "
2017,20193,2193,Cumberland Area Transit System(CATS),Active,Full Reporter,Bridgeton,NJ,2010,"Vineland, NJ",310,62,"95,259",Existing 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,"$2,796,271 ","$2,615,428 ","$2,424,140 ","$2,543,270 ","$2,423,786 ","$2,418,546 ","$2,354,692 ","$2,350,020 "
2017,20194,2194,East Windsor Township(EW),Active,Reduced Reporter,East Windsor,NJ,2010,"Twin Rivers-Hightstown, NJ",429,35,"64,037",Existing 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,"$182,600 ","$170,361 ","$173,960 ","$209,313 ","$207,965 ","$210,053 ","$208,877 "
2017,20195,2195,Gloucester County Division of Transportation Services (DTS),Active,Reduced Reporter,West Deptford,NJ,2010,"Philadelphia, PA-NJ-DE-MD",5,"1,981","5,441,567",Existing 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,"$2,286,228 ","$1,122,887 ","$2,417,868 ","$3,466,367 ","$3,199,699 ","$3,031,692 ","$2,436,510 ","$2,679,073 "
2017,20196,2196,Middlesex County Area Transit(MCAT),Active,Full Reporter,New Brunswick,NJ,2010,"New York-Newark, NY-NJ-CT",1,"3,450","18,351,295",Existing 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,"$6,727,223 ","$7,024,640 ","$6,929,751 ","$6,007,172 ","$5,726,879 ","$5,686,866 ","$5,759,063 "
2017,20197,2197,"Meadowlands Transportation Brokerage Corporation, dba EZ Ride(EZ Ride)",Active,Reduced Reporter,Wood Ridge,NJ,2010,"New York-Newark, NY-NJ-CT",1,"3,450","18,351,295",Existing 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,"$1,165,637 ","$459,155 ","$1,161,100 ","$1,477,110 ","$2,045,813 ","$1,696,082 ","$1,424,849 ","$3,228,447 "
2014,20198,2198,"TransOptions, Inc.",Inactive,Reduced Reporter,Cedar Knolls,NJ,2010,"New York-Newark, NY-NJ-CT",1,"3,450","18,351,295",Pre 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,"$162,941 ","$151,038 ","$45,994 ","$44,898 ",,,
2017,20199,2199,County of Atlantic(ACTU),Active,Full Reporter,Northfield,NJ,2010,"Atlantic City, NJ",150,125,"248,402",Existing 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,"$3,109,159 ","$3,421,373 ","$3,464,936 ","$4,486,926 ","$3,917,553 ","$3,504,748 ","$3,652,214 ","$3,817,688 "
2017,20200,2200,South Jersey Transportation Authority(sjta),Active,Reduced Reporter,Camden,NJ,2010,"Atlantic City, NJ",150,125,"248,402",Existing 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,"$1,473,448 ","$2,575,303 ","$2,065,708 ","$1,751,976 ","$1,748,477 ","$2,373,006 ","$2,385,676 "
2017,20201,2201,County of Cumberland(CCET),Active,Reduced Reporter,Bridgeton,NJ,2010,"Philadelphia, PA-NJ-DE-MD",5,"1,981","5,441,567",Existing 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,"$145,471 ","$293,995 ","$343,009 ","$508,986 ","$403,998 ","$490,132 ","$633,928 "
2017,20202,2202,Essex County Division of Training and Employment(ECDTE),Active,Reduced Reporter,East Orange,NJ,2010,"New York-Newark, NY-NJ-CT",1,"3,450","18,351,295",Existing 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,"$1,085,000 ","$1,108,000 ","$1,139,756 ","$1,796,408 ","$1,840,273 ","$1,349,080 ","$1,349,083 "
2017,20203,2203,Cape May County Fare Free Transportation(Fare Free),Active,Reduced Reporter,Cape May Court House,NJ,2010,"Villas, NJ",489,34,"51,291",Existing 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,993,367 ",$0 ,,"$3,123,336 ","$2,703,242 ","$3,488,803 ","$3,188,306 ","$3,218,250 ","$3,107,635 ","$3,432,630 ","$4,160,049 "
2017,20204,2204,"Senior Citizens United Community Services of Camden County, Inc.(SCUCS)",Active,Full Reporter,Audubon,NJ,2010,"Philadelphia, PA-NJ-DE-MD",5,"1,981","5,441,567",Existing 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,955,075 ",$0 ,,$0 ,"$2,872,186 ","$2,064,185 ","$2,367,433 ","$3,896,502 ","$4,212,571 ","$3,656,827 ","$4,301,148 "
2017,20206,2206,Nassau Inter County Express(NICE),Active,Full Reporter,Garden City,NY,2010,"New York-Newark, NY-NJ-CT",1,"3,450","18,351,295",Existing 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,"$134,394,829 ","$121,370,992 ","$128,346,441 ","$155,169,774 ","$155,450,926 ","$131,180,506 "
2013,20207,2207,Hudson Transportation Management Association(HCIAHTMA),Inactive,Reduced Reporter,Jersey City,NJ,2010,"New York-Newark, NY-NJ-CT",1,"3,450","18,351,295",Pre 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,"$335,109 ","$121,127 ",,,,
2017,20208,2208,County of Burlington(BurLink),Active,Reduced Reporter,Mt. Holly,NJ,2010,"Philadelphia, PA-NJ-DE-MD",5,"1,981","5,441,567",Existing 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$3,766,747 ","$2,796,556 ","$974,138 ","$753,651 ","$1,066,215 ","$1,068,065 ","$1,133,261 ","$1,030,945 "
2017,20209,2209,Somerset County Transportation(SCT),Active,Full Reporter,Somerville,NJ,2010,"New York-Newark, NY-NJ-CT",1,"3,450","18,351,295",Existing 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$5,243,319 ",$0 ,$0 ,"$7,178,327 ","$5,219,390 ","$8,376,797 ","$8,023,344 ",$0 ,"$8,276,962 ","$7,981,410 ","$7,976,595 "
2017,20210,2210,County of Morris(MAPS),Active,Reduced Reporter,Morristown,NJ,2010,"New York-Newark, NY-NJ-CT",1,"3,450","18,351,295",Existing 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,567,733 ","$1,858,565 ","$1,805,374 ","$1,841,262 ","$1,488,291 ","$1,711,635 ","$1,582,613 "
2017,20211,2211,County of Mercer(TRADE),Active,Reduced Reporter,Trenton,NJ,2010,"Trenton, NJ",128,106,"296,668",Existing 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,696,330 ","$1,289,717 ","$2,336,237 ","$2,803,582 ","$2,841,958 ","$2,643,263 ","$2,843,779 "
2017,20212,2212,County of Hunterdon(HCLink),Active,Reduced Reporter,Flemington,NJ,2010,"New York-Newark, NY-NJ-CT",1,"3,450","18,351,295",Existing 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$3,631,517 ",$0 ,$0 ,"$3,654,292 ","$2,854,616 ","$1,217,245 ","$2,181,057 ","$2,629,727 ","$2,467,541 ","$3,261,574 ","$2,959,140 "
2017,20213,2213,City of Mechanicville,Active,Reduced Reporter,Mechanicville,NY,2010,"Albany-Schenectady, NY",67,296,"594,962",Existing 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$59,955 ","$72,831 ","$491,039 ","$101,005 ","$83,402 ","$73,926 ","$71,221 ","$65,591 ","$42,216 ","$54,242 ","$62,171 "
2017,20214,2214,Town of Warwick Dial A Bus(Warwick DAB),Active,Reduced Reporter,Warwick,NY,2010,"Poughkeepsie-Newburgh, NY-NJ",89,327,"423,566",Existing 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,"$592,335 ","$682,385 ","$688,241 ","$739,335 ","$696,394 ","$779,034 "
2017,20215,2215,Watertown CitiBus,Active,Reduced Reporter,Watertown,NY,2010,"Watertown, NY",455,41,"57,840",Existing 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$784,164 ","$908,895 ","$730,251 ","$721,831 ","$855,065 ","$850,255 ","$840,232 ","$875,354 ","$784,540 ","$894,217 ","$1,063,865 "
2017,20216,2216,Orange County(OCNY),Active,Reduced Reporter,Goshen,NY,2010,"Poughkeepsie-Newburgh, NY-NJ",89,327,"423,566",Existing 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,$0 ,$0 ,"$710,090 ","$718,109 ","$1,023,810 "
2017,20217,2217,"Hampton Jitney, Inc.",Active,Full Reporter,Southampton,NY,2010,"New York-Newark, NY-NJ-CT",1,"3,450","18,351,295",Existing 2017,,,,,,,,,,,,,,,,,,,,,$0 ,,$0 ,"$22,670,246 ","$35,365,229 ","$26,238,743 ","$25,869,533 "
2017,20219,2219,A&C Bus Corporation & Montgomery & Westside Owners Association,Active,Reduced Reporter,Jersey City,NJ,2010,"New York-Newark, NY-NJ-CT",1,"3,450","18,351,295",Existing 2017,,,,,,,,,,,,,,,,,,,,,$0 ,,$0 ,$0 ,"$6,430,920 ","$6,485,730 ","$6,172,204 "
2017,20220,2220,Broadway Bus Corporation,Active,Reduced Reporter,Bayonne,NJ,2010,"New York-Newark, NY-NJ-CT",1,"3,450","18,351,295",Existing 2017,,,,,,,,,,,,,,,,,,,,,$0 ,,$0 ,$0 ,"$2,046,910 ","$2,202,830 ","$1,914,270 "
2015,20221,2221,Carefree Bus Services,Inactive,Reduced Reporter,East Clifton,NJ,2010,"New York-Newark, NY-NJ-CT",1,"3,450","18,351,295",Pre 2017,,,,,,,,,,,,,,,,,,,,,$0 ,,$0 ,$0 ,"$974,120 ",,
2017,20222,2222,"Saddle River Trail, Inc.(STR)",Active,Reduced Reporter,Wallington,NJ,2010,"New York-Newark, NY-NJ-CT",1,"3,450","18,351,295",Existing 2017,,,,,,,,,,,,,,,,,,,,,$0 ,,$0 ,$0 ,"$1,196,303 ","$1,211,855 ","$1,157,322 "
1995,20909,2909,"Upstate Transit, Inc.",Inactive,Full Reporter,Saratoga Springs,NY,1990,"Albany--Schenectady--Troy, NY",59,209,"509,106",Pre 2017,$0 ,$0 ,$0 ,"$2,701,130 ","$3,099,115 ",,,,,,,,,,,,,,,,,,,,,,
1999,20918,2918,"Carey Transportation, Inc.",Inactive,Full Reporter,New Haven,CT,1990,"New York, NY--Northeastern NJ",1,"2,967","16,044,012",Pre 2017,$0 ,"$14,682,124 ","$14,277,807 ","$13,163,925 ","$14,029,637 ","$14,363,605 ","$14,104,253 ","$11,736,600 ","$6,620,534 ",,,,,,,,,,,,,,,,,,
1994,20920,2920,"Metro Apple Express, Inc.",Inactive,Full Reporter,Brooklyn,NY,1990,"New York, NY--Northeastern NJ",1,"2,967","16,044,012",Pre 2017,$0 ,"$3,994,281 ",$0 ,"$245,033 ",,,,,,,,,,,,,,,,,,,,,,,
1995,20922,2922,Niagra Scenic Bus Lines Inc,Inactive,Full Reporter,Hamburg,NY,1990,"Buffalo--Niagara Falls, NY",34,286,"954,332",Pre 2017,$0 ,"$5,723,861 ","$287,317 ",$0 ,$0 ,,,,,,,,,,,,,,,,,,,,,,
1993,20923,2923,Rockland Coaches Inc.,Inactive,Full Reporter,Bergenfield,NJ,1990,"New York, NY--Northeastern NJ",1,"2,967","16,044,012",Pre 2017,$0 ,"$9,400,443 ","$9,831,720 ",,,,,,,,,,,,,,,,,,,,,,,,
2017,20925,2R02-072,Lewis County,Active,Rural Reporter,Lowville,NY,2010,,,,,Existing 2017,,,,,,,,,,,,,,,,,$0 ,$0 ,$0 ,$0 ,"$609,786 ","$747,698 ","$922,534 ","$905,883 ","$1,042,477 ","$1,077,669 ","$1,204,018 "
2017,20926,2R02-039,Schoharie County Public Transportation,Active,Rural Reporter,Cobleskill,NY,2010,,,,,Existing 2017,,,,,,,,,,,,,,,,,"$1,072,033 ","$1,100,308 ","$1,343,227 ","$1,384,855 ","$1,172,945 ","$1,018,492 ","$1,342,221 ","$1,125,677 ","$1,109,624 ","$1,118,660 ","$1,071,464 "
2015,20927,2R02-049,Village of Lake Placid,Inactive,Rural Reporter,,NY,2010,,,,,Pre 2017,,,,,,,,,,,,,,,,,"$65,507 ","$98,641 ","$173,725 ","$313,043 ","$254,357 ","$408,820 ","$324,227 ","$328,493 ","$192,480 ",,
2017,20928,2R01-014,Warren County(WCT),Active,Rural Reporter,Belvidere,NJ,2010,,,,,Existing 2017,,,,,,,,,,,,,,,,,"$1,793,568 ",$0 ,"$521,829 ","$2,147,668 ","$1,691,459 ","$1,927,241 ","$1,530,676 ","$2,045,506 ","$1,557,097 ","$1,874,202 ","$1,983,596 "
2017,20931,2R02-029,Greene County,Active,Rural Reporter,Catskill,NY,2010,,,,,Existing 2017,,,,,,,,,,,,,,,,,"$66,007 ","$76,333 ","$188,029 ","$87,657 ","$131,327 ","$101,042 ","$111,488 ","$89,124 ","$110,395 ","$407,281 ","$553,643 "
2017,20932,2R02-014,Essex County Department of Community Development,Active,Rural Reporter,Elizabethtown,NY,2010,,,,,Existing 2017,,,,,,,,,,,,,,,,,"$159,970 ","$273,170 ","$202,813 ","$503,591 ","$888,305 ","$647,021 ","$502,631 ","$599,109 ","$776,900 ","$712,577 ","$778,499 "
2017,20933,2R01-009,Monmouth County Division of Transportation,Active,Rural Reporter,Freehold,NJ,2010,,,,,Existing 2017,,,,,,,,,,,,,,,,,"$3,670,782 ",$0 ,$0 ,"$3,708,891 ","$3,040,284 ","$2,616,410 ","$1,969,272 ","$3,231,907 ","$1,739,822 ","$2,375,675 ","$2,487,855 "
2017,20934,2R02-034,Orleans Transit Service,Active,Rural Reporter,Albion,NY,2010,,,,,Existing 2017,,,,,,,,,,,,,,,,,"$404,392 ","$568,552 ","$765,193 ","$918,879 ","$673,943 ","$596,573 ","$644,328 ","$741,282 ","$717,913 ","$748,781 ","$685,716 "
2017,20935,2R02-017,Chenango County,Active,Rural Reporter,Norwich,NY,2010,,,,,Existing 2017,,,,,,,,,,,,,,,,,"$1,920,992 ","$2,468,316 ","$3,928,836 ","$2,813,813 ","$2,963,271 ","$3,312,547 ","$2,685,028 ","$1,698,846 ","$2,300,525 ","$1,616,456 ","$2,090,521 "
2017,20937,2R02-042,Sullivan County Transportation,Active,Rural Reporter,Monticello,NY,2010,,,,,Existing 2017,,,,,,,,,,,,,,,,,"$265,537 ","$143,506 ",$0 ,$0 ,"$28,929 ","$36,688 ","$36,606 ","$38,594 ","$42,094 ","$28,486 ","$37,811 "
2017,20938,2R02-016,RTS Seneca ,Active,Rural Reporter,Rochester,NY,2010,,,,,Existing 2017,,,,,,,,,,,,,,,,,"$176,873 ","$938,351 ","$774,639 ","$1,152,085 ","$700,195 ","$719,331 ","$786,063 ","$871,779 ","$898,413 ","$911,871 ","$999,580 "
2017,20939,2R02-018,Clinton County,Active,Rural Reporter,Plattsburgh,NY,2010,,,,,Existing 2017,,,,,,,,,,,,,,,,,"$1,157,715 ","$982,323 ","$2,908,342 ","$2,642,910 ","$1,412,684 ","$1,336,299 ","$1,304,474 ","$1,383,298 ","$1,239,301 ","$1,141,901 ","$1,384,456 "
2017,20940,2R02-056,Madison County,Active,Rural Reporter,Norwich,NY,2010,,,,,Existing 2017,,,,,,,,,,,,,,,,,$0 ,"$300,158 ","$1,070,448 ","$735,895 ","$516,662 ","$710,648 ","$417,388 ","$502,078 ","$704,039 ","$649,578 ","$724,727 "
2017,20941,2R02-019,First Transit - Corning,Active,Rural Reporter,Hudsonville,NY,2010,,,,,Existing 2017,,,,,,,,,,,,,,,,,"$556,519 ","$647,469 ","$705,984 ","$745,854 ","$1,084,777 ","$1,179,679 ","$886,223 ","$890,507 ","$929,942 ","$960,115 ","$942,824 "
2017,20942,2R02-035,Oswego County,Active,Rural Reporter,Oswego,NY,2010,,,,,Existing 2017,,,,,,,,,,,,,,,,,"$3,528,209 ","$3,843,956 ","$4,490,028 ","$4,192,811 ","$4,465,242 ","$5,343,705 ","$4,926,602 ","$4,703,499 ","$4,314,019 ","$3,536,043 ","$3,482,630 "
2017,20944,2R01-015,Salem County,Active,Rural Reporter,Salem,NJ,2010,,,,,Existing 2017,,,,,,,,,,,,,,,,,$0 ,$0 ,$0 ,"$777,638 ","$760,221 ","$994,114 ","$528,620 ","$751,868 ","$427,114 ","$409,327 ","$517,165 "
2017,20945,2R02-073,Schuyler County,Active,Rural Reporter,Watkins Glen,NY,2010,,,,,Existing 2017,,,,,,,,,,,,,,,,,"$253,202 ","$325,245 ","$335,627 ",$0 ,"$127,842 ","$279,579 ","$290,762 ","$405,887 ","$411,882 ","$420,216 ","$482,888 "
2017,20946,2R02-022,First Transit - Steuben,Active,Rural Reporter,Hudsonville,NY,2010,,,,,Existing 2017,,,,,,,,,,,,,,,,,"$230,091 ","$333,178 ","$302,133 ","$352,970 ","$634,957 ","$322,198 ","$315,573 ","$326,835 ","$334,800 ","$1,069,788 ","$1,180,117 "
2017,20947,2R02-058,RTS Genesee,Active,Rural Reporter,Batavia,NY,2010,,,,,Existing 2017,,,,,,,,,,,,,,,,,"$1,525,253 ","$862,872 ","$780,819 ","$1,383,786 ","$843,494 ","$870,223 ","$1,166,655 ","$1,013,400 ","$1,049,959 ","$997,698 ","$1,142,167 "
2017,20950,2R01-013,Sussex County Transit(Skylands Ride),Active,Rural Reporter,Hamburg,NJ,2010,,,,,Existing 2017,,,,,,,,,,,,,,,,,"$1,530,829 ",$0 ,$0 ,"$1,733,406 ","$2,046,387 ","$2,335,835 ","$1,847,924 ","$2,058,589 ","$2,003,313 ","$2,081,989 ","$1,924,451 "
2017,20951,2R02-015,Allegany County,Active,Rural Reporter,Belmont,NY,2010,,,,,Existing 2017,,,,,,,,,,,,,,,,,"$702,853 ","$1,053,640 ","$759,081 ","$1,549,964 ","$1,783,480 ","$1,436,813 ","$918,356 ","$910,487 ","$960,838 ","$836,111 ","$858,319 "
2017,20952,2R02-057,Montgomery County,Active,Rural Reporter,Fonda,NY,2010,,,,,Existing 2017,,,,,,,,,,,,,,,,,"$295,517 ","$316,421 ","$647,707 ","$661,847 ","$1,152,723 ","$565,467 ","$577,943 ","$500,517 ","$788,789 ","$875,850 ","$695,339 "
2017,20953,2R02-026,Hornell Area Transit,Active,Rural Reporter,Hornell,NY,2010,,,,,Existing 2017,,,,,,,,,,,,,,,,,"$892,889 ","$839,194 ","$1,110,448 ","$1,646,687 ","$1,007,140 ","$854,418 ","$866,654 ","$853,627 ","$876,229 ","$929,815 ","$984,856 "
2017,20954,2R02-044,Town of Goshen,Active,Rural Reporter,Goshen,NY,2010,,,,,Existing 2017,,,,,,,,,,,,,,,,,"$133,053 ","$279,623 ","$340,788 ","$283,286 ","$342,198 ","$317,470 ","$330,628 ","$225,954 ","$175,007 ","$202,288 ","$204,244 "
