Last Report Year,NTD ID,AgencyID,Agency Name,Agency Status,Reporter Type,City,State,Census Year,UZA Name,UZA,UZA Area SQ Miles,UZA Population,2017 Status,Mode,Service,Mode Status,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
2017,20950,2R01-013,Sussex County Transit(Skylands Ride),Active,Rural Reporter,Hamburg,NJ,2010,,,,,Existing 2017,DR,DO,Operating,,,,,,,,,,,,,,,,,,,,,,,,,"$1,100,719 ","$1,360,607 ","$1,274,873 "
2017,20950,2R01-013,Sussex County Transit(Skylands Ride),Active,Rural Reporter,Hamburg,NJ,2010,,,,,Existing 2017,MB,DO,Operating,,,,,,,,,,,,,,,,,,,,,,,,,"$902,594 ","$721,382 ","$649,578 "
2017,20951,2R02-015,Allegany County,Active,Rural Reporter,Belmont,NY,2010,,,,,Existing 2017,MB,PT,Operating,,,,,,,,,,,,,,,,,,,,,,,,,"$960,838 ","$836,111 ","$858,319 "
2017,20952,2R02-057,Montgomery County,Active,Rural Reporter,Fonda,NY,2010,,,,,Existing 2017,CB,DO,Operating,,,,,,,,,,,,,,,,,,,,,,,,,"$400,000 ","$525,510 ","$382,436 "
2017,20952,2R02-057,Montgomery County,Active,Rural Reporter,Fonda,NY,2010,,,,,Existing 2017,MB,DO,Operating,,,,,,,,,,,,,,,,,,,,,,,,,"$388,789 ","$350,340 ","$312,903 "
2017,20953,2R02-026,Hornell Area Transit,Active,Rural Reporter,Hornell,NY,2010,,,,,Existing 2017,MB,DO,Operating,,,,,,,,,,,,,,,,,,,,,,,,,"$876,229 ","$929,815 ","$984,856 "
2017,20954,2R02-044,Town of Goshen,Active,Rural Reporter,Goshen,NY,2010,,,,,Existing 2017,MB,DO,Operating,,,,,,,,,,,,,,,,,,,,,,,,,"$175,007 ","$202,288 ","$204,244 "
2017,20957,2R02-031,County of Niagara,Active,Rural Reporter,Lockport,NY,2010,,,,,Existing 2017,MB,PT,Operating,,,,,,,,,,,,,,,,,,,,,,,,,"$502,774 ","$503,553 ","$513,767 "
2017,20958,2R02-055,Cortland County,Active,Rural Reporter,Cortland,NY,2010,,,,,Existing 2017,DR,PT,Operating,,,,,,,,,,,,,,,,,,,,,,,,,"$144,754 ","$43,770 ","$31,797 "
2017,20958,2R02-055,Cortland County,Active,Rural Reporter,Cortland,NY,2010,,,,,Existing 2017,MB,PT,Operating,,,,,,,,,,,,,,,,,,,,,,,,,"$1,303,265 ","$1,415,224 ","$1,381,390 "
2017,20959,2R02-010,Chautauqua County(Warwick DAB),Active,Rural Reporter,Warwick,NY,2010,,,,,Existing 2017,DR,PT,Operating,,,,,,,,,,,,,,,,,,,,,,,,,"$751,551 ","$566,852 ","$652,029 "
2017,20959,2R02-010,Chautauqua County(Warwick DAB),Active,Rural Reporter,Warwick,NY,2010,,,,,Existing 2017,MB,PT,Operating,,,,,,,,,,,,,,,,,,,,,,,,,"$2,254,651 ","$2,416,581 ","$2,429,237 "
2017,20960,2R02-053,City of Oneonta,Active,Rural Reporter,Oneonta,NY,2010,,,,,Existing 2017,CB,DO,Operating,,,,,,,,,,,,,,,,,,,,,,,,,"$79,923 ","$5,502 ","$16,459 "
2017,20960,2R02-053,City of Oneonta,Active,Rural Reporter,Oneonta,NY,2010,,,,,Existing 2017,DR,DO,Operating,,,,,,,,,,,,,,,,,,,,,,,,,"$79,923 ","$10,115 ","$53,885 "
2017,20960,2R02-053,City of Oneonta,Active,Rural Reporter,Oneonta,NY,2010,,,,,Existing 2017,MB,DO,Operating,,,,,,,,,,,,,,,,,,,,,,,,,"$1,438,622 ","$1,759,016 ","$1,689,690 "
2016,20961,2R01-001,Township of West Milford,Inactive,Rural Reporter,,NJ,2010,,,,,Pre 2017,DR,DO,Discontinued,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,20961,2R01-001,Township of West Milford,Inactive,Rural Reporter,,NJ,2010,,,,,Pre 2017,MB,DO,Discontinued,,,,,,,,,,,,,,,,,,,,,,,,,"$160,882 ","$92,511 ",
2017,20962,2R02-030,RTS Livingston ,Active,Rural Reporter,Mt. Morris,NY,2010,,,,,Existing 2017,DR,DO,Discontinued,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,20962,2R02-030,RTS Livingston ,Active,Rural Reporter,Mt. Morris,NY,2010,,,,,Existing 2017,MB,DO,Operating,,,,,,,,,,,,,,,,,,,,,,,,,"$1,683,926 ","$1,758,388 ","$1,764,809 "
2017,20964,2R02-028,Fulton County,Active,Rural Reporter,Johnstown,NY,2010,,,,,Existing 2017,CB,DO,Discontinued,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,20964,2R02-028,Fulton County,Active,Rural Reporter,Johnstown,NY,2010,,,,,Existing 2017,MB,PT,Operating,,,,,,,,,,,,,,,,,,,,,,,,,"$224,209 ","$230,430 ","$194,630 "
2017,20967,2R02-020,RTS Ontario,Active,Rural Reporter,Hudsonville,NY,2010,,,,,Existing 2017,DR,DO,Discontinued,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,20967,2R02-020,RTS Ontario,Active,Rural Reporter,Hudsonville,NY,2010,,,,,Existing 2017,MB,DO,Operating,,,,,,,,,,,,,,,,,,,,,,,,,"$2,485,771 ","$3,723,839 ","$3,601,071 "
2017,20968,2R02-037,Rensselaer County Planning Department,Active,Rural Reporter,Troy,NY,2010,,,,,Existing 2017,CB,PT,Operating,,,,,,,,,,,,,,,,,,,,,,,,,"$131,212 ","$129,776 ","$147,480 "
2017,20968,2R02-037,Rensselaer County Planning Department,Active,Rural Reporter,Troy,NY,2010,,,,,Existing 2017,MB,DO,Discontinued,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,20970,2R02-002,Amsterdam Transportation Department(Centro of Oswego),Active,Rural Reporter,Syracuse,NY,2010,,,,,Existing 2017,CB,DO,Operating,,,,,,,,,,,,,,,,,,,,,,,,,"$138,407 ","$110,944 ","$106,224 "
2017,20970,2R02-002,Amsterdam Transportation Department(Centro of Oswego),Active,Rural Reporter,Syracuse,NY,2010,,,,,Existing 2017,MB,DO,Operating,,,,,,,,,,,,,,,,,,,,,,,,,"$553,628 ","$443,778 ","$439,155 "
2017,20973,2R02-046,Town of Montgomery,Active,Rural Reporter,Montgomery,NY,2010,,,,,Existing 2017,MB,DO,Operating,,,,,,,,,,,,,,,,,,,,,,,,,"$340,657 ","$364,250 ","$374,379 "
2017,20975,2R02-061,First Transit-Olean,Active,Rural Reporter,Hudsonville,NY,2010,,,,,Existing 2017,MB,DO,Operating,,,,,,,,,,,,,,,,,,,,,,,,,"$478,833 ","$640,920 ","$680,626 "
2017,20980,2R02-052,Wyoming Transit Service,Active,Rural Reporter,Warsaw,NY,2010,,,,,Existing 2017,MB,DO,Operating,,,,,,,,,,,,,,,,,,,,,,,,,"$1,234,973 ","$1,064,817 ","$1,096,200 "
2017,20981,2R02-025,Gloversville City Hall,Active,Rural Reporter,Gloversville,NY,2010,,,,,Existing 2017,CB,DO,Discontinued,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,20981,2R02-025,Gloversville City Hall,Active,Rural Reporter,Gloversville,NY,2010,,,,,Existing 2017,DR,DO,Operating,,,,,,,,,,,,,,,,,,,,,,,,,"$398,682 ","$147,122 ","$117,063 "
2017,20981,2R02-025,Gloversville City Hall,Active,Rural Reporter,Gloversville,NY,2010,,,,,Existing 2017,MB,DO,Operating,,,,,,,,,,,,,,,,,,,,,,,,,"$398,683 ","$833,691 ","$645,706 "
2017,20983,2R02-051,Wayne Area Transportation Service,Active,Rural Reporter,Lyons,NY,2010,,,,,Existing 2017,MB,DO,Operating,,,,,,,,,,,,,,,,,,,,,,,,,"$2,353,132 ","$2,293,014 ","$2,207,696 "
2015,20984,2R02-004,Birnie Bus -  Otsego,Inactive,Rural Reporter,,NY,2010,,,,,Pre 2017,DR,DO,Discontinued,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,20984,2R02-004,Birnie Bus -  Otsego,Inactive,Rural Reporter,,NY,2010,,,,,Pre 2017,MB,DO,Discontinued,,,,,,,,,,,,,,,,,,,,,,,,,"$485,639 ",,
2015,20985,2R02-083,ARC (Allegany),Inactive,Rural Reporter,,NY,2010,,,,,Pre 2017,MB,DO,Discontinued,,,,,,,,,,,,,,,,,,,,,,,,,"$91,114 ",,
2017,20988,2R02-012,City of Port Jervis,Active,Rural Reporter,Port Jervis,NY,2010,,,,,Existing 2017,MB,DO,Operating,,,,,,,,,,,,,,,,,,,,,,,,,"$191,842 ","$175,253 ","$179,134 "
2017,20989,2R02-005,Herkimer County,Active,Rural Reporter,Herkimer,NY,2010,,,,,Existing 2017,MB,PT,Operating,,,,,,,,,,,,,,,,,,,,,,,,,,,"$64,760 "
2017,20990,2R02-059,Oneida County,Active,Rural Reporter,Utica,NY,2010,,,,,Existing 2017,CB,DO,Discontinued,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,20990,2R02-059,Oneida County,Active,Rural Reporter,Utica,NY,2010,,,,,Existing 2017,MB,PT,Operating,,,,,,,,,,,,,,,,,,,,,,,,,"$906,018 ","$758,327 ","$951,718 "
2017,20991,2R02-038,St Lawrence County,Active,Rural Reporter,Canton,NY,2010,,,,,Existing 2017,MB,PT,Operating,,,,,,,,,,,,,,,,,,,,,,,,,"$729,343 ","$427,962 ","$610,572 "
2017,20992,2R02-024,Franklin County Public Transportation,Active,Rural Reporter,Malone,NY,2010,,,,,Existing 2017,CB,PT,Operating,,,,,,,,,,,,,,,,,,,,,,,,,,"$108,931 ","$309,159 "
2017,20992,2R02-024,Franklin County Public Transportation,Active,Rural Reporter,Malone,NY,2010,,,,,Existing 2017,DR,PT,Operating,,,,,,,,,,,,,,,,,,,,,,,,,,"$392,151 ","$320,573 "
2017,20992,2R02-024,Franklin County Public Transportation,Active,Rural Reporter,Malone,NY,2010,,,,,Existing 2017,MB,PT,Operating,,,,,,,,,,,,,,,,,,,,,,,,,"$1,095,813 ","$588,225 ","$584,560 "
2015,20994,2R02-063,ARC of Steuben,Inactive,Rural Reporter,,NY,2010,,,,,Pre 2017,MB,DO,Discontinued,,,,,,,,,,,,,,,,,,,,,,,,,"$859,000 ",,
2015,20996,2R02-089,Arc Otsego,Inactive,Rural Reporter,,NY,2010,,,,,Pre 2017,MB,PT,Discontinued,,,,,,,,,,,,,,,,,,,,,,,,,"$165,073 ",,
2015,20997,2R02-090,Village of Cooperstown Trolley,Inactive,Rural Reporter,,NY,2010,,,,,Pre 2017,MB,DO,Discontinued,,,,,,,,,,,,,,,,,,,,,,,,,"$109,893 ",,
2017,20998,,Otsego County,Active,Rural Reporter,Cooperstown,NY,2010,,,,,Existing 2017,MB,PT,Operating,,,,,,,,,,,,,,,,,,,,,,,,,,"$891,331 ","$952,008 "
2017,20999,,Columbia County-NY,Active,Rural Reporter,Hudson,NY,2010,,,,,Existing 2017,CB,PT,Operating,,,,,,,,,,,,,,,,,,,,,,,,,,"$159,159 ","$311,881 "
2017,20999,,Columbia County-NY,Active,Rural Reporter,Hudson,NY,2010,,,,,Existing 2017,MB,PT,Operating,,,,,,,,,,,,,,,,,,,,,,,,,,"$323,141 ","$196,566 "
2017,21000,,Yates County,Active,Rural Reporter,Penn Yan,NY,2010,,,,,New in 2017,MB,DO,Operating,,,,,,,,,,,,,,,,,,,,,,,,,,,"$663,880 "
2017,22929,2T02,Seneca Nation of Indians(SNI),Active,Reduced Reporter,Salamanca,NY,2010,New York Non-UZA,0,0,0,Existing 2017,MB,PT,Operating,,,,,,,,,,,,,,,,,,,,,,,,,"$376,154 ","$457,873 ","$499,417 "
2017,22930,,New York City Economic Development Corporation(NYCEDC),Active,Full Reporter,New York,NY,2010,"New York-Newark, NY-NJ-CT",1,"3,450","18,351,295",Existing 2017,FB,PT,Operating,,,,,,,,,,,,,,,,,,,,,,,,,"$8,539,592 ","$9,579,022 ","$21,209,294 "
2017,30001,3001,Kanawha Valley Regional Transportation Authority(KVRTA),Active,Full Reporter,Charleston,WV,2010,"Charleston, WV",214,98,"153,199",Existing 2017,DR,DO,Operating,"$248,000 ","$372,010 ","$455,964 ","$481,496 ","$476,881 ","$515,683 ","$583,881 ","$543,069 ","$573,897 ","$636,965 ","$635,085 ","$705,912 ","$772,654 ","$856,541 ","$856,727 ","$831,905 ","$830,236 ","$863,634 ","$936,289 ","$1,040,917 ","$1,016,853 ","$1,039,308 ","$958,768 ","$1,012,533 ","$1,025,600 ","$877,591 ","$896,739 "
2017,30001,3001,Kanawha Valley Regional Transportation Authority(KVRTA),Active,Full Reporter,Charleston,WV,2010,"Charleston, WV",214,98,"153,199",Existing 2017,MB,DO,Operating,"$6,031,702 ","$6,205,300 ","$6,058,596 ","$6,276,011 ","$6,285,930 ","$6,393,073 ","$6,453,419 ","$6,562,422 ","$6,838,999 ","$7,031,537 ","$7,083,528 ","$7,928,046 ","$8,211,368 ","$8,802,498 ","$9,149,112 ","$8,554,945 ","$8,622,048 ","$9,144,362 ","$9,849,851 ","$10,684,717 ","$10,785,260 ","$11,244,406 ","$10,713,654 ","$10,979,736 ","$10,985,781 ","$10,879,447 ","$11,168,762 "
2017,30002,3002,The Tri-State Transit Authority(TTA),Active,Full Reporter,Huntington,WV,2010,"Huntington, WV-KY-OH",178,130,"202,637",Existing 2017,DR,DO,Operating,,,,,,,,"$209,982 ","$237,832 ","$256,874 ","$303,835 ","$329,997 ","$374,662 ","$401,076 ","$433,364 ","$526,049 ","$529,849 ","$596,140 ","$607,802 ","$686,722 ","$652,057 ","$692,147 ","$743,191 ","$788,631 ","$738,093 ","$761,316 ","$821,747 "
2017,30002,3002,The Tri-State Transit Authority(TTA),Active,Full Reporter,Huntington,WV,2010,"Huntington, WV-KY-OH",178,130,"202,637",Existing 2017,DR,PT,Discontinued,"$62,114 ","$67,688 ","$94,162 ","$109,572 ","$139,827 ","$143,465 ","$175,313 ","$86,885 ",,,,,,,,,,,,,$0 ,$0 ,,$0 ,,,
2017,30002,3002,The Tri-State Transit Authority(TTA),Active,Full Reporter,Huntington,WV,2010,"Huntington, WV-KY-OH",178,130,"202,637",Existing 2017,MB,DO,Operating,"$2,042,688 ","$2,100,301 ","$2,107,445 ","$2,135,904 ","$2,301,752 ","$2,375,069 ","$2,368,790 ","$2,503,299 ","$2,644,435 ","$2,821,264 ","$3,244,005 ","$3,415,296 ","$3,620,103 ","$3,503,489 ","$3,603,568 ","$4,169,160 ","$4,197,965 ","$4,621,114 ","$4,794,019 ","$5,206,862 ","$5,579,969 ","$5,957,043 ","$5,638,951 ","$5,772,893 ","$5,674,836 ","$5,178,749 ","$5,637,564 "
2017,30003,3003,Mid-Ohio Valley Transit Authority(Easy Rider),Active,Reduced Reporter,Parkersburg,WV,2010,"Parkersburg, WV-OH",411,42,"67,229",Existing 2017,DR,DO,Operating,"$73,455 ","$89,059 ","$134,979 ","$135,557 ",,,,,,"$131,235 ","$181,864 ","$198,314 ","$236,346 ",,,,,,,"$231,931 ","$190,413 ","$195,429 ","$155,539 ","$176,059 ","$271,858 ","$147,776 ","$144,245 "
2017,30003,3003,Mid-Ohio Valley Transit Authority(Easy Rider),Active,Reduced Reporter,Parkersburg,WV,2010,"Parkersburg, WV-OH",411,42,"67,229",Existing 2017,MB,DO,Operating,"$824,113 ","$801,527 ","$764,882 ","$768,153 ",,,,,,"$1,061,814 ","$1,154,344 ","$1,287,433 ","$1,492,293 ",,,,,,,"$2,321,789 ","$2,595,583 ","$2,956,111 ","$2,867,673 ","$2,937,235 ","$3,338,975 ","$3,210,870 ","$3,134,071 "
1999,30004,3004,Peninsula Transportation District Commission,Inactive,Full Reporter,Hampton,VA,1990,"Norfolk--Virginia Beach--Newport News, VA",24,664,"1,323,098",Pre 2017,DR,DO,Discontinued,"$497,357 ","$609,919 ","$722,630 ","$788,046 ","$886,157 ","$582,055 ",,,,,,,,,,,,,,,,,,,,,
1999,30004,3004,Peninsula Transportation District Commission,Inactive,Full Reporter,Hampton,VA,1990,"Norfolk--Virginia Beach--Newport News, VA",24,664,"1,323,098",Pre 2017,DR,PT,Discontinued,"$21,148 ","$11,464 ","$11,140 ","$10,455 ","$20,136 ","$262,031 ","$1,011,218 ","$1,066,339 ","$1,312,061 ",,,,,,,,,,,,,,,,,,
1999,30004,3004,Peninsula Transportation District Commission,Inactive,Full Reporter,Hampton,VA,1990,"Norfolk--Virginia Beach--Newport News, VA",24,664,"1,323,098",Pre 2017,FB,PT,Discontinued,,,,,,,,,"$221,251 ",,,,,,,,,,,,,,,,,,
1999,30004,3004,Peninsula Transportation District Commission,Inactive,Full Reporter,Hampton,VA,1990,"Norfolk--Virginia Beach--Newport News, VA",24,664,"1,323,098",Pre 2017,MB,DO,Discontinued,"$7,577,537 ","$8,046,384 ","$7,854,641 ","$8,947,862 ","$9,936,201 ","$10,010,449 ","$11,007,721 ","$12,078,901 ","$13,313,532 ",,,,,,,,,,,,,,,,,,
1999,30005,3005,Tidewater Transportation District Commission,Inactive,Full Reporter,Norfolk,VA,1990,"Norfolk--Virginia Beach--Newport News, VA",24,664,"1,323,098",Pre 2017,DR,DO,Discontinued,"$1,908,665 ","$2,156,598 ","$2,046,619 ","$2,101,269 ","$1,998,659 ","$2,058,434 ","$2,337,803 ","$2,740,891 ","$2,800,876 ",,,,,,,,,,,,,,,,,,
1999,30005,3005,Tidewater Transportation District Commission,Inactive,Full Reporter,Norfolk,VA,1990,"Norfolk--Virginia Beach--Newport News, VA",24,664,"1,323,098",Pre 2017,DR,PT,Discontinued,,,,"$42,227 ","$196,731 ","$416,464 ","$610,074 ","$490,475 ","$454,297 ",,,,,,,,,,,,,,,,,,
1999,30005,3005,Tidewater Transportation District Commission,Inactive,Full Reporter,Norfolk,VA,1990,"Norfolk--Virginia Beach--Newport News, VA",24,664,"1,323,098",Pre 2017,FB,PT,Discontinued,"$555,727 ","$618,237 ","$542,982 ","$523,124 ","$531,617 ","$592,093 ","$550,189 ","$610,498 ","$580,150 ",,,,,,,,,,,,,,,,,,
1999,30005,3005,Tidewater Transportation District Commission,Inactive,Full Reporter,Norfolk,VA,1990,"Norfolk--Virginia Beach--Newport News, VA",24,664,"1,323,098",Pre 2017,MB,DO,Discontinued,"$17,106,853 ","$17,573,699 ","$17,847,357 ","$18,092,306 ","$18,208,986 ","$18,676,325 ","$19,089,584 ","$21,744,548 ","$21,468,174 ",,,,,,,,,,,,,,,,,,
1999,30005,3005,Tidewater Transportation District Commission,Inactive,Full Reporter,Norfolk,VA,1990,"Norfolk--Virginia Beach--Newport News, VA",24,664,"1,323,098",Pre 2017,VP,DO,Discontinued,"$166,545 ","$166,223 ","$177,374 ","$162,293 ","$87,210 ","$98,967 ","$116,864 ","$170,738 ","$131,411 ",,,,,,,,,,,,,,,,,,
2017,30006,3006,Greater Richmond Transit Company(GRTC Transit System),Active,Full Reporter,Richmond,VA,2010,"Richmond, VA",45,492,"953,556",Existing 2017,DR,DO,Discontinued,,,,,,,,,,,,,,,,,"$15,908 ","$243,877 ","$5,550,748 ","$6,946,986 ","$6,892,712 ","$3,527,481 ",,$0 ,,,
2017,30006,3006,Greater Richmond Transit Company(GRTC Transit System),Active,Full Reporter,Richmond,VA,2010,"Richmond, VA",45,492,"953,556",Existing 2017,DR,PT,Operating,"$1,515,436 ","$1,308,792 ","$1,393,777 ","$1,387,860 ","$1,397,282 ","$1,479,343 ","$1,676,381 ","$1,802,127 ","$1,893,274 ","$2,030,284 ","$2,891,107 ","$3,310,371 ","$3,436,052 ","$3,406,934 ","$3,394,724 ","$3,408,761 ","$4,133,619 ","$4,793,953 ","$819,394 ",,$0 ,"$4,111,214 ","$6,962,265 ","$6,928,186 ","$6,670,304 ","$6,689,938 ","$6,658,813 "
2017,30006,3006,Greater Richmond Transit Company(GRTC Transit System),Active,Full Reporter,Richmond,VA,2010,"Richmond, VA",45,492,"953,556",Existing 2017,MB,DO,Operating,"$18,302,158 ","$18,864,461 ","$18,853,014 ","$19,452,794 ","$17,547,296 ","$18,560,178 ","$20,171,900 ","$19,973,340 ","$20,897,301 ","$21,849,685 ","$24,356,390 ","$25,157,783 ","$26,595,285 ","$27,091,097 ","$27,885,019 ","$30,713,769 ","$33,990,591 ","$36,813,968 ","$38,513,651 ","$39,696,592 ","$37,234,551 ","$38,436,162 ","$38,178,547 ","$37,697,868 ","$36,873,988 ","$37,568,271 ","$37,369,854 "
2017,30006,3006,Greater Richmond Transit Company(GRTC Transit System),Active,Full Reporter,Richmond,VA,2010,"Richmond, VA",45,492,"953,556",Existing 2017,MB,PT,Discontinued,,,,,,,,,,,,,,,,,"$38,324 ","$257,587 ","$313,504 ","$326,904 ","$354,197 ",$0 ,,$0 ,,,
2017,30006,3006,Greater Richmond Transit Company(GRTC Transit System),Active,Full Reporter,Richmond,VA,2010,"Richmond, VA",45,492,"953,556",Existing 2017,RB,DO,Building,,,,,,,,,,,,,,,,,,,,,,,,,,$0 ,$0 
2017,30006,3006,Greater Richmond Transit Company(GRTC Transit System),Active,Full Reporter,Richmond,VA,2010,"Richmond, VA",45,492,"953,556",Existing 2017,VP,PT,Operating,,,,,,,,"$115,557 ","$88,762 ","$304,524 ","$340,465 ","$340,469 ","$443,100 ","$497,000 ","$481,263 ","$591,665 ","$1,162,985 ","$1,452,812 ","$1,674,341 ","$1,932,011 ","$1,982,980 ","$2,216,121 ","$2,440,894 ","$2,303,456 ","$1,828,986 ","$1,824,897 ","$2,058,659 "
2017,30007,3007,Greater Roanoke Transit Company(Valley Metro),Active,Full Reporter,Roanoke,VA,2010,"Roanoke, VA",172,124,"210,111",Existing 2017,CB,DO,Operating,,,,,,,,,,,,,,,,,,,,,,,"$279,863 ","$320,581 ","$327,335 ","$296,683 ","$289,874 "
2017,30007,3007,Greater Roanoke Transit Company(Valley Metro),Active,Full Reporter,Roanoke,VA,2010,"Roanoke, VA",172,124,"210,111",Existing 2017,DR,PT,Operating,"$34,814 ","$57,235 ","$108,992 ","$158,363 ","$262,050 ","$272,232 ","$280,192 ","$300,093 ","$335,715 ","$378,942 ","$381,763 ","$444,235 ","$539,491 ","$623,201 ","$723,998 ","$796,158 ","$889,210 ","$1,036,913 ","$1,086,840 ","$1,027,013 ","$1,051,698 ","$1,681,845 ","$1,619,189 ","$1,871,900 ","$1,951,488 ","$1,834,637 ","$1,884,130 "
2017,30007,3007,Greater Roanoke Transit Company(Valley Metro),Active,Full Reporter,Roanoke,VA,2010,"Roanoke, VA",172,124,"210,111",Existing 2017,MB,DO,Operating,"$3,055,810 ","$3,039,361 ","$3,152,133 ","$3,165,203 ","$3,285,885 ","$3,412,770 ","$3,475,223 ","$3,543,503 ","$3,631,709 ","$3,710,057 ","$4,198,798 ","$4,309,302 ","$4,661,638 ","$4,985,780 ","$5,534,724 ","$5,987,860 ","$6,187,868 ","$6,509,001 ","$6,808,995 ","$6,688,633 ","$7,183,875 ","$7,245,495 ","$7,135,589 ","$7,083,726 ","$7,286,263 ","$7,011,634 ","$7,046,791 "
2017,30008,3008,Greater Lynchburg Transit Company(GLTC),Active,Full Reporter,Lynchburg,VA,2010,"Lynchburg, VA",271,89,"116,636",Existing 2017,DR,DO,Operating,"$66,301 ","$61,948 ","$58,777 ","$66,789 ","$76,050 ","$70,113 ","$90,849 ","$82,459 ","$93,346 ","$98,417 ","$137,584 ","$125,072 ","$149,450 ","$160,449 ","$179,080 ","$210,940 ","$253,238 ","$293,489 ","$475,082 ","$603,040 ","$771,044 ","$897,194 ","$697,193 ","$797,788 ","$793,493 ","$748,289 ","$769,447 "
2017,30008,3008,Greater Lynchburg Transit Company(GLTC),Active,Full Reporter,Lynchburg,VA,2010,"Lynchburg, VA",271,89,"116,636",Existing 2017,MB,DO,Operating,"$2,303,502 ","$2,468,157 ","$2,457,752 ","$2,375,770 ","$2,477,468 ","$2,361,458 ","$2,361,668 ","$2,446,970 ","$2,395,628 ","$2,732,879 ","$2,866,267 ","$3,005,374 ","$3,280,673 ","$3,434,636 ","$3,543,369 ","$3,973,835 ","$4,598,371 ","$5,442,253 ","$5,884,752 ","$6,038,072 ","$6,343,067 ","$5,541,382 ","$5,582,429 ","$5,945,120 ","$6,576,559 ","$6,656,044 ","$7,265,388 "
2017,30009,3009,Petersburg Area Transit(PAT),Active,Reduced Reporter,Petersburg,VA,2010,"Richmond, VA",45,492,"953,556",Existing 2017,DR,DO,Operating,,,,,,,,,,,,,,"$120,822 ","$133,405 ","$147,704 ","$158,448 ","$219,402 ","$200,889 ","$223,332 ","$165,637 ","$154,190 ","$163,824 ","$179,385 ","$175,343 ","$113,924 ","$127,348 "
2017,30009,3009,Petersburg Area Transit(PAT),Active,Reduced Reporter,Petersburg,VA,2010,"Richmond, VA",45,492,"953,556",Existing 2017,DR,PT,Discontinued,"$52,559 ","$52,777 ","$57,592 ","$53,228 ","$53,750 ","$54,955 ","$60,155 ","$62,122 ","$64,770 ","$64,464 ","$67,081 ","$89,231 ","$88,495 ",,,,,,,,$0 ,$0 ,,$0 ,,,
2017,30009,3009,Petersburg Area Transit(PAT),Active,Reduced Reporter,Petersburg,VA,2010,"Richmond, VA",45,492,"953,556",Existing 2017,MB,DO,Operating,"$880,448 ","$869,128 ","$848,120 ","$884,084 ","$859,454 ","$940,251 ","$905,078 ","$938,360 ","$1,073,680 ","$1,310,868 ","$1,328,510 ","$1,390,586 ","$1,387,797 ","$1,471,511 ","$1,606,890 ","$2,103,542 ","$2,450,335 ","$2,538,220 ","$2,390,555 ","$2,310,440 ","$2,548,526 ","$2,751,994 ","$2,350,242 ","$3,081,433 ","$2,985,320 ","$3,487,490 ","$3,122,888 "
2017,30010,3010,Lehigh and Northampton Transportation Authority(LANTA),Active,Full Reporter,Allentown,PA,2010,"Allentown, PA-NJ",61,346,"664,651",Existing 2017,DR,PT,Operating,"$2,250,256 ","$2,381,946 ","$2,443,980 ","$2,550,788 ","$2,983,348 ","$3,304,395 ","$4,050,898 ","$4,635,136 ","$5,070,972 ","$4,876,529 ","$5,614,120 ","$6,494,511 ","$7,301,848 ","$7,802,298 ","$8,153,291 ","$8,489,598 ","$8,355,286 ","$9,658,034 ","$10,143,845 ","$10,467,656 ","$10,821,473 ","$11,156,170 ","$11,080,788 ","$11,506,566 ","$11,267,949 ","$11,660,131 ","$11,460,682 "
2017,30010,3010,Lehigh and Northampton Transportation Authority(LANTA),Active,Full Reporter,Allentown,PA,2010,"Allentown, PA-NJ",61,346,"664,651",Existing 2017,MB,DO,Operating,"$6,358,561 ","$6,373,189 ","$6,800,027 ","$6,968,123 ","$7,382,656 ","$7,302,256 ","$6,944,839 ","$7,789,875 ","$9,015,300 ","$9,733,425 ","$9,857,109 ","$10,572,044 ","$11,701,835 ","$13,249,450 ","$13,824,570 ","$13,526,245 ","$15,247,483 ","$16,392,209 ","$17,748,334 ","$17,974,773 ","$18,938,399 ","$20,293,768 ","$20,484,272 ","$22,509,080 ","$22,111,580 ","$25,761,275 ","$23,235,384 "
2017,30010,3010,Lehigh and Northampton Transportation Authority(LANTA),Active,Full Reporter,Allentown,PA,2010,"Allentown, PA-NJ",61,346,"664,651",Existing 2017,MB,PT,Discontinued,"$125,492 ","$160,469 ","$272,764 ","$288,123 ","$194,320 ","$22,747 ","$24,147 ","$34,350 ","$33,670 ","$63,440 ","$24,450 ",,,,,,,,,,$0 ,$0 ,,$0 ,,,
