5 digit NTDID,AgencyID,Reporter Name,Reporter Type,Mode,TOS,Bio Diesel,Bunker Fuel,C Nat Gas,Cooking Oil,Diesel Fuel,Electric Battery,Electric Propulsion,Ethanol,Gasoline,Hydrogen,Kerosene,Liquefied Nat Gas,Liquefied Petroleum Gas,Other Fuel,Other Energy Desc
20006,2006,City of Long Beach,Full Reporter: Operating,MB,DO,0,,,,"50,187",,,,,,,,,,
20008,2008,MTA New York City Transit,Full Reporter: Operating,CB,DO,0,,,,"4,093,599",,,,,,,,,,
20008,2008,MTA New York City Transit,Full Reporter: Operating,DR,PT,0,,,,"3,928,697",,,,"2,742,108",,,,,,
20008,2008,MTA New York City Transit,Full Reporter: Operating,HR,DO,,,,,,,"1,646,783,000",,,,,,,,
20008,2008,MTA New York City Transit,Full Reporter: Operating,MB,DO,0,,"6,186,376",,"31,279,992",,,,,,,,,,
20008,2008,MTA New York City Transit,Full Reporter: Operating,RB,DO,0,,,,"781,865",,,,,,,,,,
20009,2009,City of Poughkeepsie,Small Systems Reporter,MB,DO,0,,,,0,,,,,,,,,,
20010,2010,Dutchess County Division of Mass Transportation,Full Reporter: Operating,DR,DO,,,,,"46,969",,,,,,,,,,
20010,2010,Dutchess County Division of Mass Transportation,Full Reporter: Operating,MB,DO,0,,,,"120,775",,,,,,,,,,
20018,2018,"CNY Centro, Inc. ",Full Reporter: Operating,DR,DO,0,,,,"68,707",,,,"1,131",,,,,,
20018,2018,"CNY Centro, Inc. ",Full Reporter: Operating,DR,PT,,,,,,,,,"107,604",,,,,,
20018,2018,"CNY Centro, Inc. ",Full Reporter: Operating,DT,PT,,,,,,,,,0,,,,,,
20018,2018,"CNY Centro, Inc. ",Full Reporter: Operating,MB,DO,0,,"896,975",,"177,171",,,,,,,,,,
20071,2071,Huntington Area Rapid Transit,Full Reporter: Operating,DR,DO,0,,,,"21,587",,,,"9,611",,,,,,
20071,2071,Huntington Area Rapid Transit,Full Reporter: Operating,MB,DO,0,,,,"74,439",,,,,,,,,,
20072,2072,Suffolk County Department of Public Works - Transportation Division,Full Reporter: Operating,DR,PT,0,,,,"516,652",,,,"411,312",,,,,,
20072,2072,Suffolk County Department of Public Works - Transportation Division,Full Reporter: Operating,MB,PT,0,,,,"2,079,922",,,,,,,,,,
20075,2075,Port Authority Transit Corporation,Full Reporter: Operating,HR,DO,,,,,,,"43,190,808",,,,,,,,
20076,2076,Westchester County Bee-Line System,Full Reporter: Operating,DR,PT,0,,,,"60,878",,,,"163,623",,,,,,
20076,2076,Westchester County Bee-Line System,Full Reporter: Operating,MB,PT,0,,,,"3,133,767",,,,,,,,,,
20078,2078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",Full Reporter: Operating,CR,DO,,,,,,,"485,184,216",,,,,,,,
20078,2078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",Full Reporter: Operating,FB,PT,0,,,,"209,212",,,,,,,,,,
20078,2078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",Full Reporter: Operating,MB,PT,0,,,,"44,968",,,,,,,,,,
20080,2080,New Jersey Transit Corporation,Full Reporter: Operating,CR,DO,0,,,,"14,780,170",,"400,574,023",,,,,,,,
20080,2080,New Jersey Transit Corporation,Full Reporter: Operating,DR,PT,0,,,,"1,151,356",,,,"315,216",,,,,,
20080,2080,New Jersey Transit Corporation,Full Reporter: Operating,LR,DO,,,,,,,"6,680,415",,,,,,,,
20080,2080,New Jersey Transit Corporation,Full Reporter: Operating,LR,PT,,,,,,,"25,682,795",,,,,,,,
20080,2080,New Jersey Transit Corporation,Full Reporter: Operating,MB,DO,0,,0,,"749,313",,,,,,,,,,
20080,2080,New Jersey Transit Corporation,Full Reporter: Operating,MB,PT,0,,,,"1,946,479",,,,,,,,,,
20080,2080,New Jersey Transit Corporation,Full Reporter: Operating,VP,PT,,,,,,,,,"248,028",,,,,,
20080,2080,New Jersey Transit Corporation,Full Reporter: Operating,YR,PT,0,,,,"682,339",,,,,,,,,,
20082,2082,New York City Department of Transportation,Full Reporter: Operating,FB,DO,0,,,,"4,242,896",,,,,,,,,,
20082,2082,New York City Department of Transportation,Full Reporter: Operating,MB,PT,,,,,"66,200",,,,,,,,,,
20084,2084,Transport of Rockland,Full Reporter: Operating,DR,DO,0,,,,"53,436",,,,0,,,,,,
20084,2084,Transport of Rockland,Full Reporter: Operating,MB,PT,0,,,,"558,578",,,,,,,,,,
20085,2085,Clarkstown Mini-Trans,Small Systems Reporter,MB,DO,0,,,,0,,,,0,,,,,,
20089,2089,Village of Spring Valley Bus,Small Systems Reporter,MB,DO,,,,,,,,,0,,,,,,
20096,2096,Putnam County Transit,Full Reporter: Operating,DR,PT,,,,,,,,,"26,545",,,,,,
20096,2096,Putnam County Transit,Full Reporter: Operating,MB,PT,0,,,,"35,825",,,,"12,113",,,,,,
20098,2098,Port Authority Trans-Hudson Corporation,Full Reporter: Operating,FB,PT,0,,,,"586,398",,,,,,,,,,
20098,2098,Port Authority Trans-Hudson Corporation,Full Reporter: Operating,HR,DO,,,,,,,"96,986,970",,,,,,,,
20099,2099,"Staten Island Rapid Transit Operating Authority, dba: MTA Staten Island Railway",Full Reporter: Operating,HR,DO,,,,,,,"24,839,561",,,,,,,,
20100,2100,MTA Long Island Rail Road,Full Reporter: Operating,CR,DO,0,,,,"7,409,531",,"548,494,091",,,,,,,,
20113,2113,"Regional Transit Service, Inc. and Lift Line, Inc.",Full Reporter: Operating,DR,DO,0,,,,"97,882",,,,"88,726",,,,,,
20113,2113,"Regional Transit Service, Inc. and Lift Line, Inc.",Full Reporter: Operating,MB,DO,0,,,,"1,686,026",,,,,,,,,,
20116,2116,"Centro of Cayuga, Inc.",Full Reporter: Operating,MB,DO,0,,,,"125,839",,,,,,,,,,
20120,2120,Greater Glens Falls Transit System,Small Systems Reporter,DR,DO,,,,,,,,,0,,,,,,
20120,2120,Greater Glens Falls Transit System,Small Systems Reporter,MB,DO,0,,,,0,,,,0,,,,,,
20122,2122,"Academy Lines, Inc.",Full Reporter: Operating,CB,DO,0,,,,"2,247,000",,,,,,,,,,
20126,2126,"Hudson Transit Lines, Inc.",Full Reporter: Operating,CB,DO,0,,,,0,,,,,,,,,,
20128,2128,Suburban Transit Corporation,Full Reporter: Operating,CB,DO,0,,,,"1,638,042",,,,,,,,,,
20132,2132,New Jersey Transit Corporation-45,Full Reporter: Operating,MB,DO,0,,,,"449,301",,,,,,,,,,
20135,2135,Monsey New Square Trails Corporation,Full Reporter: Operating,CB,DO,0,,,,"345,312",,,,,,,,,,
20137,2137,Monroe Bus Corporation,Full Reporter: Operating,CB,DO,0,,,,"155,861",,,,,,,,,,
20143,2143,Town of Newburgh,Small Systems Reporter,DR,DO,,,,,,,,,0,,,,,,
20145,2145,Tompkins Consolidated Area Transit,Full Reporter: Operating,DR,PT,,,,,,,,,"73,548",,,,,,
20145,2145,Tompkins Consolidated Area Transit,Full Reporter: Operating,MB,DO,0,,,,"425,553",,,,"6,349",,,,,,
20145,2145,Tompkins Consolidated Area Transit,Full Reporter: Operating,VP,PT,,,,,,,,,"1,545",,,,,,
20148,2148,Newburgh Beacon Bus Corporation,Small Systems Reporter,MB,DO,0,,,,0,,,,,,,,,,
20149,2149,"Rockland Coaches, Inc.",Full Reporter: Operating,CB,DO,0,,,,"1,026,747",,,,,,,,,,
20158,2158,Tioga County,Small Systems Reporter,DR,PT,,,,,,,,,0,,,,,,
20158,2158,Tioga County,Small Systems Reporter,MB,PT,0,,,,0,,,,,,,,,,
20160,2160,"Community Transit, Inc. ",Full Reporter: Operating,CB,DO,0,,,,"288,381",,,,,,,,,,
20161,2161,DeCamp Bus Lines,Full Reporter: Operating,CB,DO,0,,,,"611,076",,,,,,,,,,
20163,2163,"Lakeland Bus Lines, Inc.",Full Reporter: Operating,CB,DO,0,,,,"712,186",,,,,,,,,,
20165,2165,"Olympia Trails Bus Company, Inc.",Full Reporter: Operating,CB,DO,0,,,,"158,363",,,,,,,,,,
20166,2166,"Orange-Newark-Elizabeth, Inc.",Full Reporter: Operating,MB,DO,0,,,,"597,881",,,,,,,,,,
20169,2169,"Trans-Bridge Lines, Inc. ",Full Reporter: Operating,CB,DO,0,,,,"760,157",,,,,,,,,,
20172,2172,"Centro of Oswego, Inc.",Full Reporter: Operating,MB,DO,0,,,,"126,344",,,,,,,,,,
20175,2175,Private Transportation Corporation,Full Reporter: Operating,MB,PT,0,,,,0,,,,,,,,,,
20176,2176,Kaser Bus Service,Small Systems Reporter,MB,PT,0,,,,0,,,,,,,,,,
20177,2177,"Adirondack Transit Lines, Inc,",Full Reporter: Operating,CB,DO,0,,,,"406,933",,,,,,,,,,
20178,2178,Ulster County Area Transit,Full Reporter: Operating,DR,DO,0,,,,"5,322",,,,"9,760",,,,,,
20178,2178,Ulster County Area Transit,Full Reporter: Operating,MB,DO,0,,,,"134,117",,,,"3,511",,,,,,
20179,2179,"Hendrick Hudson Bus Lines, Inc.",Small Systems Reporter,CB,DO,0,,,,0,,,,,,,,,,
20183,2183,Town of Monroe Dial-A-Bus,Small Systems Reporter,DR,DO,,,,,,,,,0,,,,,,
20185,2185,"Centro of Oneida, Inc.",Full Reporter: Operating,DR,DO,0,,,,"29,118",,,,,,,,,,
20185,2185,"Centro of Oneida, Inc.",Full Reporter: Operating,MB,DO,0,,,,"257,502",,,,,,,,,,
20187,2187,Village of Kiryas Joel,Small Systems Reporter,MB,DO,,,,,0,,,,,,,,,,
20188,2188,MTA Bus Company,Full Reporter: Operating,MB,DO,0,,"2,678,286",,"10,137,366",,,,,,,,,,
20189,2189,"BillyBey Ferry Company, LLC",Full Reporter: Operating,FB,DO,0,,,,"727,550",,,,,,,,,,
20190,2190,Port Imperial Ferry Corporation dba NY Waterway,Full Reporter: Operating,FB,DO,0,,,,"2,273,416",,,,,,,,,,
20190,2190,Port Imperial Ferry Corporation dba NY Waterway,Full Reporter: Operating,MB,DO,0,,,,"212,732",,,,,,,,,,
20191,2191,City of Kingston Citibus,Small Systems Reporter,DR,DO,0,,,,0,,,,,,,,,,
20191,2191,City of Kingston Citibus,Small Systems Reporter,MB,DO,0,,,,0,,,,,,,,,,
20192,2192,Bergen County Community Transportation,Full Reporter: Operating,DR,DO,0,,,,"2,393",,,,"157,817",,,,,,
20192,2192,Bergen County Community Transportation,Full Reporter: Operating,MB,DO,,,,,,,,,"11,974",,,,,,
20193,2193,Cumberland Area Transit System,Full Reporter: Operating,DR,DO,0,,,,"21,959",,,,"41,560",,,,,,
20194,2194,East Windsor Township,Small Systems Reporter,DR,DO,0,,,,0,,,,,,,,,,
20194,2194,East Windsor Township,Small Systems Reporter,MB,PT,0,,,,0,,,,,,,,,,
20195,2195,Gloucester County Division of Transportation Services ,Small Systems Reporter,DR,DO,0,,,,0,,,,0,,,,,,
20195,2195,Gloucester County Division of Transportation Services ,Small Systems Reporter,DR,PT,,,,,,,,,0,,,,,,
20195,2195,Gloucester County Division of Transportation Services ,Small Systems Reporter,MB,DO,0,,,,0,,,,,,,,,,
20196,2196,Middlesex County Area Transit,Full Reporter: Operating,DR,DO,0,,,,0,,,,0,,,,,,
20196,2196,Middlesex County Area Transit,Full Reporter: Operating,MB,DO,0,,,,"40,702",,,,"58,570",,,,,,
20197,2197,"Meadowlands Transportation Brokerage Corporation, dba Meadowlink",Small Systems Reporter,DR,DO,,,,,,,,,0,,,,,,
20197,2197,"Meadowlands Transportation Brokerage Corporation, dba Meadowlink",Small Systems Reporter,MB,DO,,,,,,,,,0,,,,,,
20198,2198,"TransOptions, Inc. ",Small Systems Reporter,MB,PT,,,,,,,,,0,,,,,,
20199,2199,County of Atlantic,Full Reporter: Operating,DR,DO,0,,,,"11,359",,,,"87,406",,,,,,
20200,2200,South Jersey Transportation Authority,Small Systems Reporter,DR,DO,0,,,,0,,,,0,,,,,,
20200,2200,South Jersey Transportation Authority,Small Systems Reporter,MB,DO,0,,,,0,,,,0,,,,,,
20201,2201,County of Cumberland,Small Systems Reporter,MB,DO,0,,,,0,,,,0,,,,,,
20202,2202,Essex County Division of Training and Employment,Small Systems Reporter,DR,PT,,,,,,,,,0,,,,,,
20202,2202,Essex County Division of Training and Employment,Small Systems Reporter,MB,PT,,,,,,,,,0,,,,,,
20203,2203,Cape May County Fare Free Transportation,Full Reporter: Operating,DR,DO,"11,144",,,,"15,395",,,,"67,628",,,,,0,
20203,2203,Cape May County Fare Free Transportation,Full Reporter: Operating,MB,DO,,,,,,,,,"1,030",,,,,170,Biodiesel
20204,2204,"Senior Citizens United Community Services of Camden County, Inc.",Full Reporter: Operating,DR,DO,0,,,,"78,803",,,,"61,977",,,,,,
20206,2206,Nassau Inter County Express,Full Reporter: Operating,DR,PT,0,,,,"282,201",,,,"61,996",,,,,,
20206,2206,Nassau Inter County Express,Full Reporter: Operating,MB,PT,,,"5,222,586",,,,,,,,,,,,
20208,2208,County of Burlington,Small Systems Reporter,MB,PT,0,,,,0,,,,,,,,,,
20210,2210,County of Morris,Small Systems Reporter,MB,DO,0,,,,0,,,,0,,,,,,
20211,2211,County of Mercer,Small Systems Reporter,MB,DO,0,,,,0,,,,0,,,,,,
20212,2212,County of Hunterdon,Small Systems Reporter,DR,PT,0,,,,0,,,,0,,,,,,
20212,2212,County of Hunterdon,Small Systems Reporter,MB,PT,0,,,,0,,,,0,,,,,,
20213,2213,City of Mechanicville,Small Systems Reporter,MB,DO,,,,,,,,,0,,,,,,
20214,2214,Town of Warwick Dial A Bus,Small Systems Reporter,DR,DO,0,,,,0,,,,0,,,,,,
20214,2214,Town of Warwick Dial A Bus,Small Systems Reporter,MB,DO,,,,,,,,,0,,,,,,
20215,2215,Watertown CitiBus,Small Systems Reporter,DR,PT,,,,,,,,,0,,,,,,
20215,2215,Watertown CitiBus,Small Systems Reporter,MB,DO,0,,,,0,,,,,,,,,,
20217,2217,"Hampton Jitney, Inc.",Full Reporter: Operating,CB,DO,0,,,,"674,070",,,,,,,,,,
30001,3001,Kanawha Valley Regional Transportation Authority,Full Reporter: Operating,DR,DO,,,,,,,,,0,,,,,,
30001,3001,Kanawha Valley Regional Transportation Authority,Full Reporter: Operating,MB,DO,0,,,,0,,,,0,,,,,,
30002,3002,The Tri-State Transit Authority,Full Reporter: Operating,DR,DO,,,,,,,,,"53,207",,,,,,
30002,3002,The Tri-State Transit Authority,Full Reporter: Operating,MB,DO,,,,,"213,231",,,,,,,,,,
30003,3003,Mid-Ohio Valley Transit Authority,Small Systems Reporter,DR,DO,0,,,,0,,,,0,,,,,,
30003,3003,Mid-Ohio Valley Transit Authority,Small Systems Reporter,MB,DO,0,,,,0,,,,0,,,,,,
30006,3006,Greater Richmond Transit Company,Full Reporter: Operating,DR,PT,0,,"84,701",,"229,562",,,,"26,474",,,,,,
30006,3006,Greater Richmond Transit Company,Full Reporter: Operating,MB,DO,0,,"131,807",,"1,274,795",,,,,,,,,,
30006,3006,Greater Richmond Transit Company,Full Reporter: Operating,VP,PT,,,,,,,,,"271,138",,,,,,
30007,3007,Greater Roanoke Transit Company,Full Reporter: Operating,CB,DO,0,,,,"18,345",,,,,,,,,,
30007,3007,Greater Roanoke Transit Company,Full Reporter: Operating,DR,PT,0,,,,"45,772",,,,701,,,,,,
30007,3007,Greater Roanoke Transit Company,Full Reporter: Operating,MB,DO,0,,,,"410,839",,,,"13,673",,,,,,
30008,3008,Greater Lynchburg Transit Company,Full Reporter: Operating,DR,DO,,,,,,,,,"39,265",,,,,,
30008,3008,Greater Lynchburg Transit Company,Full Reporter: Operating,MB,DO,0,,,,192,,,,,,,,,,
30009,3009,Petersburg Area Transit,Small Systems Reporter,DR,DO,0,,,,0,,,,0,,,,,,
30009,3009,Petersburg Area Transit,Small Systems Reporter,MB,DO,0,,,,0,,,,,,,,,,
30010,3010,Lehigh and Northampton Transportation Authority,Full Reporter: Operating,DR,PT,0,,,,"396,915",,,,,,,,,,
30010,3010,Lehigh and Northampton Transportation Authority,Full Reporter: Operating,MB,DO,0,,,,"719,834",,,,,,,,,,
30011,3011,Altoona Metro Transit,Full Reporter: Operating,DR,DO,0,,,,462,,,,,,,,,,
30011,3011,Altoona Metro Transit,Full Reporter: Operating,DR,PT,,,,,,,,,"8,313",,,,,,
30011,3011,Altoona Metro Transit,Full Reporter: Operating,MB,DO,0,,,,"133,050",,,,,,,,,,
30012,3012,Cambria County Transit Authority,Full Reporter: Operating,DR,DO,0,,,,"3,618",,,,"43,357",,,,,,
30012,3012,Cambria County Transit Authority,Full Reporter: Operating,IP,DO,,,,,,,"104,200",,,,,,,,
30012,3012,Cambria County Transit Authority,Full Reporter: Operating,MB,DO,0,,,,"406,566",,,,"39,270",,,,,,
30013,3013,Erie Metropolitan Transit Authority,Full Reporter: Operating,DR,DO,0,,,,"19,127",,,,"211,607",,,,,,
30013,3013,Erie Metropolitan Transit Authority,Full Reporter: Operating,MB,DO,0,,"68,906",,"407,204",,,,0,,,,,,
30014,3014,Cumberland Dauphin-Harrisburg Transit Authority,Full Reporter: Operating,DR,DO,,,,,,,,,"144,965",,,,,,
30014,3014,Cumberland Dauphin-Harrisburg Transit Authority,Full Reporter: Operating,DR,PT,,,,,,,,,"92,987",,,,,,
30014,3014,Cumberland Dauphin-Harrisburg Transit Authority,Full Reporter: Operating,MB,DO,"9,339",,,,"466,971",,,,,,,,,,
30014,3014,Cumberland Dauphin-Harrisburg Transit Authority,Full Reporter: Operating,MB,PT,148,,,,"7,299",,,,,,,,,,
30015,3015,Luzerne County Transportation Authority,Full Reporter: Operating,DR,DO,,,,,,,,,0,,,,,,
30015,3015,Luzerne County Transportation Authority,Full Reporter: Operating,MB,DO,0,,,,0,,,,,,,,,,
30018,3018,Red Rose Transit Authority,Full Reporter: Operating,DR,PT,,,,,,,,,"331,610",,,,,,
30018,3018,Red Rose Transit Authority,Full Reporter: Operating,MB,DO,"343,680",,,,,,,,,,,,,,
30019,3019,Southeastern Pennsylvania Transportation Authority,Full Reporter: Operating,CR,DO,,,,,,,"205,247,556",,,,,,,,
30019,3019,Southeastern Pennsylvania Transportation Authority,Full Reporter: Operating,DR,PT,,,,,,,,,"2,122,302",,,,,,
30019,3019,Southeastern Pennsylvania Transportation Authority,Full Reporter: Operating,HR,DO,,,,,,,"143,419,461",,,,,,,,
30019,3019,Southeastern Pennsylvania Transportation Authority,Full Reporter: Operating,MB,DO,,,,,"14,253,272",,,,,,,,,,
30019,3019,Southeastern Pennsylvania Transportation Authority,Full Reporter: Operating,MB,PT,,,,,"34,897",,,,,,,,,,
30019,3019,Southeastern Pennsylvania Transportation Authority,Full Reporter: Operating,SR,DO,,,,,,,"31,037,335",,,,,,,,
30019,3019,Southeastern Pennsylvania Transportation Authority,Full Reporter: Operating,TB,DO,,,,,,,"7,891,387",,,,,,,,
30022,3022,Port Authority of Allegheny County,Full Reporter: Operating,DR,PT,0,,,,"70,125",,,,"1,262,884",,,,,,
30022,3022,Port Authority of Allegheny County,Full Reporter: Operating,IP,DO,,,,,,,"212,000",,,,,,,,
30022,3022,Port Authority of Allegheny County,Full Reporter: Operating,LR,DO,,,,,,,"33,098,342",,,,,,,,
30022,3022,Port Authority of Allegheny County,Full Reporter: Operating,MB,DO,,,,,"6,674,509",,,,,,,,,,
30023,3023,Beaver County Transit Authority,Full Reporter: Operating,DR,DO,0,,,,"28,644",,,,"51,838",,,,,,
30023,3023,Beaver County Transit Authority,Full Reporter: Operating,MB,DO,0,,,,"245,619",,,,,,,,,,
30024,3024,Berks Area Regional Transportation Authority,Full Reporter: Operating,DR,DO,"10,169",,,,0,,,,"137,949",,,,,,
30024,3024,Berks Area Regional Transportation Authority,Full Reporter: Operating,DR,PT,,,,,,,,,"56,906",,,,,,
30024,3024,Berks Area Regional Transportation Authority,Full Reporter: Operating,MB,DO,"418,704",,,,0,,,,,,,,,,
30025,3025,County of Lackawanna Transit System,Full Reporter: Operating,DR,DO,0,,,,"10,022",,,,"74,575",,,,,,
30025,3025,County of Lackawanna Transit System,Full Reporter: Operating,DR,PT,,,,,,,,,864,,,,,,
30025,3025,County of Lackawanna Transit System,Full Reporter: Operating,MB,DO,0,,,,"255,984",,,,,,,,,,
30025,3025,County of Lackawanna Transit System,Full Reporter: Operating,MB,PT,,,,,,,,,"23,014",,,,,,
30026,3026,Williamsport Bureau of Transportation,Full Reporter: Operating,DR,DO,,,,,,,,,118,,,,,,
30026,3026,Williamsport Bureau of Transportation,Full Reporter: Operating,DR,PT,,,,,,,,,674,,,,,,
30026,3026,Williamsport Bureau of Transportation,Full Reporter: Operating,MB,DO,0,,"7,409",,0,,,,0,,,,,,
30027,3027,York County Transportation Authority,Full Reporter: Operating,CB,DO,0,,,,"90,244",,,,,,,,,,
30027,3027,York County Transportation Authority,Full Reporter: Operating,DR,DO,0,,,,"95,378",,,,"211,714",,,,,,
30027,3027,York County Transportation Authority,Full Reporter: Operating,DR,PT,,,,,,,,,"18,230",,,,,,
30027,3027,York County Transportation Authority,Full Reporter: Operating,DT,PT,,,,,,,,,0,,,,,,
30027,3027,York County Transportation Authority,Full Reporter: Operating,MB,DO,0,,,,"245,174",,,,"58,082",,,,,,
30030,3030,Washington Metropolitan Area Transit Authority,Full Reporter: Operating,DR,PT,,,,,,,,,"2,930,361",,,,,,
30030,3030,Washington Metropolitan Area Transit Authority,Full Reporter: Operating,DT,PT,,,,,,,,,0,,,,,,
30030,3030,Washington Metropolitan Area Transit Authority,Full Reporter: Operating,HR,DO,,,,,,,"510,744,534",,,,,,,,
30030,3030,Washington Metropolitan Area Transit Authority,Full Reporter: Operating,MB,DO,0,,0,,0,,,,,,,,,,
30030,3030,Washington Metropolitan Area Transit Authority,Full Reporter: Operating,MB,PT,,,,,"383,219",,,,,,,,,,
30034,3034,Maryland Transit Administration,Full Reporter: Operating,CB,PT,0,,,,"521,745",,,,,,,,,,
30034,3034,Maryland Transit Administration,Full Reporter: Operating,CR,PT,0,,,,"3,551,968",,"27,517,077",,,,,,,,
30034,3034,Maryland Transit Administration,Full Reporter: Operating,DR,DO,,,,,,,,,0,,,,,,
30034,3034,Maryland Transit Administration,Full Reporter: Operating,DR,PT,,,,,,,,,0,,,,,,
30034,3034,Maryland Transit Administration,Full Reporter: Operating,DT,PT,,,,,,,,,0,,,,,,
30034,3034,Maryland Transit Administration,Full Reporter: Operating,HR,DO,,,,,,,"57,495,460",,,,,,,,
30034,3034,Maryland Transit Administration,Full Reporter: Operating,LR,DO,,,,,,,"35,083,068",,,,,,,,
30034,3034,Maryland Transit Administration,Full Reporter: Operating,MB,DO,0,,,,"6,414,005",,,,,,,,,,
30035,3035,Ohio Valley Regional Transportation Authority,Full Reporter: Operating,DR,DO,,,,,,,,,"6,083",,,,,,
30035,3035,Ohio Valley Regional Transportation Authority,Full Reporter: Operating,MB,DO,0,,,,"145,449",,,,,,,,,,
30036,3036,Charlottesville Area Transit,Small Systems Reporter,MB,DO,0,,,,0,,,,,,,,,,
30040,3040,Annapolis Department of Transportation,Small Systems Reporter,DR,DO,,,,,,,,,0,,,,,,
30040,3040,Annapolis Department of Transportation,Small Systems Reporter,MB,DO,0,,,,0,,,,0,,,,,,
30041,3041,Allegany County Transit,Small Systems Reporter,DR,DO,0,,,,0,,,,0,,,,,,
30041,3041,Allegany County Transit,Small Systems Reporter,MB,DO,0,,,,0,,,,0,,,,,,
30042,3042,Washington County Transit,Small Systems Reporter,DR,DO,0,,,,0,,,,,,,,,,
30042,3042,Washington County Transit,Small Systems Reporter,MB,DO,0,,,,0,,,,,,,,,,
30044,3044,Westmoreland County Transit Authority,Full Reporter: Operating,DT,PT,,,,,,,,,0,,,,,,
30044,3044,Westmoreland County Transit Authority,Full Reporter: Operating,MB,PT,0,,,,"265,295",,,,0,,,,,,
30045,3045,"JAUNT, Inc.",Full Reporter: Operating,DR,DO,,,,,,,,,"273,982",,,,,,
30048,3048,Howard Transit,Full Reporter: Operating,DR,PT,0,,,,"43,972",,,,"25,969",,,,,,
30048,3048,Howard Transit,Full Reporter: Operating,MB,PT,0,,,,"255,283",,,,,,,,,,
30051,3051,Ride-On Montgomery County Transit,Full Reporter: Operating,MB,DO,0,,"720,993",,"2,544,154",,,,,,,,,,
30053,3053,Bristol Virginia Transit,Small Systems Reporter,DR,DO,,,,,,,,,0,,,,,,
30053,3053,Bristol Virginia Transit,Small Systems Reporter,MB,DO,0,,,,0,,,,0,,,,,,
30054,3054,Centre Area Transportation Authority,Full Reporter: Operating,DR,PT,,,,,,,,,"34,130",,,,,,
30054,3054,Centre Area Transportation Authority,Full Reporter: Operating,MB,DO,0,,"597,584",,0,,,,,,,,,,
30054,3054,Centre Area Transportation Authority,Full Reporter: Operating,VP,DO,0,,,,"20,920",,,,"54,163",,,,,,
30055,3055,Shenango Valley Shuttle Service,Full Reporter: Operating,DR,DO,0,,,,"10,266",,,,"91,735",,,,,,
30055,3055,Shenango Valley Shuttle Service,Full Reporter: Operating,MB,DO,0,,,,"32,915",,,,,,,,,,
30057,3057,Pennsylvania Department of Transportation,Full Reporter: Operating,CR,PT,,,,,,,"30,475,824",,,,,,,,
30058,3058,City of Fairfax CUE Bus,Full Reporter: Operating,MB,DO,,,,,"99,511",,,,,,,,,,
30061,3061,Mid Mon Valley Transit Authority,Full Reporter: Operating,DR,PT,,,,,,,,,"1,975",,,,,,
30061,3061,Mid Mon Valley Transit Authority,Full Reporter: Operating,MB,PT,"190,261",,,,0,,,,,,,,,,
30066,3066,Weirton Transit Corporation,Small Systems Reporter,MB,DO,0,,,,0,,,,0,,,,,,
30068,3068,Fairfax Connector Bus System,Full Reporter: Operating,MB,PT,0,,,,"2,685,809",,,,,,,,,,
30070,3070,Potomac and Rappahannock Transportation Commission,Full Reporter: Operating,CB,PT,0,,,,"777,691",,,,,,,,,,
30070,3070,Potomac and Rappahannock Transportation Commission,Full Reporter: Operating,MB,PT,0,,,,"366,924",,,,,,,,,,
30070,3070,Potomac and Rappahannock Transportation Commission,Full Reporter: Operating,VP,PT,,,,,,,,,"167,100",,,,,,
30071,3071,City of Alexandria ,Full Reporter: Operating/Building,DT,PT,,,,,,,,,0,,,,,,
30071,3071,City of Alexandria ,Full Reporter: Operating/Building,MB,DO,0,,,,"485,260",,,,,,,,,,
30072,3072,Transit Services of Frederick County,Full Reporter: Operating,DR,DO,0,,,,"47,186",,,,"25,079",,,,,,
30072,3072,Transit Services of Frederick County,Full Reporter: Operating,MB,DO,0,,,,"5,103,944",,,,,,,,,,
30073,3073,Virginia Railway Express,Full Reporter: Operating,CR,PT,,,,,"1,463,297",,,,,,,,,,
30074,3074,Harford Transit,Full Reporter: Operating,DR,DO,0,,,,"15,392",,,,"30,460",,,,,,
30074,3074,Harford Transit,Full Reporter: Operating,MB,DO,0,,,,"82,773",,,,"2,518",,,,,,
30075,3075,Delaware Transit Corporation,Full Reporter: Operating,DR,DO,0,,,,"173,568",,,,"1,255,075",,,,,,
30075,3075,Delaware Transit Corporation,Full Reporter: Operating,DR,PT,,,,,,,,,"62,326",,,,,,
30075,3075,Delaware Transit Corporation,Full Reporter: Operating,MB,DO,0,,,,"1,708,937",,,,,,,,,,
30075,3075,Delaware Transit Corporation,Full Reporter: Operating,MB,PT,0,,,,"187,525",,,,"6,196",,,,,,
30076,3076,Williamsburg Area Transit Authority,Full Reporter: Operating,DR,DO,,,,,"1,775",,,,"7,219",,,,,,
30076,3076,Williamsburg Area Transit Authority,Full Reporter: Operating,MB,DO,,,,,"211,048",,,,,,,,,,
30076,3076,Williamsburg Area Transit Authority,Full Reporter: Operating,MB,PT,,,"101,268",,"2,653",,,,,,,,,,
30077,3077,Borough of Pottstown - Pottstown Area Rapid Transit,Full Reporter: Operating,DR,PT,0,,,,"4,463",,,,,,,,,,
