AgencyID,Agency,SSW,Mode,TOS,Battery Charging,Propulsion power,Diesel fuel,Bio-diesel,Gasoline,Liquefied petroleum gas,Liquefied natural gas,Methanol,Ethanol,Compressed natural gas,Bunker fuel,Kerosene,Hydrogen,Other Fuel,Other Description
3018,Red Rose Transit Authority,N,DR,PT,,,,,"327,986",,,,,,,,,,
3018,Red Rose Transit Authority,N,MB,DO,,,"349,060",,,,,,,,,,,,
3019,Southeastern Pennsylvania Transportation Authority,N,CR,DO,,"207,913,335",,,,,,,,,,,,,
3019,Southeastern Pennsylvania Transportation Authority,N,DR,PT,,,,,"2,075,290",,,,,,,,,,
3019,Southeastern Pennsylvania Transportation Authority,N,HR,DO,,"143,227,483",,,,,,,,,,,,,
3019,Southeastern Pennsylvania Transportation Authority,N,MB,DO,,,"14,438,448",,,,,,,,,,,,
3019,Southeastern Pennsylvania Transportation Authority,N,SR,DO,,"30,280,264",,,,,,,,,,,,,
3019,Southeastern Pennsylvania Transportation Authority,N,TB,DO,,"7,518,899",,,,,,,,,,,,,
3022,Port Authority of Allegheny County,N,DR,PT,,,"107,115",,"1,291,543","95,671",,,,,,,,,
3022,Port Authority of Allegheny County,N,IP,DO,,"201,200",,,,,,,,,,,,,
3022,Port Authority of Allegheny County,N,LR,DO,,"32,734,289",,,,,,,,,,,,,
3022,Port Authority of Allegheny County,N,MB,DO,,,"6,620,651",,,,,,,,,,,,
3023,Beaver County Transit Authority,N,DR,DO,,,"42,037",,"27,227",,,,,,,,,,
3023,Beaver County Transit Authority,N,MB,DO,,,"244,376",,"5,290",,,,,,,,,,
3024,Berks Area Reading Transportation Authority,N,DR,DO,,,,"22,638","122,629",,,,,,,,,,
3024,Berks Area Reading Transportation Authority,N,DR,PT,,,"30,308",,"25,852",,,,,,,,,,
3024,Berks Area Reading Transportation Authority,N,MB,DO,,,,"414,098",,,,,,,,,,,
3025,County of Lackawanna Transit System,N,DR,DO,,,"58,845",,"32,922",,,,,,,,,,
3025,County of Lackawanna Transit System,N,DR,PT,,,,,701,,,,,,,,,,
3025,County of Lackawanna Transit System,N,MB,DO,,,"235,541",,,,,,,,,,,,
3025,County of Lackawanna Transit System,N,MB,PT,,,,,"26,205",,,,,,,,,,
3026,Williamsport Bureau of Transportation,N,DR,DO,0,,0,0,197,0,0,0,0,0,0,0,0,0,
3026,Williamsport Bureau of Transportation,N,DR,PT,0,,0,0,853,0,0,0,0,0,0,0,0,0,
3026,Williamsport Bureau of Transportation,N,MB,DO,0,,"183,304",0,"5,196",0,0,0,0,"5,471",0,0,0,0,
3027,York County Transportation Authority,N,CB,DO,,,"34,998",,,,,,,,,,,,
3027,York County Transportation Authority,N,CB,PT,,,"38,647",,,,,,,,,,,,
3027,York County Transportation Authority,N,DR,DO,,,"71,418",,"211,380",,,,,,,,,,
3027,York County Transportation Authority,N,DR,PT,,,,,"18,231",,,,,,,,,,
3027,York County Transportation Authority,N,MB,DO,,,"230,315",,"64,747",,,,,,,,,,
3030,Washington Metropolitan Area Transit Authority,N,DR,PT,,,,,"2,595,419",,,,,,,,,,
3030,Washington Metropolitan Area Transit Authority,N,HR,DO,,"509,211,306",,,,,,,,,,,,,
3030,Washington Metropolitan Area Transit Authority,N,MB,DO,,,"8,877,353",,,,,,,"5,158,543",,,,,
3030,Washington Metropolitan Area Transit Authority,N,MB,PT,,,"401,592",,,,,,,,,,,,
3034,Maryland Transit Administration,N,CB,PT,0,,"978,770",0,0,0,0,0,0,0,0,0,0,0,
3034,Maryland Transit Administration,N,CR,PT,,"27,221,456","3,335,649",0,,0,0,,,,,,,0,
3034,Maryland Transit Administration,N,DR,DO,0,,0,0,"230,692",0,0,0,0,0,0,0,0,0,
3034,Maryland Transit Administration,N,DR,PT,0,,503,0,"2,271,718",0,0,0,0,0,0,0,0,0,
3034,Maryland Transit Administration,N,HR,DO,,"56,049,341",0,0,,0,0,,,,,,,0,
3034,Maryland Transit Administration,N,LR,DO,,"35,574,792",0,0,,0,0,,,,,,,0,
3034,Maryland Transit Administration,N,MB,DO,0,,"6,684,969",0,0,0,0,0,0,0,0,0,0,0,
3035,Ohio Valley Regional Transportation Authority,N,DR,DO,,,,,"6,414",,,,,,,,,,
3035,Ohio Valley Regional Transportation Authority,N,MB,DO,,,"131,753",,,,,,,,,,,,
3044,Westmoreland County Transit Authority,N,MB,PT,,,"264,238",,"2,957",,,,,,,,,,
3045,"JAUNT, Inc.",N,DR,DO,,,,,"273,491",,,,,,,,,,
3048,Howard Transit,N,DR,PT,,,"51,144",,"24,259",,,,,,,,,,
3048,Howard Transit,N,MB,PT,,,"213,107",,,,,,,,,,,,
3051,Ride-On Montgomery County Transit,N,MB,DO,,,"2,426,308",,"1,639",,,,,"940,226",,,,,
3054,Centre Area Transportation Authority,N,DR,PT,0,,0,0,"24,109",0,0,0,0,0,0,0,0,0,
3054,Centre Area Transportation Authority,N,MB,DO,0,,0,0,0,0,0,0,0,"596,314",0,0,0,0,
3054,Centre Area Transportation Authority,N,VP,DO,0,,0,0,"46,551",0,0,0,0,0,0,0,0,0,
3055,Shenango Valley Shuttle Service,N,DR,DO,,,"17,736",,"80,016",,,,,,,,,,
3055,Shenango Valley Shuttle Service,N,MB,DO,,,"24,844",,,,,,,,,,,,
3057,Pennsylvania Department of Transportation,N,CR,PT,,"32,269,470","11,636",,,,,,,,,,,,
3058,City of Fairfax CUE Bus,N,MB,DO,,,"99,639",,,,,,,,,,,,
3061,Mid Mon Valley Transit Authority,N,DR,PT,,,,,646,,,,,,,,,,
3061,Mid Mon Valley Transit Authority,N,MB,PT,,,"184,215",,,,,,,,,,,,
3068,Fairfax Connector Bus System,N,MB,PT,,,"2,459,886",,,,,,,,,,,,
3070,Potomac and Rappahannock Transportation Commission,N,CB,PT,,,"897,047",,,,,,,,,,,,
3070,Potomac and Rappahannock Transportation Commission,N,MB,PT,,,"378,461",,,,,,,,,,,,
3071,City of Alexandria ,N,MB,DO,,,"475,543",,,,,,,,,,,,
3072,Transit Services of Frederick County,N,DR,DO,,,"45,935",,"3,023",,,,,,,,,,
3072,Transit Services of Frederick County,N,MB,DO,,,"147,713",,,,,,,,,,,,
3073,Virginia Railway Express,N,CR,PT,,,"1,486,403",,,,,,,,,,,,
3074,Harford Transit,N,DR,DO,,,"16,660",,"33,205",,,,,,,,,,
3074,Harford Transit,N,MB,DO,,,"65,277",,"19,153",,,,,,,,,,
3075,Delaware Transit Corporation,N,DR,DO,,,"230,626",,"1,153,966",,,,,,,,,,
3075,Delaware Transit Corporation,N,DR,PT,,,,,"52,998",,,,,,,,,,
3075,Delaware Transit Corporation,N,MB,DO,,,"1,661,084",,,,,,,,,,,,
3075,Delaware Transit Corporation,N,MB,PT,,,"209,035",,"1,373",,,,,,,,,,
3076,Williamsburg Area Transit Authority,N,DR,DO,,,"8,832",,"1,793",,,,,,,,,,
3076,Williamsburg Area Transit Authority,N,MB,DO,,,"199,146",,,,,,,,,,,,
3076,Williamsburg Area Transit Authority,N,MB,PT,,,,,"1,927",,,,,"123,006",,,,,
3077,Borough of Pottstown - Pottstown Area Rapid Transit,N,DR,PT,,,"2,471",,,,,,,,,,,,
3077,Borough of Pottstown - Pottstown Area Rapid Transit,N,MB,PT,,,"65,601",,,,,,,,,,,,
3078,Southwestern Pennsylvania Commission,N,VP,PT,,,,,"74,597",,,,,,,,,,
3080,Arlington Transit - Arlington County,N,DR,PT,,,,,"72,710",,,,,,,,,,
3080,Arlington Transit - Arlington County,N,MB,PT,,,,"2,448",,,,,,"421,789",,,,,
3081,Loudoun County Commuter Bus Service - Office of Transportation Services,N,CB,PT,,,"634,793",,,,,,,,,,,,
3083,"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",N,DR,PT,,,,,"419,645",,,,,,,,,,
3083,"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",N,FB,PT,,,"27,109",,,,,,,,,,,,
3083,"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",N,LR,DO,,"3,387,625",,,,,,,,,,,,,
3083,"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",N,MB,DO,,,"2,507,962",,"104,111",,,,,,,,,,
3083,"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",N,VP,DO,,,,,"63,894",,,,,,,,,,
3085,Prince George's County Transit,N,DR,DO,,,"84,463",,,,,,,,,,,,
3085,Prince George's County Transit,N,MB,PT,,,"810,130",,,,,,,,,,,,
3087,Fayette Area Coordinated Transportation,N,DR,DO,,,"11,395",,"74,304",,,,,,,,,,
3087,Fayette Area Coordinated Transportation,N,DR,PT,,,"21,198",,"14,214",,,,,,,,,,
3087,Fayette Area Coordinated Transportation,N,MB,DO,,,"44,975",,"9,184",,,,,,,,,,
3087,Fayette Area Coordinated Transportation,N,MB,PT,,,"19,557",,,,,,,,,,,,
3088,"County Commissioners of Charles County, MD",N,DR,PT,,,,,"24,580",,,,,,,,,,
3088,"County Commissioners of Charles County, MD",N,MB,PT,,,"89,922",,"101,275",,,,,,,,,,
3091,Blacksburg Transit,N,DR,DO,,,"9,181",,"15,715",,,,,,,,,,
3091,Blacksburg Transit,N,MB,DO,,,"215,876",,"6,696",,,,,,,,,,
3094,City of Harrisonburg Department of Public Transportation,N,DR,DO,,,"2,871",,"14,039",,,,,,,,,,
3094,City of Harrisonburg Department of Public Transportation,N,MB,DO,,,"155,334",,,,,,,,,,,,
3095,County of Lebanon Transit Authority,N,CB,DO,,,"22,791",,149,,,,,,,,,,
3095,County of Lebanon Transit Authority,N,DR,DO,,,,,"44,634",,,,,,,,,,
3095,County of Lebanon Transit Authority,N,MB,DO,,,"66,601",,785,,,,,,,,,,
3096,The Tri--County Council for the Lower Eastern Shore of Maryland,N,DR,DO,,,"33,870",,"48,433",,,,,,,,,,
3096,The Tri--County Council for the Lower Eastern Shore of Maryland,N,MB,DO,,,"164,344","31,142",,,,,,,,,,,
3101,City of Washington,N,DR,PT,,,0,,"2,988",,,,,,,,,,
3101,City of Washington,N,MB,PT,,,"38,373",,,,,,,,,,,,
3102,Martz Trailways,N,CB,DO,,,"711,280",,,,,,,,,,,,
3103,"Martz Group, National Coach Works of Virginia",N,CB,DO,,,"150,329",,,,,,,,,,,,
3107,West Virginia University - Morgantown Personal Rapid Transit,N,MG,DO,,"4,020,004",,,,,,,,,,,,,
4001,Chattanooga Area Regional Transportation Authority,N,DR,DO,,,"59,778",,"1,557",,,,,,,,,,
4001,Chattanooga Area Regional Transportation Authority,N,DR,PT,,,,,"4,226",,,,,,,,,,
4001,Chattanooga Area Regional Transportation Authority,N,IP,DO,,"100,725",,,,,,,,,,,,,
4001,Chattanooga Area Regional Transportation Authority,N,MB,DO,"271,159",,"466,010",,,,,,,,,,,,
4002,Knoxville Area Transit,N,DR,DO,,,"43,291",,"54,669",,,,,,,,,,
4002,Knoxville Area Transit,N,MB,DO,,,"523,971",,"130,710",,,,,,,,,,
4003,Memphis Area Transit Authority,N,DR,DO,,,"438,341",,"2,034",,,,,,,,,,
4003,Memphis Area Transit Authority,N,MB,DO,,,"1,612,239",,,,,,,,,,,,
4003,Memphis Area Transit Authority,N,SR,DO,,"1,815,400",0,0,,0,0,,,,,,,0,
4004,Metropolitan Transit Authority,N,DR,DO,,,"43,733",,"292,378",,,,,,,,,,
4004,Metropolitan Transit Authority,N,MB,DO,,,"1,656,417",,"9,158",,,,,,,,,,
4005,ART (Asheville Redefines Transit),N,MB,DO,,,,"204,335",,,,,,,,,,,
4006,Cape Fear Public Transportation Authority,N,DR,DO,,,,,"65,778",,,,,,,,,,
4006,Cape Fear Public Transportation Authority,N,MB,PT,,,"289,645",,,,,,,,,,,,
4006,Cape Fear Public Transportation Authority,N,VP,DO,,,,,"1,646",,,,,,,,,,
4007,Capital Area Transit,N,MB,DO,,,,"881,718",,,,,,,,,,,
4008,Charlotte Area Transit System,N,DR,DO,,,"294,929",,,,,,,,,,,,
4008,Charlotte Area Transit System,N,LR,DO,,"7,199,280",0,0,,0,0,,,,,,,0,
4008,Charlotte Area Transit System,N,MB,DO,,,"3,123,091",,,,,,,,,,,,
4008,Charlotte Area Transit System,N,VP,DO,,,,,"125,587",,,,,,,,,,
4009,Fayetteville Area System of Transit,N,DR,DO,,,"13,631",,"27,557",,,,,,,,,,
4009,Fayetteville Area System of Transit,N,MB,DO,,,"213,007",,"1,739",,,,,,,,,,
4012,Winston-Salem Transit Authority - Trans-Aid of Forsyth County,N,DR,DO,,,"18,971",,"115,184",,,,,,,,,,
4012,Winston-Salem Transit Authority - Trans-Aid of Forsyth County,N,MB,DO,,,"402,081",,"18,196",,,,,,,,,,
4014,Coast Transit Authority,N,DR,DO,,,"34,050",,"4,091","13,580",,,,,,,,,
4014,Coast Transit Authority,N,MB,DO,,,"170,426",,,,,,,,,,,,
4014,Coast Transit Authority,N,VP,PT,,,,,"223,655",,,,,,,,,,
4015,City of Jackson Transit System ,N,DR,DO,,,"46,229",,,,,,,,,,,,
4015,City of Jackson Transit System ,N,MB,DO,,,"200,939",,,,,,,,,,,,
4017,Lexington Transit Authority,N,DR,PT,,,"20,537",,"208,137",,,,,,,,,,
4017,Lexington Transit Authority,N,MB,DO,,,"572,333",,"50,122",,,,,,,,,,
4017,Lexington Transit Authority,N,VP,PT,,,0,,"1,600",,,,,,,,,,
4018,Transit Authority of River City,N,DR,DO,,,"18,667",,,,,,,,,,,,
4018,Transit Authority of River City,N,DR,PT,,,"93,045",,"276,718",,,,,,,,,,
4018,Transit Authority of River City,N,MB,DO,,,"1,848,054",,,,,,,,,,,,
4018,Transit Authority of River City,N,MB,PT,,,"4,897",,,,,,,,,,,,
4019,Transit Authority of Northern Kentucky,N,DR,DO,,,"96,773",,,,,,,,,,,,
4019,Transit Authority of Northern Kentucky,N,MB,DO,,,"770,805",,,,,,,,,,,,
4021,Albany Transit System,N,DR,DO,,,"11,917",,,,,,,,,,,,
4021,Albany Transit System,N,MB,DO,,,"137,039",,,,,,,,,,,,
4022,Metropolitan Atlanta Rapid Transit Authority,N,DR,DO,,,"952,283",,421,,,,,,,,,,
4022,Metropolitan Atlanta Rapid Transit Authority,N,HR,DO,,"85,193,265",,,,,,,,,,,,,
4022,Metropolitan Atlanta Rapid Transit Authority,N,MB,DO,,,"2,136,265",,,,,,,"5,453,899",,,,,
4023,Augusta Richmond County Transit Department,N,DR,PT,,,"19,767",,,,,,,,,,,,
4023,Augusta Richmond County Transit Department,N,MB,PT,,,"130,198",,,,,,,,,,,,
4025,Chatham Area Transit Authority,N,DR,DO,,,"6,434",,"3,380",,,,,,,,,,
4025,Chatham Area Transit Authority,N,DR,PT,,,"45,039",,"23,656",,,,,,,,,,
4025,Chatham Area Transit Authority,N,FB,DO,,,"4,339",,,,,,,,,,,,
4025,Chatham Area Transit Authority,N,FB,PT,,,"30,374",,,,,,,,,,,,
4025,Chatham Area Transit Authority,N,MB,DO,,,"70,809",,,,,,,,,,,,
4025,Chatham Area Transit Authority,N,MB,PT,,,"495,660",,,,,,,,,,,,
4026,Manatee County Area Transit,N,DR,DO,,,"74,523",,,,,,,,,,,,
4026,Manatee County Area Transit,N,MB,DO,,,"271,449",,,,,,,,,,,,
4027,Pinellas Suncoast Transit Authority,N,CB,DO,,,"73,487",,,,,,,,,,,,
4027,Pinellas Suncoast Transit Authority,N,DR,PT,,,78,,"126,987",,,,,,,,,,
4027,Pinellas Suncoast Transit Authority,N,MB,DO,,,"2,301,246",,"39,529",,,,,,,,,,
4027,Pinellas Suncoast Transit Authority,N,MB,PT,,,"11,514",,"63,702",,,,,,,,,,
4028,Lee County Transit,N,DR,DO,,,"142,527",,"9,708",,,,,,,,,,
4028,Lee County Transit,N,MB,DO,,,"634,927",,,,,,,,,,,,
4028,Lee County Transit,N,VP,PT,,,,,"15,111",,,,,,,,,,
4029,Broward County Transit Division,N,DR,PT,,,"17,507",,"836,887",,,,,,,,,,
4029,Broward County Transit Division,N,MB,DO,,,"4,600,402",,,,,,,,,,,,
4029,Broward County Transit Division,N,MB,PT,,,"23,633",,,,,,,,,,,,
4030,Gainesville Regional Transit System,N,DR,PT,,,,,"120,239",,,,,,,,,,
4030,Gainesville Regional Transit System,N,MB,DO,,,"805,309","251,359","7,596",,,,,,,,,,
4031,Lakeland Area Mass Transit District ,N,DR,DO,,,"89,733",,"1,332",,,,,,,,,,
4031,Lakeland Area Mass Transit District ,N,MB,DO,,,"229,199",,"3,185",,,,,,,,,,
4032,"County of Volusia, dba: VOTRAN",N,DR,DO,,,"118,850",,"69,963",,,,,,,,,,
4032,"County of Volusia, dba: VOTRAN",N,DR,PT,,,,,"85,297",,,,,,,,,,
4032,"County of Volusia, dba: VOTRAN",N,MB,DO,,,"614,665",,,,,,,,,,,,
4032,"County of Volusia, dba: VOTRAN",N,VP,DO,,,,,"10,393",,,,,,,,,,
4034,Miami-Dade Transit,N,DR,PT,,,,,"1,083,801",,,,,,,,,,
4034,Miami-Dade Transit,N,HR,DO,,"72,359,716",,,,,,,,,,,,,
4034,Miami-Dade Transit,N,MB,DO,,,"10,573,492",,,,,,,,,,,,
4034,Miami-Dade Transit,N,MB,PT,,,"194,000",,,,,,,,,,,,
4034,Miami-Dade Transit,N,MG,DO,,"11,853,800",,,,,,,,,,,,,
4035,Central Florida Regional Transportation Authority,N,DR,PT,,,,,"1,104,030",,,,,,,,,,
4035,Central Florida Regional Transportation Authority,N,MB,DO,,,"3,100,459","775,115",,,,,,,,,,,
4035,Central Florida Regional Transportation Authority,N,MB,PT,,,,,"87,906",,,,,,,,,,
4035,Central Florida Regional Transportation Authority,N,RB,DO,,,"41,288","10,322",,,,,,,,,,,
4035,Central Florida Regional Transportation Authority,N,VP,PT,,,,,"126,801",,,,,,,,,,
4036,City of Tallahassee,N,DR,DO,,,,,"92,343",,,,,,,,,,
4036,City of Tallahassee,N,MB,DO,"39,743",,"652,625",,,,,,,,,,,,
4037,"Board of County Commissioners, Palm Beach County, PalmTran, Inc.",N,DR,PT,,,"17,300",,"604,751",,,,,,,,,,
4037,"Board of County Commissioners, Palm Beach County, PalmTran, Inc.",N,MB,DO,,,"1,943,489",,,,,,,,,,,,
4038,Escambia County Area Transit,N,DR,PT,,,508,,"121,836",,,,,,,,,,
4038,Escambia County Area Transit,N,MB,PT,,,"342,933",,,,,,,,,,,,
4040,Jacksonville Transportation Authority,N,DR,PT,,,"180,412",,"331,345",,,,,,,,,,
4040,Jacksonville Transportation Authority,N,MB,DO,,,"2,106,950",,"103,469",,,,,,,,,,
4040,Jacksonville Transportation Authority,N,MG,DO,,"774,653",,,,,,,,,,,,,
4041,Hillsborough Area Regional Transit Authority,N,DR,DO,,,"110,186",,"30,132",,,,,,,,,,
4041,Hillsborough Area Regional Transit Authority,N,MB,DO,,,"2,265,367",,,,,,,,,,,,
4041,Hillsborough Area Regional Transit Authority,N,SR,DO,,"529,200",,,,,,,,,,,,,
4042,Birmingham-Jefferson County Transit Authority,N,DR,DO,,,0,,0,,,,,"185,281",,,,,
4042,Birmingham-Jefferson County Transit Authority,N,MB,DO,,,"158,438",,,,,,,"799,166",,,,,
4043,The Wave Transit System,N,DR,DO,,,"12,303",,"114,540",,,,,,,,,,
4043,The Wave Transit System,N,MB,DO,,,"326,221",,,,,,,,,,,,
4044,City of Montgomery-Montgomery Area Transit System,N,DR,DO,,,"52,467",,,,,,,,,,,,
4044,City of Montgomery-Montgomery Area Transit System,N,MB,DO,,,"175,512",,,,,,,,,,,,
4046,Sarasota County Area Transit,N,CB,DO,,,"32,523",,,,,,,,,,,,
4046,Sarasota County Area Transit,N,DR,DO,,,"58,259",,"39,245",,,,,,,,,,
4046,Sarasota County Area Transit,N,DR,PT,,,,,"61,048",,,,,,,,,,
4046,Sarasota County Area Transit,N,MB,DO,,,"626,772",,,,,,,,,,,,
4047,Athens Transit System,N,DR,DO,,,"10,121",,,,,,,,,,,,
4047,Athens Transit System,N,MB,DO,,,"217,803",,,,,,,,,,,,
4051,Chapel Hill Transit,N,DR,DO,,,,,"51,745",,,,,,,,,,
4051,Chapel Hill Transit,N,MB,DO,,,"530,750",,,,,,,,,,,,
4051,Chapel Hill Transit,N,MB,PT,,,295,,"1,065",,,,,,,,,,
4053,Greenville Transit Authority,N,DR,DO,,,"4,484",,"6,723",,,,,,,,,,
4053,Greenville Transit Authority,N,MB,DO,,,"193,628",,"2,766",,,,,,,,,,
4056,Pee Dee Regional Transportation Authority,N,DR,DO,,,,,"188,560",,,,,,,,,,
4056,Pee Dee Regional Transportation Authority,N,MB,DO,,,"79,823",,"14,571",,,,,,,,,,
4057,Jackson Transit Authority,N,DR,DO,,,"22,254",,"7,102",,,,,,,,,,
4057,Jackson Transit Authority,N,MB,DO,,,"117,200",,,,,,,,,,,,
4058,City of Rome Transit Department,N,DR,DO,,,"11,368",,"3,978",,,,,,,,,,
4058,City of Rome Transit Department,N,MB,DO,,,"107,028",,,,,,,,,,,,
4063,Space Coast Area Transit,N,DR,DO,,,"199,618",,"11,854",,,,,,,,,,
4063,Space Coast Area Transit,N,DR,PT,,,,,"79,974",,,,,,,,,,
4063,Space Coast Area Transit,N,MB,DO,,,"280,150",,,,,,,,,,,,
4063,Space Coast Area Transit,N,VP,PT,,,,,"71,617",,,,,,,,,,
4068,Northwest Alabama Council of Local Governments,N,DR,DO,,,"2,366",,"61,421",,,,,,,,,,
4071,"City of Huntsville, Alabama - Public Transportation Division",N,DR,DO,,,,,"72,442",,,,,,,,,,
4071,"City of Huntsville, Alabama - Public Transportation Division",N,MB,DO,,,"112,773",,,,,,,,,,,,
4074,Pasco County Public Transportation,N,DR,DO,,,"23,722",,,,,,,,,,,,
4074,Pasco County Public Transportation,N,MB,DO,,,"282,837",,,,,,,,,,,,
4077,South Florida Regional Transportation Authority,N,CR,PT,,,"2,699,567",,,,,,,,,,,,
4077,South Florida Regional Transportation Authority,N,MB,PT,,,"130,931",,,,,,,,,,,,
4078,Cobb County Department of Transportation Authority,N,CB,PT,,,"401,794",,,,,,,,,,,,
4078,Cobb County Department of Transportation Authority,N,DR,PT,,,"70,014",,,,,,,,,,,,
4078,Cobb County Department of Transportation Authority,N,MB,PT,,,"571,273",,,,,,,"8,526",,,,,
4082,Douglas County Rideshare,N,VP,DO,,,,,"88,581",,,,,0,,,,,
4086,Metropolitan Bus Authority,N,DR,DO,,,"102,187",,"8,022",,,,,,,,,,
4086,Metropolitan Bus Authority,N,MB,DO,,,"1,620,813",,,,,,,,,,,,
4087,Durham Area Transit Authority,N,DR,PT,,,,,"220,566",,,,,,,,,,
4087,Durham Area Transit Authority,N,MB,PT,,,"658,974",,,,,,,,,,,,
4088,Spartanburg County Transportation Services,N,DR,PT,,,"11,488",,"145,498",,,,,,,,,,
4092,Clarksville Transit System,N,DR,DO,,,,,"36,207",,,,,,,,,,
4092,Clarksville Transit System,N,MB,DO,,,"228,082",,,,,,,,,,,,
4093,Greensboro Transit Authority,N,DR,PT,,,"199,597",,,,,,,,,,,,
4093,Greensboro Transit Authority,N,MB,PT,,,"566,696",,,,,,,,,,,,
4094,Alternativa de Transporte Integrado -ATI,N,HR,PT,,"36,835,258",,,,,,,,,,,,,
4094,Alternativa de Transporte Integrado -ATI,N,MB,PT,,,"361,729",,,,,,,,,,,,
4097,"Council on Aging of St. Lucie, Inc.",N,DR,DO,,,"67,389",,,,,,,,,,,,
4097,"Council on Aging of St. Lucie, Inc.",N,MB,DO,,,"65,470",,,,,,,,,,,,
4100,Santee Wateree Regional Transportation Authority,N,CB,DO,,,"29,205",,"10,133",,,,,,,,,,
4100,Santee Wateree Regional Transportation Authority,N,DR,DO,,,,,"128,082",,,,,,,,,,
4100,Santee Wateree Regional Transportation Authority,N,MB,DO,,,"49,890",,,,,,,,,,,,
4102,Waccamaw Regional Transportation Authority,N,DR,DO,,,,,"55,469",,,,,,,,,,
4102,Waccamaw Regional Transportation Authority,N,MB,DO,,,,"111,080","52,389",,,,,,,,,,
4103,Wiregrass Transit Authority,N,DR,DO,,,"63,423",,"5,127",,,,,,,,,,
4103,Wiregrass Transit Authority,N,DR,PT,,,,,"44,605",,,,,,,,,,
4104,"Senior Resource Association, Inc.",N,DR,DO,,,,,"42,511",,,,,,,,,,
4104,"Senior Resource Association, Inc.",N,MB,DO,,,"81,105",,"29,085",,,,,,,,,,
4105,Puerto Rico Highway and Transportation Authority PRHTA,N,PB,PT,,,,,,,,,,,,,,,
4108,Research Triangle Regional Public Transportation Authority,N,DR,DO,,,,,"58,252",,,,,,,,,,
4108,Research Triangle Regional Public Transportation Authority,N,MB,DO,,,"531,109",,,,,,,,,,,,
4108,Research Triangle Regional Public Transportation Authority,N,VP,DO,,,,,"78,299",,,,,,,,,,
4110,Charleston Area Regional Transportation Authority,N,DR,PT,,,"42,336",,"61,940",,,,,,,,,,
4110,Charleston Area Regional Transportation Authority,N,MB,PT,,,"610,331",,,,,,,,,,,,
4120,"City of Ocala, Florida",N,DR,PT,,,,,"7,935",,,,,,,,,,
4120,"City of Ocala, Florida",N,MB,PT,,,"116,016",,,,,,,,,,,,
4127,Polk County Transit Services Division - Polk County Board of County Commissioners,N,DR,DO,,,"43,180",,"59,758",,,,,,,,,,
4127,Polk County Transit Services Division - Polk County Board of County Commissioners,N,DR,PT,,,,,"129,287",,,,,,,,,,
4127,Polk County Transit Services Division - Polk County Board of County Commissioners,N,MB,DO,,,"64,769",,"3,145",,,,,,,,,,
4128,Okaloosa County Board of County Commissioners,N,DR,PT,,,"35,161",,"74,076",,,,,,,,,,
4128,Okaloosa County Board of County Commissioners,N,MB,PT,,,"44,751",,0,,,,,,,,,,
4129,Charlotte County Transit Division,N,DR,PT,,,"105,253",,"5,371",,,,,,,,,,
4129,Charlotte County Transit Division,N,VP,DO,,,,,"11,577",,,,,,,,,,
4135,Georgia Regional Transportation Authority,N,CB,PT,,,"945,343",,,,,,,"35,542",,,,,
4135,Georgia Regional Transportation Authority,N,VP,PT,,,,,"12,594",,,,,,,,,,
4138,Gwinnett County Board of Commissioners,N,CB,PT,,,"332,192",,,,"39,848",,,,,,,,
4138,Gwinnett County Board of Commissioners,N,DR,PT,,,"29,736",,"3,772",,,,,,,,,,
4138,Gwinnett County Board of Commissioners,N,MB,PT,,,,,,,"397,381",,,,,,,,
4140,Collier Area Transit,N,DR,PT,,,"103,540",,"1,659",,,,,,,,,,
4140,Collier Area Transit,N,MB,PT,,,"257,776",,,,,,,,,,,,
4141,Central Midlands Transit,N,DR,PT,,,"52,939",,,,,,,,,,,,
4141,Central Midlands Transit,N,MB,PT,,,"212,156",,,,,,,,,,,,
4144,Hall Area Transit,N,DR,DO,,,,,"27,431",,,,,,,,,,
4144,Hall Area Transit,N,MB,DO,,,"31,068",,,,,,,,,,,,
4148,"Tri-County Community Council, Inc.",N,DR,DO,0,,"12,607",,"82,713",0,0,0,0,0,0,0,0,0,
4152,"Miami Lakes - vRide, Inc.",N,VP,DO,,,,,"204,191",,,,,,,,,,
4153,"vRide, Inc. - Atlanta",N,VP,DO,,,,,"297,572",,,,,,,,,,
4158,Lake County Board of County Commissioners,N,DR,PT,,,"78,123",,"4,782",,,,,,,,,,
4158,Lake County Board of County Commissioners,N,MB,PT,,,"24,270",,"189,088",,,,,,,,,,
4159,Regional Transportation Authority,N,CB,PT,,,"119,162",,,,,,,,,,,,
4159,Regional Transportation Authority,N,CR,PT,,,"200,667",,,,,,,,,,,,
4159,Regional Transportation Authority,N,VP,PT,,,,,"71,174",,,,,,,,,,
4169,Regional Planning Commission of Greater Birmingham,N,VP,PT,0,,0,0,"47,973",0,0,0,0,0,0,0,0,0,
4171,Knoxville-Knox County Community Action Committee,N,DR,DO,,,,,"222,959",828,,,,,,,,,
4172,Western Piedmont Regional Transit Authority dba: Greenway Public Transportation,N,DR,DO,,,,"17,333","98,217",,,,,,,,,,
